CODIGO,nombre,FECHA_INST,altitud,latitud,longitud,FECHA_SUSP,ENTIDAD,CategId,WMORadkm,CATEGORIA,DEMValue,COD_AH,COD_ZH,COD_SZH,NOM_AH,NOM_ZH,NOM_SZH,Akm2_SZH
11010010,VUELTA LA [11010010],1943-01-14 19:00:00,98.0,5.45894444,-76.54472222000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,98.0,1,11,1101,Caribe,Atrato - Darién,Río Andágueda,914.913763548
11017010,AGUASAL [11017010],1976-05-15 00:00:00,75.0,5.47394389,-76.53786111000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,75.0,1,11,1101,Caribe,Atrato - Darién,Río Andágueda,914.913763548
11017020,BAGADO [11017020],2017-12-29 00:00:00,90.0,5.412,-76.41788889,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,90.0,1,11,1101,Caribe,Atrato - Darién,Río Andágueda,914.913763548
11010020,AGRICOLA LLORO GJA  [11010020],1952-01-15 00:00:00,120.0,5.5,-76.53333332999999,1959-10-15 00:00:00,MINISTERIO DE AGRICULTURA,PM,12.5,Pluviométrica,120.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11020010,CARMEN DE ATRATO [11020010],1958-10-15 00:00:00,1850.0,5.90852778,-76.14208332999999,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,1850.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11020020,GUADUAS [11020020],1977-03-15 00:00:00,1500.0,5.76666667,-76.18333333,2002-04-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,1500.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11020050,PINON EL [11020050],1958-10-15 00:00:00,715.0,5.75766667,-76.25086111,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,715.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11025010,MANSA LA [11025010],1973-07-15 00:00:00,2018.0,5.87830556,-76.08433332999999,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CO,25,Climática Ordinaria,2018.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11025501,CARMEN DE ATRATO  - AUT  [11025501],2013-12-15 19:00:00,1683.0,5.88871944,-76.14516667,NaT,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,CP,75,Climática Principal,1683.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027010,PUENTE LAS SANCHEZ [11027010],1972-08-15 00:00:00,2000.0,5.85197222,-76.18080556000001,2016-01-06 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,2000.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027020,OCHO EL [11027020],1972-04-15 00:00:00,900.0,5.85,-76.25,1979-02-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,900.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027030,EL SIETE - AUT [11027030],1979-12-15 00:00:00,2300.0,5.862,-76.15205556000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,2300.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027040,ARRAYANES LOS [11027040],1979-12-15 00:00:00,1500.0,5.8,-76.3,2008-12-10 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,1500.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027050,GINDRAMA - AUT [11027050],1979-12-15 00:00:00,75.0,5.521555559999999,-76.51772222000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,75.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11027060,PINON EL [11027060],1959-03-15 00:00:00,1350.0,5.73333333,-76.36666667,1971-11-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,1350.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
26190130,MANSA LA [26190130],1970-10-15 00:00:00,2100.0,5.75,-76.1,1973-04-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,2100.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
26190160,REGADA LA  [26190160],1983-03-15 00:00:00,1790.0,5.98333333,-76.06666666999999,NaT,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,PG,12.5,Pluviográfica,1790.0,1,11,1102,Caribe,Atrato - Darién,Alto Atrato,1693.02994569
11020060,CARMEN EL  [11020060],1932-01-15 00:00:00,720.0,5.83333333,-76.66666667,1961-12-15 00:00:00,MINISTERIO DE AGRICULTURA,PM,12.5,Pluviométrica,720.0,1,11,1104,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),2639.66399008
11040010,TUTUNENDO [11040010],1966-01-15 00:00:00,54.0,5.74361111,-76.53780556000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,54.0,1,11,1104,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),2639.66399008
11047030,NEGUA [11047030],1975-05-15 00:00:00,35.0,5.82816889,-76.61801666999999,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,35.0,1,11,1104,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),2639.66399008
11027070,BORAUDO - AUT [11027070],2005-04-15 00:00:00,78.0,5.51461111,-76.57569443999999,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,78.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11045010,AEROPUERTO EL CARANO [11045010],1947-02-15 00:00:00,75.0,5.69055556,-76.64377778,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,SP,500,Sinóptica Principal,75.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11045030,HUAPANGO [11045030],1966-07-15 00:00:00,50.0,5.7,-76.63333333,1972-11-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CO,25,Climática Ordinaria,50.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11047010,BELEN AUT [11047010],1965-12-15 00:00:00,26.0,5.76483333,-76.66966667,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,26.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11047020,QUIBDO - AUT [11047020],1974-05-15 00:00:00,27.0,5.69777806,-76.66222222,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,27.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11047040,QUIBDO - AUT [11047040],2008-11-30 00:00:00,21.0,5.7,-76.66,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,21.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11175000,ATRATO - AUT  [11175000],2017-12-29 00:00:00,70.0,5.585776,-76.649978,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CO,25,Climática Ordinaria,70.0,1,11,1117,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),474.591073384
11030010,CERTEGUI [11030010],1967-01-15 00:00:00,72.0,5.38,-76.61,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,72.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11030030,MANAGRU [11030030],1977-02-15 00:00:00,64.0,5.33416667,-76.72813889,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,64.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11030040,PAIMADO [11030040],1977-02-15 00:00:00,35.0,5.48161111,-76.74086111,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,35.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11030050,QUIBDO  [11030050],1950-01-15 00:00:00,30.0,5.68333333,-76.68333333,1952-07-15 00:00:00,MINISTERIO DE OBRAS PUBLICAS,PM,12.5,Pluviométrica,30.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11030060,INST DEL CHOCO  [11030060],1931-06-15 00:00:00,33.0,5.68333333,-76.66666667,1955-12-15 00:00:00,MINISTERIO DE LA ECONOMIA,PM,12.5,Pluviométrica,33.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11030070,LOMA LA PUEBLO NUEVO [11030070],2005-04-15 00:00:00,72.0,5.58466667,-76.75327778,2022-12-15 12:26:08,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PG,12.5,Pluviográfica,72.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11035010,LLORO [11035010],1983-03-15 00:00:00,41.0,5.51,-76.58,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CP,75,Climática Principal,41.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11035020,SAN ISIDRO [11035020],1983-03-15 00:00:00,53.0,5.62616667,-76.74972222000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,53.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11035030,UNION PANAMERICANA - AUT  [11035030],2017-12-29 00:00:00,110.0,5.28482778,-76.62782222,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CO,25,Climática Ordinaria,110.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11037010,SAN ISIDRO [11037010],1967-05-15 00:00:00,53.0,5.62625,-76.74972194,2022-05-16 13:49:34,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,53.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11037020,PUENTE CERTEGUI [11037020],1971-06-15 00:00:00,77.0,5.37475,-76.61325000000001,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,77.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11037030,LA LOMA PUEBLO [11037030],2005-04-15 00:00:00,72.0,5.58466667,-76.75327778,2018-10-11 10:10:07,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,72.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
1117500060,LLORO - AUT [1117500060],2018-04-18 00:00:00,41.0,5.51,-76.58,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,CP,75,Climática Principal,41.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
54017010,MUNGUIDO  [54017010],1967-02-15 00:00:00,2.0,5.26666667,-76.66666667,1968-12-15 00:00:00,INGENIEROS TECNICOS CONSULTORES,LM,999999,Limnimétrica,2.0,1,11,1103,Caribe,Atrato - Darién,Río Quito,1841.26302313
11050010,TAGACHI [11050010],1966-01-15 00:00:00,20.0,6.22177778,-76.72702778,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,PM,12.5,Pluviométrica,20.0,1,11,1106,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1632.55969348
11057010,TAGACHI [11057010],1966-04-15 00:00:00,18.0,6.21666667,-76.71666667,2002-02-15 00:00:00,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LM,999999,Limnimétrica,18.0,1,11,1106,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1632.55969348
11057020,SAN ANTONIO PADUA  - AUT [11057020],1973-05-15 00:00:00,18.0,6.28666667,-76.76180556,NaT,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,LG,999999,Limnigráfica,18.0,1,11,1106,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1632.55969348
