,SUBZONA_HIDROGRAFICA
Río Chicamocha,159
Río Lebrija y otros directos al Magdalena,148
Bajo San Jorge - La Mojana,139
Río Bogotá,137
Río Suárez,105
Bajo Sinú,95
Río Ranchería,88
Canal del Dique margen izquierda,87
Río Zulia,78
Cga Grande de Santa Marta,71
Directos Bajo Magdalena entre El Banco y El Plato,68
Medio Cesar,67
Río Garagoa,61
Río Lagunilla y Otros Directos al Magdalena,55
Río Coello,53
Río Otún y otros directos al Cauca,52
Río Nare,51
Río Algodonal (Alto Catatumbo),51
Alto Río Putumayo,47
Rio Fortalecillas y otros,47
Canal del Dique margen derecho,46
Río Páez,43
Río Guayuriba,41
Río Porce,41
Río Negro,40
Río Ariguaní,39
Río Guavio,37
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,36
Río Carare (Minero),36
Río León,35
Río Sumapaz,35
Río Guáitara,34
Río Ariari,34
Río Patia Alto,33
Río Pamplonita,32
Río Juananbú,32
Alto Caqueta,32
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",31
Río La Vieja,31
Bajo Cesar,31
Alto Cesar,30
Alto Río Cauca,30
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,29
Medio Sinú,29
Río Chinchiná,29
Directos Río Cauca entre Río San Juan y Pto Valdia,27
Alto Magdalena,27
Río Guatiquía,26
Río Orteguaza,26
Río Fonce,26
Río Sogamoso,25
Río Yaguará y Río Iquira,25
Río Lengupá,25
Río  Piedras - Río Manzanares,24
Bajo Nechí (md),23
Río Cusiana,23
Río Prado,23
Directos Caribe - Ay.Sharimahana Alta Guajira,23
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",22
Río Sucio,22
Alto Sinú - Urrá,22
Río Frío y Otros Directos al Cauca,22
Río Cabrera,22
Río Risaralda,21
Río Caqueta Bajo,21
Directos al Magdalena (Brazo Morales),21
Rió San Bartolo y otros directos al Magdalena Medio,21
Río Totare,20
Quebrada El Carmen y Otros Directos al Magdalena,20
Río Baché,20
Rio Metica (Guamal - Humadea),20
Río Guachicono,20
Lago de Tota,19
Arroyos Directos al Caribe,19
Alto Nechí,19
Directos al Bajo Magdalena entre Calamar y desembocadura,19
Directos Caribe Golfo de Morrosquillo,18
Río San Juan,18
"Río Aipe, Río Chenche y otros directos al Magdalena",18
Río Opón,17
Río Chítaga,17
Río Gualí,17
Río Palo,17
Bajo Vaupés,16
Rio Neiva,16
Río Arma,16
Río San Juan del Micay,16
Río Cimitarra y otros directos al Magdalena,16
Río Guachal (Bolo - Fraile y Párraga),15
Bajo Saldaña,15
Ríos Directos al Magdalena (mi),15
Río Luisa y otros directos al Magdalena,15
Río Mira,15
Medio Guaviare,15
Rio Banadia y otros Directos al Río Arauca,15
Dagua - Buenaventura - Bahia Málaga,15
Rïo Cucuana,14
Río Mulatos y otros directos al Caribe,14
Río Taraza - Río Man,14
Río Tamaná y otros Directos San Juan,14
Río Casanare,14
Directos Río Amazonas (mi),14
Rio Tapias y otros directos al Cauca,14
Alto Saldaña,14
Río Cravo Sur,13
Juncal y otros Rios directos al Magdalena,13
Ríos directos Magdalena (md),13
Directos al Bajo Magdalena entre El Plato y Calamar,13
Rio Salado y otros directos Cauca,13
Bajo Guaviare,12
Río La Miel (Samaná),12
Directos Bajo Meta entre ríos Casanare y Orinoco,12
Directos al Cauca entre Pto Valdivia y Río Nechí,12
Río Palacé,12
Ríos Tulua y Morales,12
San Andres,12
Directos al Río Meta entre ríos Cusiana y Carare,11
Río Quinamayo y otros directos al Cauca,11
Alto Atrato,11
Río Suaza,11
Río Ancho y Otros Directos al caribe,11
Directos Pacifico Frontera Panamá,11
Caño Guanápalo y otros directos al Meta,11
Río Túa y otros directos al Meta,11
Río Pauto,10
Río Piendamo,10
Rio Guachaca - Mendiguaca y Buritaca,10
Río Seco y otros Directos al Magdalena,10
Río Quito,10
Ríos Calima y  Bajo San Juan,10
Directos al Magdalena Medio entre ríos Negro,10
Alto Guaviare,10
Río Upía,10
Alto San Jorge,10
Río Humea,9
Río Atá,9
Directos Magdalena entre ríos Cabrera y Sumapaz,9
Río Putumayo Bajo,9
Río Guayas,9
Ríos Chimicuica y Corozal,9
Río Guarinó,9
Río Guejar,9
Río Caqueta Medio,9
Río Timaná y otros directos al Magdalena,9
Río Amoyá,8
Ríos Claro y Jamundí,8
Río Patia Medio,8
Río Murrí,8
"Río Tetuán, Río Ortega",8
Ríos Amaime y Cerrito,8
Río Putumayo Medio,8
Providencia,8
Río Putumayo Directos (mi),8
Río Cabi y otros Directos Atrato (md),8
Río Manacacias,8
Río Tarra,7
Directos al Bajo Nechí (mi),7
Río Sipí,7
Río Ovejas,7
Río Rosario,7
Directos Río Arauca (md),7
Directos al Río Meta entre ríos Humea y Upia (mi),7
Río Telembí,6
Río Guayabero,6
Río Pescado,6
Río Mayo,6
Río Salaquí  y otros directos Bajo Atrato,6
Río San Juan Alto,6
Río Tapias,6
Río Ariporo,6
Rios Las Cañas - Los Micos y Obando,6
Directos Atrato entre ríos Quito y Bojayá (mi),6
Río Tuparro,6
Río Bugalagrande,5
Río Paila,5
Río Cobugón - Río Cobaría,5
Directos Magdalena entre Ríos Guarinó y La Miel,5
Río Tolo y otros Directos al Caribe,5
Directos Magdalena Medio entre ríos La Miel y Nare,5
Medio Saldaña,5
Bajo Catatumbo,5
Río Tanela y otros Directos al Caribe,5
Río Guapi,5
Directos Rio Metica entre ríos Guayuriba y Yucao,5
Directos Bajo Cauca - Cga La Raya entre río Nechí,5
Rio Canalete y otros Arroyos Directos al Caribe,5
"Ríos Lilí, Melendez y Canaveralejo",4
Directos Atrato entre ríos Bebaramá y Murrí (md),4
Río Andágueda,4
Directos Orinoco entre ríos Tomo y Meta (mi),4
Ríos Cali,4
Directos al Magdalena entre Ríos Seco y Negro (md),4
Río Baudó,4
Río Docampadó y Directos Pacífico,4
