,SUBZONA_HIDROGRAFICA
Río Chicamocha,0.03541991534862998
Río Lebrija y otros directos al Magdalena,0.032969480953441745
Bajo San Jorge - La Mojana,0.03096458008465137
Río Bogotá,0.030519046558253507
Río Suárez,0.023390510135887724
Bajo Sinú,0.021162842503898417
Río Ranchería,0.019603475161505905
Canal del Dique margen izquierda,0.019380708398306974
Río Zulia,0.017375807529516597
Cga Grande de Santa Marta,0.01581644018712408
Medio Cesar,0.015148139897527288
Directos Bajo Magdalena entre El Banco y El Plato,0.015148139897527288
Río Garagoa,0.013588772555134774
Río Lagunilla y Otros Directos al Magdalena,0.01225217197594119
Río Coello,0.011806638449543327
Río Algodonal (Alto Catatumbo),0.011361104923145467
Río Nare,0.011361104923145467
Río Otún y otros directos al Cauca,0.011361104923145467
Rio Fortalecillas y otros,0.010470037870349743
Alto Río Putumayo,0.010470037870349743
Canal del Dique margen derecho,0.010247271107150813
Río Páez,0.00957897081755402
Río Guayuriba,0.00913343729115616
Río Porce,0.00913343729115616
Río Negro,0.008910670527957229
Río Ariguaní,0.008687903764758299
Río Guavio,0.008242370238360436
Río Carare (Minero),0.008019603475161506
Directos Río Cauca  entre Río San Juan y  Pto Valdivia,0.008019603475161506
Río León,0.007796836711962575
Río Sumapaz,0.007796836711962575
Río Guáitara,0.007574069948763644
Río Ariari,0.007574069948763644
Río Patia Alto,0.007351303185564714
Río Pamplonita,0.007128536422365783
Alto Caqueta,0.007128536422365783
Río Juananbú,0.007128536422365783
Río La Vieja,0.007128536422365783
"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",0.006905769659166852
Bajo Cesar,0.006905769659166852
Alto Río Cauca,0.006683002895967922
Medio Sinú,0.0064602361327689905
Alto Cesar,0.0064602361327689905
Rios Pescador - RUT - Chanco - Catarina y Cañaveral,0.0064602361327689905
Alto Magdalena,0.00623746936957006
Río Chinchiná,0.00623746936957006
Directos Río Cauca entre Río San Juan y Pto Valdia,0.00601470260637113
Río Fonce,0.0057919358431721985
Río Guatiquía,0.0057919358431721985
Río Orteguaza,0.0057919358431721985
Río Sogamoso,0.005569169079973268
Río Lengupá,0.005569169079973268
Río  Piedras - Río Manzanares,0.005346402316774337
Río Yaguará y Río Iquira,0.005346402316774337
Directos Caribe - Ay.Sharimahana Alta Guajira,0.0051236355535754065
Río Cusiana,0.0051236355535754065
Río Prado,0.0051236355535754065
Bajo Nechí (md),0.0051236355535754065
"Río Nuevo Presidente - Tres Bocas (Sardinata, Tibu)",0.004900868790376476
Río Frío y Otros Directos al Cauca,0.004900868790376476
Río Sucio,0.004900868790376476
Río Cabrera,0.004900868790376476
Alto Sinú - Urrá,0.004900868790376476
Río Risaralda,0.004678102027177545
Rió San Bartolo y otros directos al Magdalena Medio,0.004678102027177545
Río Caqueta Bajo,0.004678102027177545
Directos al Magdalena (Brazo Morales),0.004678102027177545
Río Baché,0.0044553352639786145
Río Totare,0.0044553352639786145
Quebrada El Carmen y Otros Directos al Magdalena,0.0044553352639786145
Rio Metica (Guamal - Humadea),0.0044553352639786145
Río Guachicono,0.0044553352639786145
Arroyos Directos al Caribe,0.004232568500779683
Alto Nechí,0.004232568500779683
Directos al Bajo Magdalena entre Calamar y desembocadura,0.004232568500779683
Lago de Tota,0.004232568500779683
Directos Caribe Golfo de Morrosquillo,0.004009801737580753
"Río Aipe, Río Chenche y otros directos al Magdalena",0.004009801737580753
Río San Juan,0.004009801737580753
Río Gualí,0.003787034974381822
Río Palo,0.003787034974381822
Río Opón,0.003787034974381822
Río Chítaga,0.003787034974381822
Rio Neiva,0.0035642682111828917
Río Arma,0.0035642682111828917
Río San Juan del Micay,0.0035642682111828917
Río Cimitarra y otros directos al Magdalena,0.0035642682111828917
Bajo Vaupés,0.0035642682111828917
Río Mira,0.003341501447983961
Medio Guaviare,0.003341501447983961
Río Luisa y otros directos al Magdalena,0.003341501447983961
Ríos Directos al Magdalena (mi),0.003341501447983961
Bajo Saldaña,0.003341501447983961
Dagua - Buenaventura - Bahia Málaga,0.003341501447983961
Rio Banadia y otros Directos al Río Arauca,0.003341501447983961
Río Tamaná y otros Directos San Juan,0.003341501447983961
Río Mulatos y otros directos al Caribe,0.00311873468478503
Rio Tapias y otros directos al Cauca,0.00311873468478503
Río Taraza - Río Man,0.00311873468478503
Alto Saldaña,0.00311873468478503
Rïo Cucuana,0.00311873468478503
Río Casanare,0.00311873468478503
Directos Río Amazonas (mi),0.00311873468478503
Río Cravo Sur,0.0028959679215860993
Rio Salado y otros directos Cauca,0.0028959679215860993
Ríos directos Magdalena (md),0.0028959679215860993
Directos al Bajo Magdalena entre El Plato y Calamar,0.0028959679215860993
Río La Miel (Samaná),0.0028959679215860993
Juncal y otros Rios directos al Magdalena,0.0028959679215860993
Directos al Cauca entre Pto Valdivia y Río Nechí,0.0026732011583871684
Río Palacé,0.0026732011583871684
Río Guachal (Bolo - Fraile y Párraga),0.0026732011583871684
Directos Bajo Meta entre ríos Casanare y Orinoco,0.0026732011583871684
Bajo Guaviare,0.0026732011583871684
Ríos Tulua y Morales,0.0026732011583871684
San Andres,0.0026732011583871684
Río Ancho y Otros Directos al caribe,0.002450434395188238
Alto Atrato,0.002450434395188238
Directos al Río Meta entre ríos Cusiana y Carare,0.002450434395188238
Río Suaza,0.002450434395188238
Directos Pacifico Frontera Panamá,0.002450434395188238
Caño Guanápalo y otros directos al Meta,0.002450434395188238
Río Túa y otros directos al Meta,0.002450434395188238
Rio Guachaca - Mendiguaca y Buritaca,0.0022276676319893073
Directos al Magdalena Medio entre ríos Negro,0.0022276676319893073
Río Pauto,0.0022276676319893073
Río Quito,0.0022276676319893073
Alto Guaviare,0.0022276676319893073
Río Upía,0.0022276676319893073
Río Quinamayo y otros directos al Cauca,0.0022276676319893073
Alto San Jorge,0.0022276676319893073
Río Piendamo,0.0022276676319893073
