,ZONA_HIDROGRAFICA
Alto Magdalena,640
Cauca,505
Medio Magdalena,421
Meta,383
Sogamoso,316
Bajo Magdalena,315
Caribe - Guajira,198
Catatumbo,197
Cesar,167
Bajo Magdalena- Cauca -San Jorge,151
Sinú,146
Patía,143
Atrato - Darién,98
Caribe - Litoral,96
Caquetá,94
Nechí,90
Guaviare,87
Putumayo,80
Saldaña,73
Arauca,49
Tapaje - Dagua - Directos,47
San Juán,43
Mira,23
Casanare,21
Islas Caribe,21
Vaupes,17
Caguán,15
Orinoco Directos,14
Amazonas - Directos,14
Pacífico - Directos,11
Baudó - Directos Pacifico,8
Tomo,6
Vichada,4
Inírida,3
Yarí,2
Apaporis,1
