,AREA_OPERATIVA
Area Operativa 08 - Santanderes-Arauca,0.13462394303515798
Area Operativa 02 - Atlántico-Bolivar-Sucre,0.12283044058744993
Area Operativa 01 - Antioquia-Chocó,0.1054739652870494
Area Operativa 09 - Cauca-Valle-Caldas,0.09991099243435692
Area Operativa 05 - Magdalena-Cesar-Guajira,0.09968847352024922
Area Operativa 06 - Boyacá-Casanare-Vichada,0.08477970627503338
Area Operativa 04 - Huila-Caquetá,0.07721406319537161
Area Operativa 10 - Tolima,0.07387627948375612
Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,0.07231864708500223
Area Operativa 07 - Nariño-Putumayo,0.06564307966177126
Area Operativa 03 - Meta-Guaviare-Guainía,0.06364040943480195
