,FECHA_INSTALACION
1915.0,1
1920.0,1
1922.0,3
1924.0,1
1928.0,1
1929.0,1
1930.0,2
1931.0,10
1932.0,6
1933.0,1
1934.0,7
1936.0,3
1937.0,4
1939.0,1
1940.0,7
1941.0,4
1942.0,2
1943.0,1
1944.0,3
1945.0,5
1946.0,14
1947.0,3
1948.0,5
1949.0,1
1950.0,2
1951.0,5
1952.0,8
1953.0,11
1954.0,9
1955.0,13
1956.0,12
1957.0,22
1958.0,117
1959.0,64
1960.0,39
1961.0,26
1962.0,43
1963.0,106
1964.0,72
1965.0,81
1966.0,77
1967.0,94
1968.0,107
1969.0,71
1970.0,158
1971.0,250
1972.0,173
1973.0,213
1974.0,242
1975.0,110
1976.0,92
1977.0,86
1978.0,124
1979.0,164
1980.0,157
1981.0,75
1982.0,40
1983.0,175
1984.0,152
1985.0,71
1986.0,112
1987.0,60
1988.0,28
1989.0,40
1990.0,65
1991.0,26
1992.0,42
1993.0,30
1994.0,33
1995.0,23
1996.0,13
1997.0,31
1998.0,4
1999.0,17
2000.0,6
2001.0,14
2002.0,7
2003.0,7
2004.0,59
2005.0,99
2006.0,21
2007.0,29
2008.0,19
2009.0,12
2010.0,14
2011.0,9
2012.0,6
2013.0,12
2014.0,45
2015.0,19
2016.0,43
2017.0,100
2018.0,64
2019.0,24
2020.0,3
2021.0,2
