FECHA_INSTALACION,Activa,En Mantenimiento,Suspendida
1900.0,1.0,,
1915.0,1.0,,
1922.0,,,3.0
1924.0,1.0,,
1928.0,,,1.0
1929.0,,,1.0
1930.0,2.0,,
1931.0,3.0,,7.0
1932.0,,,6.0
1933.0,,,1.0
1934.0,3.0,,4.0
1936.0,3.0,,
1937.0,2.0,,2.0
1939.0,,,1.0
1940.0,5.0,,2.0
1941.0,3.0,,1.0
1942.0,1.0,,1.0
1943.0,1.0,,
1944.0,1.0,,2.0
1945.0,4.0,,1.0
1946.0,9.0,,5.0
1947.0,3.0,,
1948.0,,1.0,4.0
1949.0,,,1.0
1950.0,2.0,,
1951.0,5.0,,
1952.0,5.0,,3.0
1953.0,7.0,,4.0
1954.0,6.0,,3.0
1955.0,9.0,,4.0
1956.0,6.0,,6.0
1957.0,12.0,,10.0
1958.0,67.0,,50.0
1959.0,31.0,,33.0
1960.0,19.0,,20.0
1961.0,12.0,,14.0
1962.0,22.0,,21.0
1963.0,60.0,,46.0
1964.0,40.0,,32.0
1965.0,36.0,,45.0
1966.0,38.0,,39.0
1967.0,43.0,,51.0
1968.0,45.0,,62.0
1969.0,33.0,1.0,38.0
1970.0,97.0,,61.0
1971.0,145.0,1.0,104.0
1972.0,99.0,,74.0
1973.0,147.0,,66.0
1974.0,154.0,,88.0
1975.0,76.0,,34.0
1976.0,48.0,,44.0
1977.0,50.0,,36.0
1978.0,61.0,,63.0
1979.0,68.0,1.0,95.0
1980.0,68.0,1.0,88.0
1981.0,32.0,,43.0
1982.0,21.0,,19.0
1983.0,108.0,1.0,66.0
1984.0,84.0,1.0,67.0
1985.0,34.0,,37.0
1986.0,68.0,2.0,42.0
1987.0,28.0,,32.0
1988.0,16.0,1.0,11.0
1989.0,19.0,1.0,20.0
1990.0,28.0,1.0,36.0
1991.0,15.0,,11.0
1992.0,22.0,,20.0
1993.0,18.0,,12.0
1994.0,23.0,,10.0
1995.0,17.0,,6.0
1996.0,8.0,,5.0
1997.0,14.0,1.0,16.0
1998.0,1.0,,3.0
1999.0,10.0,,7.0
2000.0,5.0,,1.0
2001.0,6.0,,8.0
2002.0,3.0,,4.0
2003.0,5.0,,2.0
2004.0,48.0,1.0,10.0
2005.0,76.0,2.0,21.0
2006.0,14.0,,7.0
2007.0,24.0,,5.0
2008.0,16.0,,3.0
2009.0,7.0,,5.0
2010.0,12.0,,2.0
2011.0,7.0,,2.0
2012.0,6.0,,
2013.0,11.0,,1.0
2014.0,37.0,,8.0
2015.0,13.0,,6.0
2016.0,40.0,,3.0
2017.0,98.0,,2.0
2018.0,63.0,,1.0
2019.0,23.0,1.0,
2020.0,3.0,,1.0
2021.0,5.0,,
