,nombre,latitud,longitud,altitud,ThermalLevelValue
2635,INGENIO MANUELITA [26075050],3.57405556,-76.27780556,1059,"Templado, 24°C>T>18°C, <=1800meter"
1091,ANDAGOYA [54020010],5.09766667,-76.6965,62,"Cálido, T>=24°C, <=800meter"
2764,ANGOSTURA [27020040],6.88305556,-75.33247222,1650,"Templado, 24°C>T>18°C, <=1800meter"
963,GOMEZ PLATA [27010160],6.67780556,-75.21980556,1850,"Frío, 18°C>T>12°C, <=2800meter"
4046,ZARAGOZA [27030030],7.48622222,-74.87238889,50,"Cálido, T>=24°C, <=800meter"
251,AEROPUERTO VANGUARDIA [35035020],4.16191944,-73.61757778,422,"Cálido, T>=24°C, <=800meter"
1848,IZA [24031030],5.6155,-72.97627778,2470,"Frío, 18°C>T>12°C, <=2800meter"
1088,TENZA [35070290],5.08333333,-73.41666667,1507,"Templado, 24°C>T>18°C, <=1800meter"
2538,PALMIRA ICA [26075010],3.51347222,-76.31488889,1018,"Templado, 24°C>T>18°C, <=1800meter"
2027,AEROPUERTO BENITO SALAS [21115020],2.94875,-75.29305556,439,"Cálido, T>=24°C, <=800meter"
4397,CARMEN DE BOLIVAR [29015020],9.72,-75.11,152,"Cálido, T>=24°C, <=800meter"
4060,CACERES [26250010],7.57905556,-75.34783333,95,"Cálido, T>=24°C, <=800meter"
4029,AEROPUERTO GONZALO [12025010],8.11666667,-76.73333333,1,"Cálido, T>=24°C, <=800meter"
1245,BAJO CALIMA [54075020],3.95355556,-76.99044444,66,"Cálido, T>=24°C, <=800meter"
913,PUERTO BERRIO [23090080],6.5,-74.4,125,"Cálido, T>=24°C, <=800meter"
254,AEROPUERTO YARIGUIES [23155030],7.02638889,-73.80861111,126,"Cálido, T>=24°C, <=800meter"
2643,RIOHACHA [15070250],11.53333333,-72.9,5,"Cálido, T>=24°C, <=800meter"
3658,PITALITO [21015010],1.86666667,-76.01666667,1320,"Templado, 24°C>T>18°C, <=1800meter"
3460,SABANALARGA [29045030],10.63672222,-74.91888889,100,"Cálido, T>=24°C, <=800meter"
4071,SAN MARCOS [25020060],8.63333333,-75.13333333,60,"Cálido, T>=24°C, <=800meter"
2640,CHIRIGUANA [25025050],9.36102778,-73.59338889,40,"Cálido, T>=24°C, <=800meter"
3034,AEROPUERTO LA FLORIDA [25025040],8.7,-75.18333333,30,"Cálido, T>=24°C, <=800meter"
1498,RIOSUCIO [26175010],5.43333333,-75.7,1810,"Frío, 18°C>T>12°C, <=2800meter"
1728,OROCUE [35220020],4.79327778,-71.32911111,130,"Cálido, T>=24°C, <=800meter"
2035,SUAREZ [26055030],2.95455556,-76.69611111,195,"Cálido, T>=24°C, <=800meter"
3737,ALTAMIRA [21025010],2.06666667,-75.8,180,"Cálido, T>=24°C, <=800meter"
3211,TEORAMA [16050250],8.44222222,-73.28527778,1160,"Templado, 24°C>T>18°C, <=1800meter"
336,ARRANCAPLUMAS  - AUT [21237020],5.20241667,-74.72761111,222,"Cálido, T>=24°C, <=800meter"
664,LORICA [13080040],9.25,-75.83333333,80,"Cálido, T>=24°C, <=800meter"
876,COCUY EL [24031010],6.40822222,-72.44544444,2749,"Frío, 18°C>T>12°C, <=2800meter"
197,EL BANCO - AUT [25027020],8.99252778,-73.96944444,29,"Cálido, T>=24°C, <=800meter"
4464,GAMARRA  [23217010],8.32,-73.74,35,"Cálido, T>=24°C, <=800meter"
3408,PUERTO WILCHES [23187010],7.34438889,-73.90505556,66,"Cálido, T>=24°C, <=800meter"
2887,ALTO VIENTO [16010050],8.16666667,-72.48333333,165,"Cálido, T>=24°C, <=800meter"
163,PUERTO BERRIO - AUT [23097030],6.48513889,-74.40116667,111,"Cálido, T>=24°C, <=800meter"
139,PUERTO SALGAR - AUT [23037010],5.46966667,-74.66216667,186,"Cálido, T>=24°C, <=800meter"
337,BARRANCABERMEJA  - AUT [23157030],7.06019444,-73.876,75,"Cálido, T>=24°C, <=800meter"
780,CENTRO EL [23155040],6.85955556,-73.76508333,114,"Cálido, T>=24°C, <=800meter"
3798,ALVARADO [21245030],4.56788889,-74.95130556,439,"Cálido, T>=24°C, <=800meter"
2570,MAICAO [15080150],11.38333333,-72.25,50,"Cálido, T>=24°C, <=800meter"
2651,PUERTO LOPEZ [15080090],11.93427778,-71.2825,2,"Cálido, T>=24°C, <=800meter"
366,GUAYATA [35070400],4.96666667,-73.48333333,1580,"Templado, 24°C>T>18°C, <=1800meter"
3525,TIBU [16035010],8.63833333,-72.72666667,50,"Cálido, T>=24°C, <=800meter"
2647,MANAURE [15075030],11.78105556,-72.4635,1,"Cálido, T>=24°C, <=800meter"
2848,AEROPUERTO OTU [23175020],7.01175,-74.71630556,643,"Cálido, T>=24°C, <=800meter"
2621,AEROPUERTO RAFAEL BARVO [25025080],9.33388889,-75.28305556,166,"Cálido, T>=24°C, <=800meter"
3381,AEROPUERTO GOMEZ NINO [23195030],7.13333333,-73.13333333,931,"Templado, 24°C>T>18°C, <=1800meter"
2379,CALIPUERTO [26075020],3.43333333,-76.4,930,"Templado, 24°C>T>18°C, <=1800meter"
3253,CALAMAR [29037020],10.25386111,-74.91169444,8,"Cálido, T>=24°C, <=800meter"
256,AEROPUERTO CAMILO DAZA [16015010],7.93027778,-72.50916667,250,"Cálido, T>=24°C, <=800meter"
2245,OBS MET NACIONAL [21205230],4.63333333,-74.1,2556,"Frío, 18°C>T>12°C, <=2800meter"
90,BUENAVENTURA IDEAM  - AUT [53119010],3.890175,-77.06190833,40,"Cálido, T>=24°C, <=800meter"
2084,AEROPUERTO G L VALENCIA [26035030],2.45288889,-76.60875,1752,"Templado, 24°C>T>18°C, <=1800meter"
1555,ISLA DEL SANTUARIO [24015120],5.46727778,-73.73480556,2580,"Frío, 18°C>T>12°C, <=2800meter"
4111,PASANTO [5204011],1.21666667,-77.26666667,2528,"Frío, 18°C>T>12°C, <=2800meter"
4135,VUELTA LA [11010010],5.45894444,-76.54472222,98,"Cálido, T>=24°C, <=800meter"
4066,AEROPUERTO BERASTEGUI [13075040],8.88333333,-75.66666667,40,"Cálido, T>=24°C, <=800meter"
2359,SURBATA BONZA [24035120],5.80244444,-73.07447222,2485,"Frío, 18°C>T>12°C, <=2800meter"
2852,DABEIBA [11110060],7.0,-76.26666667,540,"Cálido, T>=24°C, <=800meter"
