,DEPARTAMENTO,nombre,latitud,longitud,altitud,ThermalLevelValue
2619,Valle del Cauca,INGENIO MANUELITA [26075050],3.57405556,-76.27780556,1059,"Templado, 24°C>T>18°C, <=1800meter"
1079,Chocó,ANDAGOYA [54020010],5.09766667,-76.6965,62,"Cálido, T>=24°C, <=800meter"
952,Antioquia,GOMEZ PLATA [27010160],6.67780556,-75.21980556,1850,"Frío, 18°C>T>12°C, <=2800meter"
2747,Antioquia,ANGOSTURA [27020040],6.88305556,-75.33247222,1650,"Templado, 24°C>T>18°C, <=1800meter"
4023,Antioquia,ZARAGOZA [27030030],7.48622222,-74.87238889,50,"Cálido, T>=24°C, <=800meter"
249,Meta,AEROPUERTO VANGUARDIA [35035020],4.16191944,-73.61757778,422,"Cálido, T>=24°C, <=800meter"
1834,Boyacá,IZA [24031030],5.6155,-72.97627778,2470,"Frío, 18°C>T>12°C, <=2800meter"
1076,Boyacá,TENZA [35070290],5.08333333,-73.41666667,1507,"Templado, 24°C>T>18°C, <=1800meter"
2013,Huila,AEROPUERTO BENITO SALAS [21115020],2.94875,-75.29305556,439,"Cálido, T>=24°C, <=800meter"
2523,Valle del Cauca,PALMIRA ICA [26075010],3.51347222,-76.31488889,1018,"Templado, 24°C>T>18°C, <=1800meter"
4399,Bolívar,CARMEN DE BOLIVAR [29015020],9.72,-75.11,152,"Cálido, T>=24°C, <=800meter"
4037,Antioquia,CACERES [26250010],7.57905556,-75.34783333,95,"Cálido, T>=24°C, <=800meter"
4006,Antioquia,AEROPUERTO GONZALO [12025010],8.11666667,-76.73333333,1,"Cálido, T>=24°C, <=800meter"
252,Santander,AEROPUERTO YARIGUIES [23155030],7.02638889,-73.80861111,126,"Cálido, T>=24°C, <=800meter"
902,Antioquia,PUERTO BERRIO [23090080],6.5,-74.4,125,"Cálido, T>=24°C, <=800meter"
1233,Valle del Cauca,BAJO CALIMA [54075020],3.95355556,-76.99044444,66,"Cálido, T>=24°C, <=800meter"
2627,La Guajira,RIOHACHA [15070250],11.53333333,-72.9,5,"Cálido, T>=24°C, <=800meter"
3437,Atlantico,SABANALARGA [29045030],10.63672222,-74.91888889,100,"Cálido, T>=24°C, <=800meter"
3635,Huila,PITALITO [21015010],1.86666667,-76.01666667,1320,"Templado, 24°C>T>18°C, <=1800meter"
4048,Sucre,SAN MARCOS [25020060],8.63333333,-75.13333333,60,"Cálido, T>=24°C, <=800meter"
3013,Sucre,AEROPUERTO LA FLORIDA [25025040],8.7,-75.18333333,30,"Cálido, T>=24°C, <=800meter"
2624,Cesar,CHIRIGUANA [25025050],9.36102778,-73.59338889,40,"Cálido, T>=24°C, <=800meter"
1485,Caldas,RIOSUCIO [26175010],5.43333333,-75.7,1810,"Frío, 18°C>T>12°C, <=2800meter"
1714,Casanare,OROCUE [35220020],4.79327778,-71.32911111,130,"Cálido, T>=24°C, <=800meter"
3714,Huila,ALTAMIRA [21025010],2.06666667,-75.8,180,"Cálido, T>=24°C, <=800meter"
2021,Cauca,SUAREZ [26055030],2.95455556,-76.69611111,195,"Cálido, T>=24°C, <=800meter"
3190,Norte de Santander,TEORAMA [16050250],8.44222222,-73.28527778,1160,"Templado, 24°C>T>18°C, <=1800meter"
332,Cundinamarca,ARRANCAPLUMAS  - AUT [21237020],5.20241667,-74.72761111,222,"Cálido, T>=24°C, <=800meter"
3386,Santander,PUERTO WILCHES [23187010],7.34438889,-73.90505556,66,"Cálido, T>=24°C, <=800meter"
195,Magdalena,EL BANCO - AUT [25027020],8.99252778,-73.96944444,29,"Cálido, T>=24°C, <=800meter"
866,Boyacá,COCUY EL [24031010],6.40822222,-72.44544444,2749,"Frío, 18°C>T>12°C, <=2800meter"
4466,Cesar,GAMARRA  [23217010],8.32,-73.74,35,"Cálido, T>=24°C, <=800meter"
657,Córdoba,LORICA [13080040],9.25,-75.83333333,80,"Cálido, T>=24°C, <=800meter"
2868,Norte de Santander,ALTO VIENTO [16010050],8.16666667,-72.48333333,165,"Cálido, T>=24°C, <=800meter"
162,Antioquia,PUERTO BERRIO - AUT [23097030],6.48513889,-74.40116667,111,"Cálido, T>=24°C, <=800meter"
139,Cundinamarca,PUERTO SALGAR - AUT [23037010],5.46966667,-74.66216667,186,"Cálido, T>=24°C, <=800meter"
333,Santander,BARRANCABERMEJA  - AUT [23157030],7.06019444,-73.876,75,"Cálido, T>=24°C, <=800meter"
770,Santander,CENTRO EL [23155040],6.85955556,-73.76508333,114,"Cálido, T>=24°C, <=800meter"
3774,Tolima,ALVARADO [21245030],4.56788889,-74.95130556,439,"Cálido, T>=24°C, <=800meter"
2555,La Guajira,MAICAO [15080150],11.38333333,-72.25,50,"Cálido, T>=24°C, <=800meter"
2635,La Guajira,PUERTO LOPEZ [15080090],11.93427778,-71.2825,2,"Cálido, T>=24°C, <=800meter"
361,Boyacá,GUAYATA [35070400],4.96666667,-73.48333333,1580,"Templado, 24°C>T>18°C, <=1800meter"
3502,Norte de Santander,TIBU [16035010],8.63833333,-72.72666667,50,"Cálido, T>=24°C, <=800meter"
2631,La Guajira,MANAURE [15075030],11.78105556,-72.4635,1,"Cálido, T>=24°C, <=800meter"
2830,Antioquia,AEROPUERTO OTU [23175020],7.01175,-74.71630556,643,"Cálido, T>=24°C, <=800meter"
2605,Sucre,AEROPUERTO RAFAEL BARVO [25025080],9.33388889,-75.28305556,166,"Cálido, T>=24°C, <=800meter"
2364,Valle del Cauca,CALIPUERTO [26075020],3.43333333,-76.4,930,"Templado, 24°C>T>18°C, <=1800meter"
3359,Santander,AEROPUERTO GOMEZ NINO [23195030],7.13333333,-73.13333333,931,"Templado, 24°C>T>18°C, <=1800meter"
3232,Bolívar,CALAMAR [29037020],10.25386111,-74.91169444,8,"Cálido, T>=24°C, <=800meter"
254,Norte de Santander,AEROPUERTO CAMILO DAZA [16015010],7.93027778,-72.50916667,250,"Cálido, T>=24°C, <=800meter"
2231,Bogotá,OBS MET NACIONAL [21205230],4.63333333,-74.1,2556,"Frío, 18°C>T>12°C, <=2800meter"
90,Valle del Cauca,BUENAVENTURA IDEAM  - AUT [53119010],3.890175,-77.06190833,40,"Cálido, T>=24°C, <=800meter"
2070,Cauca,AEROPUERTO G L VALENCIA [26035030],2.45288889,-76.60875,1752,"Templado, 24°C>T>18°C, <=1800meter"
1542,Cundinamarca,ISLA DEL SANTUARIO [24015120],5.46727778,-73.73480556,2580,"Frío, 18°C>T>12°C, <=2800meter"
4088,Nariño,PASANTO [5204011],1.21666667,-77.26666667,2528,"Frío, 18°C>T>12°C, <=2800meter"
4112,Chocó,VUELTA LA [11010010],5.45894444,-76.54472222,98,"Cálido, T>=24°C, <=800meter"
4043,Córdoba,AEROPUERTO BERASTEGUI [13075040],8.88333333,-75.66666667,40,"Cálido, T>=24°C, <=800meter"
2345,Boyacá,SURBATA BONZA [24035120],5.80244444,-73.07447222,2485,"Frío, 18°C>T>12°C, <=2800meter"
2834,Antioquia,DABEIBA [11110060],7.0,-76.26666667,540,"Cálido, T>=24°C, <=800meter"
96,RIsaralda,CARTAGO [26127040],4.75761111,-75.89925,937,"Templado, 24°C>T>18°C, <=1800meter"
2379,Tolima,PASO EL [21215050],4.5,-75.56666667,3264,"Muy Frío, 12°C>T>6°C, <=3700meter"
3341,Valle del Cauca,MATEGUADUA [26107130],4.01522222,-76.15797222,1057,"Templado, 24°C>T>18°C, <=1800meter"
1719,Cauca,BOCAT RIO PALO [26047020],3.06197222,-76.34877778,1090,"Templado, 24°C>T>18°C, <=1800meter"
452,Bolívar,GALERAZAMBA  - AUT [14015010],10.79416667,-75.26055556,20,"Cálido, T>=24°C, <=800meter"
2934,Antioquia,VILLA ARTEAGA [12010150],7.45,-76.61666667,150,"Cálido, T>=24°C, <=800meter"
1447,Valle del Cauca,POTRERITO [26057030],3.18536111,-76.56930556,1025,"Templado, 24°C>T>18°C, <=1800meter"
3750,Valle del Cauca,AEROPUERTO BUENAVENTUR [53115010],3.82011111,-76.99238889,28,"Cálido, T>=24°C, <=800meter"
3416,Valle del Cauca,INMACULADA LA [26110150],4.79383333,-75.9865,960,"Templado, 24°C>T>18°C, <=1800meter"
2208,Valle del Cauca,VIJES [26080070],3.69852778,-76.42972222,974,"Templado, 24°C>T>18°C, <=1800meter"
1449,Cauca,MIRANDA 1 [26040040],3.26666667,-76.26666667,160,"Cálido, T>=24°C, <=800meter"
1946,Valle del Cauca,BOCATOMA [26117010],4.35,-76.2,10,"Cálido, T>=24°C, <=800meter"
2052,Valle del Cauca,SAN ANTONIO [26050050],3.23333333,-76.66666667,1600,"Templado, 24°C>T>18°C, <=1800meter"
2275,Valle del Cauca,TIMBA [26057040],3.11711111,-76.62402778,1024,"Templado, 24°C>T>18°C, <=1800meter"
3953,Cauca,SALVAJINA LA [26027050],2.95,-76.7,170,"Cálido, T>=24°C, <=800meter"
117,RIsaralda,LA VIRGINIA - AUT [26177030],4.8925,-75.88269444,922,"Templado, 24°C>T>18°C, <=1800meter"
