Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1985,161.7,124.0,165.2,129.1,151.0,117.2,148.6,154.4,139.3,151.3,135.3,184.6,2120629,BSHG_TT_M
1986,154.1,120.4,149.3,119.2,149.1,112.3,141.4,167.7,146.9,65.0,115.5,184.1,2120629,BSHG_TT_M
1991,211.6,149.8,125.0,126.2,96.7,133.4,106.4,149.4,141.5,168.7,102.1,156.5,2120629,BSHG_TT_M
1992,197.8,156.9,155.5,127.2,130.7,163.1,133.4,155.5,159.7,149.6,123.8,177.3,2120629,BSHG_TT_M
1993,166.4,147.5,113.8,112.1,104.6,113.7,142.3,148.1,150.1,141.0,117.3,188.2,2120629,BSHG_TT_M
1994,175.8,126.8,142.1,125.2,124.1,168.1,152.1,152.6,154.3,120.4,145.4,175.5,2120629,BSHG_TT_M
1995,204.7,171.2,79.4,133.4,73.5,137.4,146.2,135.9,187.1,147.9,159.9,158.1,2120629,BSHG_TT_M
1996,180.8,110.1,130.6,133.8,116.5,121.0,152.3,166.4,168.7,144.3,158.9,157.8,2120629,BSHG_TT_M
1997,132.4,166.0,181.5,121.7,161.7,139.4,151.2,183.5,161.7,190.9,169.5,227.9,2120629,BSHG_TT_M
1998,224.9,170.5,137.2,130.9,120.1,132.2,141.2,160.1,157.9,162.4,145.0,156.6,2120629,BSHG_TT_M
1999,133.9,86.2,77.7,99.4,181.3,135.4,179.7,170.3,106.9,126.2,147.6,148.4,2120629,BSHG_TT_M
2000,124.0,116.6,82.5,90.0,72.1,106.7,124.6,144.5,70.4,96.4,116.9,96.8,2120629,BSHG_TT_M
2001,201.9,107.5,105.4,146.6,109.9,111.8,168.8,159.2,147.2,172.1,139.2,141.2,2120629,BSHG_TT_M
2002,214.7,180.4,158.8,112.7,126.0,123.3,109.9,98.1,152.5,175.1,143.8,176.3,2120629,BSHG_TT_M
2003,224.1,167.1,172.9,,,,15.1,181.9,153.5,141.4,152.6,186.1,2120629,BSHG_TT_M
2004,164.6,172.9,183.8,136.1,130.3,155.7,172.6,171.2,176.6,173.4,147.5,150.3,2120629,BSHG_TT_M
2005,168.2,153.6,191.3,116.8,156.8,136.6,207.8,153.9,134.1,157.6,133.0,112.3,2120629,BSHG_TT_M
2006,143.7,166.8,104.8,99.6,136.8,115.5,109.5,168.2,154.8,128.5,131.0,141.5,2120629,BSHG_TT_M
