Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1961,11.0,2.0,15.0,18.0,8.0,25.0,29.0,23.0,24.0,21.0,13.0,5.0,2120074,CD_PTPM_M
1970,9.0,10.0,3.0,12.0,14.0,12.0,14.0,14.0,12.0,19.0,12.0,3.0,2120074,CD_PTPM_M
1971,13.0,7.0,15.0,14.0,22.0,13.0,16.0,14.0,15.0,16.0,16.0,8.0,2120074,CD_PTPM_M
1972,11.0,8.0,15.0,21.0,22.0,21.0,14.0,10.0,3.0,11.0,19.0,8.0,2120074,CD_PTPM_M
1973,4.0,2.0,8.0,10.0,10.0,20.0,14.0,11.0,19.0,15.0,14.0,13.0,2120074,CD_PTPM_M
1974,10.0,15.0,16.0,14.0,16.0,12.0,17.0,10.0,14.0,13.0,16.0,3.0,2120074,CD_PTPM_M
1975,5.0,11.0,10.0,8.0,11.0,14.0,14.0,15.0,8.0,14.0,13.0,17.0,2120074,CD_PTPM_M
1976,4.0,8.0,18.0,15.0,16.0,15.0,13.0,6.0,2.0,19.0,4.0,3.0,2120074,CD_PTPM_M
1977,1.0,0.0,7.0,11.0,8.0,11.0,7.0,7.0,11.0,10.0,12.0,4.0,2120074,CD_PTPM_M
1978,0.0,1.0,13.0,14.0,10.0,11.0,4.0,10.0,11.0,4.0,6.0,0.0,2120074,CD_PTPM_M
1979,0.0,0.0,5.0,8.0,3.0,9.0,2.0,5.0,3.0,16.0,9.0,0.0,2120074,CD_PTPM_M
1980,0.0,4.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,2120074,CD_PTPM_M
1981,0.0,0.0,0.0,10.0,10.0,2.0,3.0,6.0,1.0,8.0,15.0,9.0,2120074,CD_PTPM_M
1982,5.0,7.0,13.0,19.0,17.0,2.0,7.0,7.0,12.0,12.0,9.0,3.0,2120074,CD_PTPM_M
1983,2.0,6.0,7.0,14.0,8.0,8.0,11.0,3.0,,4.0,3.0,5.0,2120074,CD_PTPM_M
1984,5.0,4.0,11.0,9.0,11.0,17.0,16.0,14.0,13.0,7.0,9.0,3.0,2120074,CD_PTPM_M
1985,5.0,4.0,9.0,7.0,17.0,13.0,7.0,7.0,14.0,1.0,3.0,4.0,2120074,CD_PTPM_M
1986,,1.0,5.0,3.0,15.0,18.0,15.0,11.0,15.0,24.0,18.0,4.0,2120074,CD_PTPM_M
1993,,,,,,,,,,,20.0,31.0,2120074,CD_PTPM_M
1994,17.0,14.0,25.0,21.0,23.0,15.0,28.0,18.0,11.0,12.0,5.0,9.0,2120074,CD_PTPM_M
1995,7.0,8.0,14.0,10.0,18.0,19.0,15.0,17.0,5.0,12.0,8.0,14.0,2120074,CD_PTPM_M
1996,11.0,11.0,14.0,17.0,19.0,21.0,27.0,14.0,11.0,18.0,16.0,11.0,2120074,CD_PTPM_M
1997,19.0,8.0,5.0,18.0,14.0,20.0,23.0,12.0,12.0,12.0,17.0,4.0,2120074,CD_PTPM_M
1998,5.0,7.0,16.0,22.0,29.0,20.0,23.0,19.0,21.0,17.0,19.0,13.0,2120074,CD_PTPM_M
1999,21.0,21.0,22.0,22.0,21.0,22.0,15.0,26.0,25.0,26.0,17.0,9.0,2120074,CD_PTPM_M
2000,15.0,20.0,13.0,13.0,24.0,23.0,22.0,20.0,23.0,16.0,16.0,19.0,2120074,CD_PTPM_M
2001,1.0,15.0,3.0,14.0,12.0,14.0,12.0,17.0,13.0,7.0,9.0,9.0,2120074,CD_PTPM_M
2002,7.0,5.0,14.0,12.0,25.0,19.0,19.0,21.0,11.0,9.0,14.0,7.0,2120074,CD_PTPM_M
2003,5.0,10.0,10.0,15.0,17.0,13.0,19.0,12.0,13.0,15.0,13.0,4.0,2120074,CD_PTPM_M
2004,5.0,4.0,9.0,17.0,23.0,18.0,17.0,13.0,17.0,15.0,13.0,2.0,2120074,CD_PTPM_M
2005,5.0,7.0,4.0,14.0,16.0,9.0,13.0,10.0,16.0,22.0,15.0,7.0,2120074,CD_PTPM_M
2006,17.0,8.0,16.0,27.0,23.0,21.0,20.0,18.0,10.0,17.0,14.0,5.0,2120074,CD_PTPM_M
2007,2.0,3.0,9.0,12.0,17.0,21.0,11.0,16.0,12.0,23.0,11.0,13.0,2120074,CD_PTPM_M
2008,5.0,7.0,11.0,13.0,,23.0,25.0,21.0,20.0,21.0,22.0,13.0,2120074,CD_PTPM_M
2009,10.0,12.0,21.0,19.0,18.0,20.0,22.0,20.0,15.0,18.0,12.0,4.0,2120074,CD_PTPM_M
2010,4.0,6.0,12.0,22.0,24.0,19.0,21.0,20.0,16.0,20.0,21.0,17.0,2120074,CD_PTPM_M
