Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1991,78.3,88.7,95.1,,90.8,,102.0,98.7,,133.0,,88.6,2120637,EV_TT_M
1992,108.9,,,,,89.9,95.1,,,,,77.6,2120637,EV_TT_M
1993,73.2,,,,,63.2,104.2,,,,,78.8,2120637,EV_TT_M
1994,71.9,68.1,80.9,77.3,46.2,81.9,91.0,77.7,42.7,73.0,51.9,0.7,2120637,EV_TT_M
1995,72.2,50.7,73.7,73.9,98.5,95.7,83.4,31.9,56.7,39.2,63.5,78.3,2120637,EV_TT_M
1996,27.7,,,,23.8,,10.2,,,,,,2120637,EV_TT_M
1997,59.2,83.3,124.3,101.7,91.1,109.9,138.5,151.2,158.4,144.7,92.6,135.8,2120637,EV_TT_M
1998,131.4,102.8,136.7,57.1,67.3,134.5,149.6,131.5,114.9,70.5,80.6,67.3,2120637,EV_TT_M
1999,104.3,81.2,123.2,105.3,126.4,107.1,148.0,155.9,88.8,118.2,107.4,99.8,2120637,EV_TT_M
2000,149.0,106.3,103.3,71.9,88.5,108.6,154.4,174.7,72.0,75.2,110.7,97.0,2120637,EV_TT_M
2001,151.1,119.2,101.4,119.6,116.9,139.1,141.0,157.6,91.1,154.2,126.8,78.1,2120637,EV_TT_M
2002,143.1,128.3,92.2,53.9,85.6,,,,,,,,2120637,EV_TT_M
2003,110.1,100.3,132.1,76.6,92.5,140.9,157.8,153.3,121.3,125.8,94.6,135.5,2120637,EV_TT_M
2004,125.7,136.5,128.8,147.8,88.0,145.6,139.3,155.4,126.7,121.8,104.8,135.4,2120637,EV_TT_M
2005,136.3,105.2,142.0,154.7,97.9,115.2,150.2,155.9,122.8,146.4,104.4,144.1,2120637,EV_TT_M
2006,138.4,131.8,131.8,118.5,152.2,128.8,166.0,204.4,179.4,151.3,143.3,107.2,2120637,EV_TT_M
2007,119.5,164.5,154.8,72.0,97.3,134.8,170.9,157.5,152.5,107.5,111.0,129.5,2120637,EV_TT_M
2008,126.3,135.8,140.1,134.3,140.4,103.1,139.4,140.5,121.2,142.1,115.5,120.6,2120637,EV_TT_M
2009,132.2,123.2,109.8,114.0,123.6,5.2,,,,37.1,135.4,123.4,2120637,EV_TT_M
2010,159.3,148.7,155.9,126.5,113.0,101.9,111.9,133.2,122.5,133.3,104.1,137.3,2120637,EV_TT_M
2011,135.9,104.7,126.5,118.3,103.8,123.9,153.7,154.9,164.1,128.4,112.8,108.1,2120637,EV_TT_M
2012,121.6,141.4,137.9,116.1,125.8,141.3,147.6,165.2,177.0,137.7,123.3,137.5,2120637,EV_TT_M
2013,143.8,131.2,129.6,159.3,124.7,126.3,161.3,156.2,155.5,166.8,117.9,136.4,2120637,EV_TT_M
2014,152.2,130.9,121.9,148.2,127.7,154.7,186.2,153.2,150.7,143.6,103.9,108.9,2120637,EV_TT_M
2015,131.1,89.4,65.2,102.3,79.1,149.5,184.2,,,131.1,114.7,140.4,2120637,EV_TT_M
2016,164.0,137.5,135.9,84.8,110.5,126.5,146.5,178.5,163.1,136.3,89.5,80.4,2120637,EV_TT_M
2017,111.7,147.4,104.1,97.6,85.3,94.8,153.0,170.7,160.8,118.5,100.4,108.0,2120637,EV_TT_M
2018,122.7,122.8,136.4,88.1,103.2,106.4,144.6,156.5,152.8,99.6,129.9,147.8,2120637,EV_TT_M
2019,136.6,109.9,,,,,,,,,,,2120637,EV_TT_M
1991,89.0,86.9,,64.3,,77.5,58.1,,74.0,74.5,,102.7,3509508,EV_TT_M
1992,101.6,93.2,79.9,70.9,81.9,72.5,43.8,58.1,65.0,64.6,,,3509508,EV_TT_M
1993,65.1,80.9,63.3,,53.1,,45.6,58.3,63.4,70.2,49.1,77.7,3509508,EV_TT_M
1994,75.0,49.1,54.4,53.4,56.9,69.2,50.8,54.4,51.8,66.2,46.1,54.2,3509508,EV_TT_M
1995,85.2,101.2,66.0,85.2,64.6,64.0,55.5,43.4,60.8,59.5,94.6,84.7,3509508,EV_TT_M
1996,78.1,96.5,75.8,81.8,69.1,54.0,61.9,56.5,64.7,45.6,55.3,89.1,3509508,EV_TT_M
1997,86.0,90.2,121.8,93.5,72.3,,,,,,,,3509508,EV_TT_M
1991,120.5,122.7,111.8,97.9,99.7,90.8,129.8,118.9,97.8,136.5,91.8,101.9,2120640,EV_TT_M
1992,108.6,112.5,121.0,128.2,113.3,112.2,155.8,152.4,122.9,140.0,93.5,108.9,2120640,EV_TT_M
1993,106.5,90.3,100.3,115.3,103.4,118.0,111.5,132.6,129.2,122.5,128.0,112.3,2120640,EV_TT_M
1994,121.0,93.0,98.6,86.6,84.0,113.6,112.8,106.0,99.4,79.9,78.9,110.9,2120640,EV_TT_M
1995,123.4,97.5,91.9,114.6,85.9,110.1,104.3,119.8,100.0,108.9,111.7,107.4,2120640,EV_TT_M
1996,102.0,105.0,109.9,110.4,96.4,90.2,116.9,137.6,120.1,107.8,106.8,116.9,2120640,EV_TT_M
1997,98.7,107.7,118.7,89.8,100.5,92.6,125.6,153.3,134.7,109.7,77.3,131.1,2120640,EV_TT_M
1998,123.3,129.9,122.3,104.2,112.1,136.5,141.4,151.9,136.7,121.9,116.1,122.6,2120640,EV_TT_M
1999,101.1,90.0,93.0,56.7,88.1,77.9,131.6,143.8,74.1,85.1,86.1,102.1,2120640,EV_TT_M
2000,117.6,92.5,101.8,64.7,67.7,83.3,126.3,139.2,85.9,116.3,103.9,102.2,2120640,EV_TT_M
2001,132.8,90.2,98.5,102.3,115.9,116.3,87.5,138.5,104.8,61.8,93.2,46.2,2120640,EV_TT_M
2002,109.4,115.7,74.8,42.7,87.2,66.7,90.5,130.3,86.8,102.8,81.8,75.7,2120640,EV_TT_M
2003,156.3,136.4,116.5,88.7,115.6,,22.2,37.5,43.0,26.0,87.3,35.8,2120640,EV_TT_M
2004,127.9,113.1,139.2,94.9,99.0,129.0,130.0,176.3,147.4,139.5,121.7,106.3,2120640,EV_TT_M
2005,107.4,127.0,146.7,133.4,159.3,125.9,143.9,165.4,129.3,118.1,99.8,104.1,2120640,EV_TT_M
2006,112.4,113.5,106.8,99.1,107.1,109.2,147.4,163.6,123.8,114.9,93.4,96.3,2120640,EV_TT_M
2007,14.3,171.3,148.7,89.8,102.4,100.7,145.2,129.5,132.0,95.7,98.6,104.1,2120640,EV_TT_M
2008,107.9,116.6,124.0,105.8,88.9,95.1,122.3,69.4,115.6,124.4,102.9,121.8,2120640,EV_TT_M
2009,103.4,100.6,101.6,50.3,,,,,,43.4,128.0,130.2,2120640,EV_TT_M
2010,62.3,58.9,76.6,87.7,67.3,55.0,88.0,106.7,106.8,123.8,96.2,101.3,2120640,EV_TT_M
2011,129.7,101.7,70.2,33.9,60.0,100.9,106.0,131.2,130.7,103.8,89.5,48.8,2120640,EV_TT_M
2012,129.5,120.3,126.6,60.8,115.7,109.7,118.2,134.1,129.3,140.7,89.7,116.6,2120640,EV_TT_M
2013,164.7,109.7,132.7,143.2,96.9,110.3,139.8,138.3,165.2,129.7,124.9,105.7,2120640,EV_TT_M
2014,124.8,103.4,110.4,113.4,106.0,102.8,146.6,153.7,163.9,138.4,110.4,134.1,2120640,EV_TT_M
2015,151.3,128.6,142.3,116.3,121.1,104.6,141.6,121.3,106.7,113.2,110.4,106.0,2120640,EV_TT_M
2016,116.9,121.5,124.9,105.0,109.5,108.2,128.6,155.1,108.0,99.7,98.1,95.1,2120640,EV_TT_M
2017,102.1,99.6,88.7,90.2,87.0,99.7,105.3,104.3,119.3,111.2,102.3,108.3,2120640,EV_TT_M
2018,107.8,96.5,134.4,102.4,120.2,95.9,111.5,151.4,152.9,112.9,89.5,132.0,2120640,EV_TT_M
2019,147.8,113.2,,,,,,,,,,,2120640,EV_TT_M
1985,61.0,,65.2,56.5,75.5,81.4,83.7,101.4,101.3,60.8,55.4,75.0,2120629,EV_TT_M
1986,53.8,40.3,77.4,62.9,47.9,61.3,76.8,87.5,90.3,74.4,53.3,55.7,2120629,EV_TT_M
1991,79.6,54.3,53.1,59.4,76.6,55.7,70.2,76.2,64.3,88.5,56.8,82.7,2120629,EV_TT_M
1992,72.8,67.8,91.4,85.1,80.0,80.9,83.9,84.2,89.2,,,81.0,2120629,EV_TT_M
1993,105.0,,77.0,75.0,73.2,87.7,78.9,54.3,87.4,68.2,54.2,89.4,2120629,EV_TT_M
1994,43.0,69.1,79.9,57.1,78.3,79.3,68.5,68.1,96.5,68.5,71.0,93.3,2120629,EV_TT_M
1995,63.2,66.7,81.4,73.2,33.1,65.5,67.1,69.2,79.3,82.5,61.4,72.5,2120629,EV_TT_M
1996,78.4,71.8,81.3,74.2,59.3,62.7,85.8,80.5,81.0,68.8,78.2,81.2,2120629,EV_TT_M
