Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1991,27.0,25.0,26.0,32.0,38.0,36.0,41.0,35.0,35.0,29.0,38.0,27.0,2120629,HRHG_MN_M
1992,22.0,15.0,19.0,36.0,32.0,30.0,28.0,29.0,19.0,22.0,13.0,26.0,2120629,HRHG_MN_M
1993,2.0,19.0,28.0,39.0,36.0,33.0,31.0,28.0,25.0,23.0,30.0,14.0,2120629,HRHG_MN_M
1994,21.0,23.0,29.0,26.0,34.0,16.0,27.0,24.0,21.0,26.0,19.0,21.0,2120629,HRHG_MN_M
1995,14.0,2.0,26.0,25.0,27.0,32.0,31.0,45.0,,30.0,21.0,12.0,2120629,HRHG_MN_M
1996,13.0,,20.0,24.0,29.0,25.0,22.0,17.0,17.0,24.0,19.0,17.0,2120629,HRHG_MN_M
1997,19.0,14.0,12.0,17.0,23.0,,,10.0,10.0,,,8.0,2120629,HRHG_MN_M
1998,7.0,10.0,8.0,18.0,20.0,18.0,17.0,11.0,11.0,16.0,17.0,,2120629,HRHG_MN_M
1999,,,,47.0,40.0,38.0,53.0,50.0,45.0,59.0,54.0,55.0,2120629,HRHG_MN_M
2000,36.0,24.0,41.0,30.0,55.0,46.0,28.0,42.0,39.0,50.0,49.0,24.0,2120629,HRHG_MN_M
2001,27.0,25.0,45.0,38.0,44.0,45.0,45.0,55.0,46.0,50.0,55.0,54.0,2120629,HRHG_MN_M
2002,,37.0,38.0,46.0,45.0,55.0,45.0,,,,,,2120629,HRHG_MN_M
2003,29.0,38.0,39.0,44.0,42.0,41.0,26.0,,,,,,2120629,HRHG_MN_M
2009,54.0,55.0,58.0,57.0,48.0,52.0,,,50.0,48.0,58.0,41.0,2120629,HRHG_MN_M
2010,40.0,46.0,48.0,,62.0,,65.0,52.0,45.0,56.0,64.0,58.0,2120629,HRHG_MN_M
2011,50.0,45.0,55.0,62.0,66.0,57.0,59.0,47.0,50.0,42.0,55.0,45.0,2120629,HRHG_MN_M
2012,42.0,40.0,50.0,54.0,52.0,51.0,48.0,48.0,43.0,44.0,40.0,41.0,2120629,HRHG_MN_M
2013,29.0,51.0,53.0,56.0,49.0,54.0,37.0,61.0,51.0,46.0,49.0,57.0,2120629,HRHG_MN_M
2014,57.0,52.0,47.0,50.0,47.0,56.0,49.0,37.0,44.0,62.0,54.0,37.0,2120629,HRHG_MN_M
2015,29.0,32.0,49.0,50.0,34.0,56.0,48.0,47.0,29.0,44.0,58.0,32.0,2120629,HRHG_MN_M
2016,41.0,47.0,47.0,61.0,61.0,45.0,54.0,46.0,51.0,42.0,59.0,45.0,2120629,HRHG_MN_M
2017,48.0,30.0,41.0,70.0,49.0,50.0,64.0,,,54.0,62.0,48.0,2120629,HRHG_MN_M
2018,49.0,61.0,41.0,63.0,49.0,51.0,63.0,41.0,46.0,54.0,57.0,31.0,2120629,HRHG_MN_M
2019,48.0,40.0,,,,,,,,,,,2120629,HRHG_MN_M
1996,,,,,,,35.0,,,35.0,50.0,44.0,2119514,HRHG_MN_M
1997,43.0,,29.0,35.0,30.0,29.0,32.0,20.0,21.0,19.0,30.0,24.0,2119514,HRHG_MN_M
1998,19.0,21.0,33.0,32.0,32.0,28.0,33.0,27.0,28.0,25.0,34.0,38.0,2119514,HRHG_MN_M
1999,41.0,31.0,29.0,25.0,,29.0,27.0,17.0,25.0,23.0,34.0,34.0,2119514,HRHG_MN_M
2000,22.0,18.0,31.0,23.0,30.0,27.0,24.0,23.0,27.0,19.0,28.0,23.0,2119514,HRHG_MN_M
2001,24.0,15.0,20.0,21.0,18.0,25.0,31.0,17.0,20.0,21.0,27.0,27.0,2119514,HRHG_MN_M
2002,21.0,23.0,20.0,29.0,27.0,23.0,,,,,,,2119514,HRHG_MN_M
2004,14.0,18.0,13.0,14.0,17.0,15.0,17.0,12.0,12.0,18.0,20.0,20.0,2119514,HRHG_MN_M
2005,16.0,13.0,14.0,15.0,17.0,17.0,14.0,15.0,55.0,57.0,65.0,67.0,2119514,HRHG_MN_M
2009,56.0,54.0,51.0,47.0,44.0,49.0,47.0,40.0,32.0,38.0,48.0,46.0,2119514,HRHG_MN_M
2010,34.0,44.0,35.0,42.0,57.0,52.0,48.0,49.0,40.0,51.0,56.0,,2119514,HRHG_MN_M
2011,51.0,57.0,58.0,46.0,61.0,41.0,59.0,43.0,31.0,50.0,48.0,49.0,2119514,HRHG_MN_M
2012,51.0,44.0,52.0,43.0,36.0,43.0,36.0,34.0,32.0,36.0,36.0,49.0,2119514,HRHG_MN_M
2013,37.0,52.0,47.0,55.0,49.0,43.0,,55.0,45.0,41.0,47.0,59.0,2119514,HRHG_MN_M
2014,46.0,57.0,50.0,47.0,46.0,46.0,48.0,33.0,35.0,41.0,48.0,28.0,2119514,HRHG_MN_M
2015,29.0,37.0,46.0,48.0,46.0,52.0,44.0,37.0,23.0,41.0,53.0,33.0,2119514,HRHG_MN_M
2016,36.0,37.0,47.0,42.0,52.0,47.0,48.0,37.0,42.0,45.0,49.0,54.0,2119514,HRHG_MN_M
2017,53.0,38.0,53.0,,67.0,51.0,41.0,41.0,34.0,40.0,54.0,50.0,2119514,HRHG_MN_M
2018,50.0,52.0,36.0,55.0,51.0,47.0,49.0,43.0,44.0,41.0,59.0,46.0,2119514,HRHG_MN_M
2019,45.0,48.0,52.0,,,,,,,,,,2119514,HRHG_MN_M
1991,18.0,15.0,19.0,31.0,38.0,38.0,39.0,33.0,33.0,32.0,36.0,24.0,2401521,HRHG_MN_M
1992,23.0,14.0,10.0,24.0,31.0,34.0,19.0,33.0,24.0,28.0,31.0,24.0,2401521,HRHG_MN_M
1993,20.0,16.0,28.0,37.0,35.0,43.0,39.0,37.0,34.0,33.0,25.0,13.0,2401521,HRHG_MN_M
1994,13.0,,54.0,51.0,44.0,29.0,35.0,,,20.0,26.0,20.0,2401521,HRHG_MN_M
1995,,,24.0,28.0,29.0,33.0,34.0,31.0,27.0,27.0,14.0,25.0,2401521,HRHG_MN_M
