Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1998,,,,,,,,,,,,11.0,2306715,NV_MN_M
1999,8.0,7.0,18.0,20.0,22.0,18.0,10.0,,10.0,18.0,16.0,17.0,2306715,NV_MN_M
2000,10.0,10.0,10.0,11.0,16.0,18.0,14.0,6.0,7.0,10.0,9.0,4.0,2306715,NV_MN_M
2001,3.0,0.0,2.0,,,,,,,,,,2306715,NV_MN_M
2002,8.0,4.0,2.0,38.0,18.0,14.0,10.0,6.0,,,,,2306715,NV_MN_M
2004,10.0,8.0,9.0,9.0,10.0,8.0,8.0,6.0,10.0,14.0,28.0,10.0,2306715,NV_MN_M
2005,8.0,1.0,8.0,10.0,18.0,9.0,7.0,3.0,8.0,40.0,34.0,9.0,2306715,NV_MN_M
2007,1.0,6.0,9.0,12.0,8.0,8.0,8.0,,10.0,14.0,2.0,8.0,2306715,NV_MN_M
2008,2.0,6.0,8.0,6.0,4.0,1.0,1.0,1.0,2.0,5.0,7.0,3.0,2306715,NV_MN_M
2009,1.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,8.0,48.0,46.0,48.0,2306715,NV_MN_M
2010,42.0,38.0,42.0,46.0,48.0,48.0,41.0,36.0,48.0,46.0,47.0,47.0,2306715,NV_MN_M
2011,30.0,12.0,6.0,2.0,2.0,2.0,,,,,,42.0,2306715,NV_MN_M
2012,60.0,54.0,,62.0,62.0,60.0,38.0,64.0,,,68.0,58.0,2306715,NV_MN_M
2013,48.0,48.0,50.0,50.0,48.0,42.0,55.0,48.0,44.0,38.0,48.0,46.0,2306715,NV_MN_M
2014,46.0,48.0,52.0,50.0,52.0,46.0,48.0,44.0,46.0,52.0,48.0,48.0,2306715,NV_MN_M
2015,48.0,50.0,52.0,60.0,44.0,4.0,19.0,42.0,23.0,40.0,44.0,42.0,2306715,NV_MN_M
2016,32.0,32.0,40.0,41.0,38.0,39.0,20.0,19.0,17.0,17.0,27.0,28.0,2306715,NV_MN_M
2017,28.0,24.0,24.0,30.0,27.0,26.0,26.0,,,,46.0,57.0,2306715,NV_MN_M
2018,56.0,53.0,54.0,54.0,58.0,53.0,51.0,,,,,,2306715,NV_MN_M
2019,48.0,46.0,51.0,50.0,50.0,53.0,,,,,,,2306715,NV_MN_M
1993,226.0,225.0,224.0,221.0,226.0,232.0,134.0,228.0,226.0,223.0,223.0,221.0,2120918,NV_MN_M
1994,221.0,219.0,220.0,229.0,234.0,228.0,228.0,227.0,224.0,230.0,235.0,221.0,2120918,NV_MN_M
1995,217.0,216.0,218.0,219.0,226.0,224.0,221.0,228.0,225.0,223.0,228.0,222.0,2120918,NV_MN_M
1996,217.0,216.0,220.0,219.0,223.0,222.0,230.0,226.0,223.0,223.0,224.0,221.0,2120918,NV_MN_M
1997,222.0,217.0,215.0,218.0,217.0,219.0,228.0,224.0,216.0,214.0,214.0,214.0,2120918,NV_MN_M
