Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1998,,,,,,,,,,,,29.0,2306715,NV_MX_M
1999,26.0,46.0,35.0,48.0,85.0,43.0,28.0,,45.0,65.0,65.0,49.0,2306715,NV_MX_M
2000,28.0,20.0,33.0,32.0,78.0,100.0,28.0,13.0,21.0,26.0,35.0,14.0,2306715,NV_MX_M
2001,14.0,9.0,17.0,,,,,,,,,,2306715,NV_MX_M
2002,15.0,42.0,30.0,50.0,30.0,40.0,20.0,32.0,,,,,2306715,NV_MX_M
2004,90.0,80.0,60.0,64.0,82.0,20.0,56.0,20.0,34.0,90.0,90.0,60.0,2306715,NV_MX_M
2005,90.0,20.0,60.0,70.0,70.0,18.0,11.0,16.0,60.0,62.0,60.0,40.0,2306715,NV_MX_M
2007,70.0,16.0,50.0,50.0,30.0,18.0,18.0,,20.0,34.0,14.0,14.0,2306715,NV_MX_M
2008,22.0,28.0,24.0,40.0,48.0,18.0,13.0,14.0,28.0,36.0,36.0,38.0,2306715,NV_MX_M
2009,32.0,32.0,38.0,38.0,38.0,18.0,24.0,32.0,72.0,72.0,76.0,68.0,2306715,NV_MX_M
2010,56.0,48.0,68.0,70.0,68.0,72.0,58.0,44.0,78.0,78.0,78.0,68.0,2306715,NV_MX_M
2011,48.0,30.0,38.0,44.0,28.0,28.0,,,,,,74.0,2306715,NV_MX_M
2012,88.0,82.0,,74.0,78.0,72.0,68.0,88.0,,,76.0,70.0,2306715,NV_MX_M
2013,62.0,68.0,68.0,62.0,68.0,72.0,68.0,68.0,50.0,68.0,58.0,66.0,2306715,NV_MX_M
2014,70.0,65.0,70.0,68.0,76.0,70.0,60.0,52.0,66.0,75.0,78.0,59.0,2306715,NV_MX_M
2015,64.0,66.0,70.0,74.0,54.0,44.0,52.0,48.0,46.0,48.0,56.0,56.0,2306715,NV_MX_M
2016,42.0,48.0,50.0,60.0,44.0,72.0,72.0,22.0,22.0,52.0,31.0,34.0,2306715,NV_MX_M
2017,50.0,29.0,40.0,70.0,32.0,33.0,42.0,,,,60.0,60.0,2306715,NV_MX_M
2018,60.0,59.0,59.0,60.0,66.0,61.0,53.0,,,,,,2306715,NV_MX_M
2019,53.0,56.0,56.0,57.0,58.0,58.0,,,,,,,2306715,NV_MX_M
1996,,,,,,,306.0,320.0,288.0,368.0,256.0,249.0,2120918,NV_MX_M
1997,291.0,228.0,232.0,310.0,250.0,238.0,308.0,239.0,242.0,244.0,227.0,220.0,2120918,NV_MX_M
1998,214.0,216.0,239.0,320.0,372.0,254.0,276.0,282.0,240.0,364.0,300.0,268.0,2120918,NV_MX_M
1999,278.0,284.0,288.0,330.0,240.0,250.0,225.0,274.0,358.0,360.0,320.0,376.0,2120918,NV_MX_M
2000,227.0,241.0,300.0,242.0,230.0,324.0,288.0,250.0,346.0,292.0,360.0,234.0,2120918,NV_MX_M
2001,221.0,255.0,320.0,248.0,234.0,228.0,224.0,250.0,310.0,238.0,290.0,242.0,2120918,NV_MX_M
2002,350.0,235.0,280.0,350.0,316.0,341.0,260.0,286.0,244.0,328.0,308.0,250.0,2120918,NV_MX_M
2003,,,225.0,308.0,244.0,229.0,244.0,240.0,234.0,276.0,324.0,330.0,2120918,NV_MX_M
2004,250.0,214.0,217.0,238.0,293.0,261.0,226.0,236.0,254.0,300.0,350.0,295.0,2120918,NV_MX_M
2005,286.0,233.0,216.0,242.0,278.0,230.0,226.0,231.0,241.0,326.0,292.0,256.0,2120918,NV_MX_M
2006,238.0,220.0,283.0,370.0,342.0,302.0,240.0,229.0,221.0,274.0,320.0,251.0,2120918,NV_MX_M
2007,226.0,212.0,227.0,276.0,222.0,258.0,240.0,246.0,234.0,576.0,269.0,293.0,2120918,NV_MX_M
2008,248.0,242.0,227.0,286.0,300.0,265.0,286.0,257.0,294.0,280.0,312.0,264.0,2120918,NV_MX_M
2009,230.0,247.0,320.0,335.0,236.0,232.0,242.0,300.0,230.0,276.0,217.0,217.0,2120918,NV_MX_M
2010,212.0,216.0,212.0,370.0,308.0,262.0,318.0,271.0,266.0,294.0,312.0,334.0,2120918,NV_MX_M
2011,237.0,260.0,400.0,404.0,386.0,306.0,264.0,261.0,270.0,320.0,390.0,300.0,2120918,NV_MX_M
2012,250.0,222.0,207.0,200.0,56.0,56.0,66.0,69.0,44.0,98.0,106.0,52.0,2120918,NV_MX_M
2013,30.0,39.0,51.0,96.0,88.0,40.0,40.0,45.0,42.0,46.0,126.0,73.0,2120918,NV_MX_M
2014,38.0,35.0,97.0,40.0,106.0,78.0,54.0,46.0,42.0,52.0,109.0,55.0,2120918,NV_MX_M
2015,38.0,42.0,48.0,70.0,36.0,82.0,74.0,69.0,42.0,37.0,38.0,34.0,2120918,NV_MX_M
2016,30.0,27.0,38.0,120.0,80.0,58.0,52.0,56.0,108.0,50.0,160.0,76.0,2120918,NV_MX_M
2017,50.0,42.0,150.0,132.0,120.0,100.0,72.0,56.0,47.0,56.0,169.0,88.0,2120918,NV_MX_M
2018,72.0,46.0,58.0,141.0,197.0,64.0,66.0,56.0,112.0,98.0,78.0,43.0,2120918,NV_MX_M
2019,32.0,32.0,69.0,121.0,47.0,,,,,,,,2120918,NV_MX_M
1991,154.0,110.0,200.0,200.0,125.0,120.0,70.0,92.0,135.0,190.0,155.0,132.0,2120896,NV_MX_M
1992,100.0,100.0,100.0,100.0,95.0,75.0,54.0,62.0,51.0,50.0,165.0,153.0,2120896,NV_MX_M
1993,175.0,160.0,131.0,170.0,145.0,836.0,82.0,64.0,101.0,160.0,162.0,167.0,2120896,NV_MX_M
1994,145.0,140.0,140.0,148.0,110.0,103.0,74.0,70.0,79.0,130.0,148.0,100.0,2120896,NV_MX_M
1995,95.0,120.0,150.0,200.0,130.0,131.0,92.0,140.0,140.0,240.0,141.0,110.0,2120896,NV_MX_M
1996,155.0,104.0,,,994.0,100.0,201.0,89.0,110.0,210.0,120.0,120.0,2120896,NV_MX_M
1997,250.0,115.0,405.0,380.0,190.0,105.0,89.0,59.0,,105.0,,,2120896,NV_MX_M
1998,80.0,100.0,150.0,160.0,202.0,97.0,91.0,70.0,85.0,80.0,100.0,100.0,2120896,NV_MX_M
1999,93.0,115.0,150.0,150.0,108.0,100.0,73.0,75.0,100.0,110.0,150.0,110.0,2120896,NV_MX_M
2000,120.0,152.0,182.0,182.0,100.0,85.0,85.0,70.0,70.0,85.0,110.0,95.0,2120896,NV_MX_M
2001,70.0,75.0,75.0,55.0,88.0,90.0,64.0,40.0,65.0,140.0,130.0,130.0,2120896,NV_MX_M
2002,95.0,100.0,150.0,130.0,98.0,100.0,564.0,54.0,90.0,180.0,150.0,100.0,2120896,NV_MX_M
2003,80.0,,,,,,,,,,,,2120896,NV_MX_M
2004,,,150.0,150.0,160.0,92.0,,,,,,,2120896,NV_MX_M
2007,92.0,,48.0,180.0,150.0,80.0,50.0,145.0,56.0,200.0,200.0,150.0,2120896,NV_MX_M
