Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1961,6.0,6.0,15.0,31.0,5.0,21.0,4.0,15.0,12.0,31.0,15.0,5.0,2120074,PTPG_MX_D
1970,12.0,26.0,14.0,16.0,23.0,9.0,12.0,7.0,26.0,26.0,25.0,15.0,2120074,PTPG_MX_D
1971,9.0,36.0,25.0,31.0,32.0,17.0,11.0,46.0,18.0,48.0,17.0,18.0,2120074,PTPG_MX_D
1972,38.0,14.0,22.0,25.0,45.0,30.0,9.0,6.0,11.0,25.0,24.0,2.0,2120074,PTPG_MX_D
1973,7.0,8.0,121.0,24.0,31.0,21.0,32.0,22.0,32.0,28.0,33.0,28.0,2120074,PTPG_MX_D
1974,6.0,22.0,30.0,16.0,25.0,16.0,9.0,41.0,24.0,61.0,60.0,59.0,2120074,PTPG_MX_D
1975,14.0,22.0,31.0,30.0,24.0,8.0,21.0,20.0,50.0,56.0,40.0,21.0,2120074,PTPG_MX_D
1976,3.0,22.0,34.0,54.0,33.0,13.0,5.0,14.0,2.0,17.0,9.0,27.0,2120074,PTPG_MX_D
1977,11.0,0.0,32.0,31.0,24.0,21.0,19.0,15.0,29.0,23.0,39.0,21.0,2120074,PTPG_MX_D
1978,0.0,20.0,36.0,40.0,24.0,10.0,6.0,36.0,14.0,18.0,6.0,0.0,2120074,PTPG_MX_D
1979,0.0,0.0,32.0,45.0,37.0,26.0,24.0,34.0,24.0,33.0,35.0,0.0,2120074,PTPG_MX_D
1980,0.0,19.0,10.0,7.0,11.0,29.0,1.0,18.0,1.0,0.0,38.0,0.0,2120074,PTPG_MX_D
1981,0.0,0.0,0.0,27.0,25.0,12.0,3.0,12.0,10.0,25.0,22.0,20.0,2120074,PTPG_MX_D
1982,11.0,11.0,14.0,31.0,42.0,3.0,4.0,2.0,38.0,39.0,29.0,14.0,2120074,PTPG_MX_D
1983,6.0,28.0,21.0,89.0,40.0,5.0,8.0,5.0,,12.0,59.0,21.0,2120074,PTPG_MX_D
1984,9.0,16.0,24.0,34.0,12.0,15.0,22.0,28.0,26.0,32.0,14.0,22.0,2120074,PTPG_MX_D
1985,9.0,7.0,4.0,4.0,39.0,9.0,13.0,4.0,14.0,42.0,16.0,12.0,2120074,PTPG_MX_D
1986,,10.0,10.0,15.0,39.0,21.0,16.0,5.0,18.0,41.0,23.0,7.0,2120074,PTPG_MX_D
1993,,,,,,,,,,,20.0,10.0,2120074,PTPG_MX_D
1994,10.0,10.0,11.0,11.0,40.0,10.0,21.0,9.0,5.0,5.0,7.0,2.0,2120074,PTPG_MX_D
1995,3.0,33.0,24.0,28.0,30.0,7.0,30.0,19.0,61.0,29.0,15.0,19.0,2120074,PTPG_MX_D
1996,15.0,18.0,29.0,38.0,58.0,21.0,29.0,22.0,6.0,46.0,30.0,38.0,2120074,PTPG_MX_D
1997,24.0,12.0,20.0,15.0,7.0,16.0,7.0,15.0,10.0,11.0,21.0,4.0,2120074,PTPG_MX_D
1998,10.0,29.0,33.0,71.0,47.0,18.0,26.0,17.0,11.0,36.0,36.0,18.0,2120074,PTPG_MX_D
1999,11.0,19.0,18.0,14.0,15.0,10.0,17.0,14.0,26.0,34.0,40.0,22.0,2120074,PTPG_MX_D
2000,24.0,21.0,18.0,20.0,13.0,22.0,29.0,13.0,29.0,16.0,31.0,3.0,2120074,PTPG_MX_D
2001,28.0,3.0,9.0,5.0,18.0,5.0,18.0,12.0,27.0,28.0,16.0,27.0,2120074,PTPG_MX_D
2002,3.0,11.0,36.0,24.0,25.0,14.0,9.0,12.0,14.0,48.0,15.0,19.0,2120074,PTPG_MX_D
2003,13.0,25.0,14.0,38.0,16.0,10.0,10.0,12.0,16.0,17.0,26.0,16.0,2120074,PTPG_MX_D
2004,30.0,6.0,22.0,45.0,24.0,8.0,13.0,6.0,34.0,27.0,36.0,18.0,2120074,PTPG_MX_D
2005,13.0,29.0,13.0,33.0,25.0,27.0,34.0,13.0,12.0,74.0,27.0,29.0,2120074,PTPG_MX_D
2006,11.0,27.0,28.0,42.0,35.0,52.0,13.0,12.0,7.0,25.0,62.0,15.0,2120074,PTPG_MX_D
2007,2.0,7.0,18.0,26.0,9.0,17.0,6.0,7.0,9.0,67.0,11.0,17.0,2120074,PTPG_MX_D
2008,15.0,8.0,35.0,19.0,,42.0,16.0,20.0,17.0,22.0,23.0,19.0,2120074,PTPG_MX_D
2009,21.0,12.0,14.0,15.0,12.0,9.0,7.0,7.0,9.0,46.0,23.0,3.0,2120074,PTPG_MX_D
2010,3.0,5.0,20.0,31.0,44.0,23.0,35.0,10.0,33.0,24.0,22.0,22.0,2120074,PTPG_MX_D
2011,13.0,31.0,26.0,42.0,45.0,38.0,15.0,12.0,22.0,35.0,23.0,19.0,2120074,PTPG_MX_D
2012,21.0,12.0,39.0,36.0,17.0,14.0,21.0,10.0,8.0,30.0,34.0,10.0,2120074,PTPG_MX_D
2013,26.0,15.0,18.0,20.0,13.0,7.0,6.0,15.0,16.0,58.0,35.0,19.0,2120074,PTPG_MX_D
2014,7.6,16.0,9.1,16.3,14.5,8.5,5.7,7.0,5.2,28.2,19.3,15.8,2120074,PTPG_MX_D
2015,14.0,31.0,16.0,21.0,5.0,14.0,10.0,10.0,3.0,22.0,8.0,3.0,2120074,PTPG_MX_D
2016,10.0,15.0,23.0,23.0,24.0,21.0,8.0,15.0,14.0,26.0,30.0,13.0,2120074,PTPG_MX_D
2017,14.0,15.0,42.0,20.0,29.0,32.0,13.0,43.0,8.0,26.0,27.0,28.0,2120074,PTPG_MX_D
2018,16.0,15.0,42.0,25.0,28.0,11.0,11.0,11.0,15.0,39.0,16.0,1.0,2120074,PTPG_MX_D
1981,10.0,21.0,16.0,36.0,38.0,11.0,1.0,26.0,6.0,20.0,29.0,24.0,2401051,PTPG_MX_D
1982,22.0,2.0,,17.0,,4.0,6.0,4.0,8.0,34.0,18.0,16.0,2401051,PTPG_MX_D
1991,13.0,26.0,40.0,71.0,23.0,8.0,15.0,5.0,18.0,28.0,42.0,16.0,2401051,PTPG_MX_D
1992,23.0,21.0,61.0,14.0,17.0,18.0,3.0,17.0,29.0,15.0,52.0,23.0,2401051,PTPG_MX_D
1993,19.0,34.0,72.0,32.0,75.0,4.0,10.0,7.0,13.0,17.0,43.0,12.0,2401051,PTPG_MX_D
1994,23.0,24.0,31.0,19.0,18.0,5.0,17.0,2.0,30.0,31.0,53.0,3.0,2401051,PTPG_MX_D
1995,11.0,44.0,61.0,40.0,30.0,13.0,6.0,33.0,9.0,31.0,55.0,43.0,2401051,PTPG_MX_D
1996,30.0,22.0,30.0,23.0,26.0,16.0,5.0,5.0,2.0,2.0,35.0,24.0,2401051,PTPG_MX_D
1997,2.0,,9.0,24.0,58.0,21.0,4.0,1.0,15.0,18.0,23.0,5.0,2401051,PTPG_MX_D
1998,10.0,12.0,69.0,30.0,66.0,14.0,9.0,24.0,7.0,59.0,55.0,28.0,2401051,PTPG_MX_D
1999,38.0,26.0,45.0,47.0,9.0,12.0,6.0,17.0,22.0,32.0,48.0,28.0,2401051,PTPG_MX_D
2001,,,,,,,,4.0,36.0,23.0,79.0,27.0,2401051,PTPG_MX_D
2002,3.0,8.0,42.0,35.0,30.0,12.0,25.0,7.0,26.0,54.0,,,2401051,PTPG_MX_D
2006,16.0,14.0,37.0,35.0,25.0,18.0,,,,,,,2401051,PTPG_MX_D
2007,,,,22.0,13.0,6.0,13.0,17.0,3.0,37.0,26.0,29.0,2401051,PTPG_MX_D
2008,13.0,21.0,34.0,17.0,29.0,13.0,15.0,16.0,,,44.0,20.0,2401051,PTPG_MX_D
2009,24.0,17.0,25.0,21.0,32.0,6.0,4.0,10.0,32.0,32.0,24.0,8.0,2401051,PTPG_MX_D
2010,2.0,20.0,10.0,49.0,32.0,34.0,45.0,3.0,28.0,30.0,23.0,38.0,2401051,PTPG_MX_D
2011,25.0,26.0,41.0,42.0,37.0,29.0,17.0,14.0,21.0,33.0,43.0,44.0,2401051,PTPG_MX_D
2012,46.0,10.0,28.0,27.0,27.0,7.0,7.0,5.0,10.0,23.0,13.0,30.0,2401051,PTPG_MX_D
2013,7.0,27.0,13.0,21.0,37.0,14.0,5.0,29.0,19.0,29.0,47.0,30.0,2401051,PTPG_MX_D
2014,18.0,30.0,31.0,40.0,59.0,36.0,4.0,2.0,11.0,28.0,49.0,27.0,2401051,PTPG_MX_D
2015,35.0,27.0,18.0,0.0,5.0,9.0,4.0,5.0,11.0,6.0,19.0,1.0,2401051,PTPG_MX_D
2016,38.0,19.0,25.0,21.0,15.0,2.0,6.0,7.0,25.0,26.0,42.0,1.0,2401051,PTPG_MX_D
2017,4.0,14.0,41.0,44.0,17.0,33.0,1.0,37.0,5.0,21.0,65.0,14.0,2401051,PTPG_MX_D
2018,21.0,18.0,24.0,75.0,34.0,4.0,5.0,,,,27.0,4.0,2401051,PTPG_MX_D
2019,0.0,,,,,,,,,,,,2401051,PTPG_MX_D
1991,14.0,33.0,21.0,73.0,30.0,65.0,51.0,20.0,34.0,31.0,59.0,14.0,2120637,PTPG_MX_D
1992,19.0,9.0,39.0,19.0,40.0,16.0,30.0,4.0,16.0,15.0,32.0,36.0,2120637,PTPG_MX_D
1993,38.0,18.0,42.0,74.0,50.0,6.0,3.0,0.0,33.0,44.0,81.0,17.0,2120637,PTPG_MX_D
1994,51.0,35.0,95.0,60.0,53.0,6.0,27.0,3.0,20.0,61.0,23.0,35.0,2120637,PTPG_MX_D
1995,15.0,25.0,27.0,52.0,33.0,53.0,16.0,32.0,66.0,30.0,12.0,40.0,2120637,PTPG_MX_D
1996,24.0,19.0,,,28.0,64.0,29.0,47.0,30.0,36.0,56.0,18.0,2120637,PTPG_MX_D
1997,20.0,54.0,28.0,28.0,25.0,41.0,2.0,0.0,4.0,9.0,31.0,52.0,2120637,PTPG_MX_D
1998,47.0,20.0,57.0,91.0,48.0,10.0,3.0,11.0,40.0,50.0,27.0,37.0,2120637,PTPG_MX_D
1999,18.0,71.0,28.0,48.0,7.0,35.0,10.0,46.0,62.0,41.0,50.0,51.0,2120637,PTPG_MX_D
2000,7.0,20.0,18.0,19.0,69.0,11.0,7.0,7.0,68.0,24.0,11.0,18.0,2120637,PTPG_MX_D
2001,8.0,49.0,50.0,26.0,61.0,8.0,9.0,0.0,56.0,23.0,14.0,40.0,2120637,PTPG_MX_D
2002,16.0,6.0,45.0,58.0,49.0,11.0,,,,,,,2120637,PTPG_MX_D
2003,,,,,,0.0,9.0,12.0,8.0,10.0,31.0,19.0,2120637,PTPG_MX_D
2004,20.0,10.0,20.0,15.0,56.0,10.0,34.0,3.0,36.0,73.0,37.0,19.0,2120637,PTPG_MX_D
2005,14.0,16.0,40.0,67.0,42.0,13.0,14.0,5.0,11.0,52.0,20.0,60.0,2120637,PTPG_MX_D
2006,17.0,52.0,49.0,70.0,63.0,37.0,24.0,1.0,46.0,12.0,45.0,74.0,2120637,PTPG_MX_D
2007,23.0,1.0,52.0,64.0,58.0,12.0,11.0,6.0,27.0,35.0,49.0,58.0,2120637,PTPG_MX_D
2008,57.0,60.0,25.0,36.0,45.0,13.0,18.0,45.0,68.0,46.0,48.0,41.0,2120637,PTPG_MX_D
2009,56.0,64.0,56.0,46.0,18.0,0.0,,64.0,25.0,20.0,25.0,35.0,2120637,PTPG_MX_D
2010,17.0,4.0,10.0,100.0,111.0,20.0,64.0,20.0,60.0,13.0,30.0,17.0,2120637,PTPG_MX_D
2011,27.0,47.0,30.0,38.0,41.0,15.0,17.0,9.0,5.0,35.0,50.0,16.0,2120637,PTPG_MX_D
2012,47.0,30.0,19.0,46.0,29.0,8.0,10.0,4.0,16.0,49.0,21.0,53.0,2120637,PTPG_MX_D
2013,13.0,70.0,20.0,40.0,66.0,24.0,3.0,49.0,90.0,7.0,32.0,48.0,2120637,PTPG_MX_D
2014,50.0,20.0,15.0,21.0,41.0,10.0,1.0,11.0,50.0,32.0,61.0,60.0,2120637,PTPG_MX_D
2015,28.0,18.0,70.0,55.0,33.0,4.0,0.0,,,82.0,28.0,1.0,2120637,PTPG_MX_D
2016,1.0,23.0,56.0,77.0,66.0,47.0,11.0,9.0,33.0,46.0,20.0,57.0,2120637,PTPG_MX_D
2017,5.0,26.0,81.0,16.0,53.0,44.0,20.0,24.0,18.0,23.0,78.0,23.0,2120637,PTPG_MX_D
2018,25.0,36.0,42.0,39.0,32.0,9.0,31.0,17.0,51.0,35.0,88.0,16.0,2120637,PTPG_MX_D
2019,25.0,58.0,,,,,,,,,,,2120637,PTPG_MX_D
1981,1.0,19.0,11.0,47.0,34.0,18.0,22.0,16.0,12.0,37.0,14.0,6.0,3509508,PTPG_MX_D
1982,18.0,10.0,13.0,28.0,31.0,21.0,5.0,11.0,15.0,19.0,11.0,17.0,3509508,PTPG_MX_D
1991,3.0,3.0,12.0,14.0,34.0,10.0,12.0,7.0,10.0,14.0,16.0,7.0,3509508,PTPG_MX_D
1992,4.0,8.0,22.0,22.0,13.0,14.0,15.0,15.0,17.0,6.0,30.0,9.0,3509508,PTPG_MX_D
1993,3.0,32.0,11.0,20.0,50.0,17.0,17.0,11.0,18.0,15.0,25.0,7.0,3509508,PTPG_MX_D
1994,13.0,11.0,20.0,20.0,18.0,26.0,12.0,10.0,24.0,25.0,30.0,15.0,3509508,PTPG_MX_D
1995,1.0,8.0,15.0,18.0,15.0,30.0,32.0,21.0,12.0,20.0,10.0,21.0,3509508,PTPG_MX_D
1996,35.0,9.0,26.0,32.0,13.0,7.0,25.0,8.0,10.0,19.0,29.0,9.0,3509508,PTPG_MX_D
1997,17.0,9.0,23.0,13.0,32.0,26.0,,,,,,,3509508,PTPG_MX_D
1959,7.0,4.0,14.0,13.0,21.0,13.0,12.0,18.0,9.0,38.0,21.0,180.0,2120043,PTPG_MX_D
1970,13.0,24.0,6.0,4.0,24.0,9.0,13.0,12.0,10.0,35.0,14.0,5.0,2120043,PTPG_MX_D
1971,10.0,4.0,9.0,27.0,31.0,15.0,15.0,11.0,24.0,11.0,10.0,16.0,2120043,PTPG_MX_D
1972,12.0,7.0,19.0,5.0,4.0,3.0,12.0,12.0,14.0,32.0,16.0,21.0,2120043,PTPG_MX_D
1973,2.0,7.0,4.0,31.0,22.0,9.0,9.0,22.0,17.0,10.0,23.0,6.0,2120043,PTPG_MX_D
1974,7.0,7.0,19.0,32.0,11.0,31.0,7.0,5.0,9.0,33.0,17.0,1.0,2120043,PTPG_MX_D
1975,4.0,24.0,13.0,15.0,18.0,12.0,21.0,10.0,15.0,16.0,16.0,20.0,2120043,PTPG_MX_D
1976,4.0,9.0,26.0,16.0,24.0,17.0,17.0,10.0,22.0,20.0,25.0,26.0,2120043,PTPG_MX_D
1977,1.0,3.0,18.0,30.0,13.0,23.0,8.0,21.0,20.0,5.0,30.0,10.0,2120043,PTPG_MX_D
1978,1.0,23.0,12.0,28.0,18.0,8.0,,31.0,6.0,10.0,26.0,7.0,2120043,PTPG_MX_D
1979,2.0,6.0,35.0,42.0,16.0,19.0,10.0,10.0,6.0,67.0,16.0,40.0,2120043,PTPG_MX_D
1980,2.0,4.0,5.0,4.0,6.0,1.0,1.0,,19.0,26.0,12.0,10.0,2120043,PTPG_MX_D
1981,8.0,7.0,12.0,12.0,8.0,8.0,9.0,2.0,9.0,39.0,12.0,4.0,2120043,PTPG_MX_D
1982,2.0,14.0,,30.0,18.0,7.0,12.0,13.0,15.0,17.0,10.0,22.0,2120043,PTPG_MX_D
1988,6.0,0.0,0.0,1.0,8.0,20.0,9.0,8.0,9.0,23.0,23.0,10.0,2120043,PTPG_MX_D
1991,2.0,4.0,19.0,14.0,7.0,15.0,16.0,15.0,5.0,37.0,19.0,8.0,2120043,PTPG_MX_D
1992,5.0,7.0,12.0,11.0,9.0,6.0,16.0,15.0,13.0,11.0,17.0,6.0,2120043,PTPG_MX_D
1993,8.0,12.0,19.0,31.0,22.0,18.0,10.0,7.0,20.0,19.0,43.0,3.0,2120043,PTPG_MX_D
1994,11.0,3.0,20.0,7.0,18.0,15.0,18.0,7.0,28.0,26.0,20.0,3.0,2120043,PTPG_MX_D
1995,3.0,5.0,31.0,22.0,12.0,15.0,14.0,13.0,5.0,24.0,19.0,10.0,2120043,PTPG_MX_D
1996,,,,,,,,,5.0,36.0,16.0,27.0,2120043,PTPG_MX_D
1997,33.0,10.0,13.0,6.0,8.0,44.0,15.0,10.0,9.0,21.0,10.0,3.0,2120043,PTPG_MX_D
1998,2.0,12.0,23.0,9.0,22.0,15.0,20.0,11.0,16.0,14.0,11.0,16.0,2120043,PTPG_MX_D
1999,15.0,8.0,8.0,10.0,11.0,11.0,8.0,7.0,28.0,34.0,33.0,17.0,2120043,PTPG_MX_D
2000,16.0,30.0,16.0,15.0,21.0,29.0,9.0,21.0,19.0,33.0,23.0,10.0,2120043,PTPG_MX_D
2001,1.0,14.0,4.0,4.0,5.0,11.0,17.0,17.0,13.0,13.0,19.0,15.0,2120043,PTPG_MX_D
2002,6.0,9.0,18.0,25.0,40.0,19.0,11.0,20.0,18.0,11.0,13.0,33.0,2120043,PTPG_MX_D
2003,3.0,31.0,30.0,14.0,15.0,0.0,0.0,0.0,1.0,1.0,,,2120043,PTPG_MX_D
2006,23.0,0.0,8.0,21.0,16.0,19.0,9.0,10.0,6.0,20.0,1.0,21.0,2120043,PTPG_MX_D
2007,0.0,12.0,8.0,28.0,17.0,16.0,8.0,14.0,5.0,23.0,6.0,15.0,2120043,PTPG_MX_D
2008,10.0,18.0,25.0,22.0,15.0,12.0,12.0,17.0,7.0,23.0,27.0,0.0,2120043,PTPG_MX_D
2009,0.0,12.0,33.0,3.0,10.0,,,10.0,21.0,36.0,16.0,3.0,2120043,PTPG_MX_D
2010,0.0,9.0,8.0,18.0,25.0,14.0,19.0,10.0,17.0,35.0,25.0,12.0,2120043,PTPG_MX_D
2011,6.0,18.0,15.0,36.0,34.0,19.0,17.0,11.0,22.0,25.0,21.0,10.0,2120043,PTPG_MX_D
2012,18.0,15.0,28.0,31.0,31.0,10.0,9.0,13.0,7.0,21.0,38.0,5.0,2120043,PTPG_MX_D
2013,5.0,16.0,11.0,19.0,15.0,5.0,14.0,19.0,9.0,24.0,40.0,10.0,2120043,PTPG_MX_D
2014,0.0,22.0,19.0,15.0,11.0,10.0,12.0,10.0,9.0,8.0,11.0,15.0,2120043,PTPG_MX_D
2015,7.0,17.0,14.0,5.0,7.0,28.0,5.0,7.0,2.0,7.0,14.0,3.0,2120043,PTPG_MX_D
2016,10.0,2.0,3.0,52.0,6.0,3.0,16.0,18.0,10.0,18.0,28.0,19.0,2120043,PTPG_MX_D
2017,19.0,17.7,20.8,17.1,17.0,23.9,10.4,6.2,8.9,15.2,4.5,18.4,2120043,PTPG_MX_D
2018,10.0,22.0,20.0,16.0,16.0,14.0,8.0,10.0,6.0,29.0,2.0,0.0,2120043,PTPG_MX_D
2019,11.0,0.0,14.0,,,,,,,,,,2120043,PTPG_MX_D
1992,22.0,8.0,22.0,12.0,7.0,11.0,9.0,,23.0,10.0,18.0,18.0,2120188,PTPG_MX_D
1993,12.0,19.0,15.0,33.0,12.0,15.0,14.0,3.0,0.0,10.0,27.0,4.0,2120188,PTPG_MX_D
1994,33.0,22.0,15.0,20.0,18.0,15.0,9.0,8.0,11.0,9.0,19.0,7.0,2120188,PTPG_MX_D
1995,,20.0,15.0,18.0,36.0,10.0,,11.0,26.0,22.0,13.0,19.0,2120188,PTPG_MX_D
1996,19.0,4.0,24.0,16.0,33.0,23.0,27.0,8.0,30.0,23.0,17.0,1.0,2120188,PTPG_MX_D
1997,3.0,2.0,6.0,40.0,15.0,12.0,10.0,7.0,19.0,35.0,42.0,11.0,2120188,PTPG_MX_D
1998,5.0,13.0,20.0,26.0,32.0,9.0,0.0,12.0,15.0,30.0,,,2120188,PTPG_MX_D
1999,,,,,,,,,,42.0,35.0,20.0,2120188,PTPG_MX_D
2000,17.0,31.0,19.0,15.0,18.0,19.0,15.0,15.0,41.0,,,5.0,2120188,PTPG_MX_D
2001,8.0,4.0,11.0,1.0,29.0,20.0,3.0,,,,,,2120188,PTPG_MX_D
2002,,,,,,3.0,0.0,0.0,,,14.0,20.0,2120188,PTPG_MX_D
2003,0.0,,,,,0.0,9.0,,,,23.0,,2120188,PTPG_MX_D
2005,,,,,,,,,,,,13.0,2120188,PTPG_MX_D
2006,16.0,5.0,14.0,20.0,31.0,12.0,11.0,12.0,13.0,6.0,13.0,7.0,2120188,PTPG_MX_D
2007,,,2.0,33.0,21.0,,10.0,11.0,9.0,28.0,28.0,31.0,2120188,PTPG_MX_D
2008,13.0,21.0,20.0,28.0,28.0,19.0,26.0,25.0,15.0,19.0,38.0,16.0,2120188,PTPG_MX_D
2009,17.0,13.0,,,2.0,7.0,,4.0,2.0,3.0,11.0,45.0,2120188,PTPG_MX_D
2010,4.0,11.0,26.0,52.0,24.0,15.0,24.0,23.0,12.0,32.0,44.0,8.0,2120188,PTPG_MX_D
2011,8.0,20.0,18.0,28.0,12.0,,9.0,27.0,19.0,21.0,26.0,0.0,2120188,PTPG_MX_D
2012,12.0,5.0,21.0,55.0,0.0,8.0,10.0,27.0,,20.0,38.0,22.0,2120188,PTPG_MX_D
2013,4.0,24.0,40.0,25.0,12.0,5.0,2.0,7.0,12.0,42.0,10.0,22.0,2120188,PTPG_MX_D
2014,18.0,34.0,25.0,22.0,,7.0,7.0,17.0,4.0,17.0,22.0,,2120188,PTPG_MX_D
