Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1932.0,59.8,19.4,40.3,49.6,138.8,34.2,,,,,,,2120074,PTPM_TT_M
1933.0,,,67.7,88.4,155.4,163.1,56.7,90.3,58.5,150.1,147.0,66.7,2120074,PTPM_TT_M
1934.0,33.2,111.5,94.1,29.6,184.9,75.0,53.0,44.2,44.6,110.1,145.9,22.0,2120074,PTPM_TT_M
1935.0,24.1,49.3,50.7,90.4,206.2,45.1,76.2,87.0,82.7,89.7,246.2,3.8,2120074,PTPM_TT_M
1936.0,1.2,12.6,5.2,,,15.7,71.0,,,,,,2120074,PTPM_TT_M
1937.0,40.7,50.2,41.6,53.0,92.7,53.4,21.5,45.7,,83.8,9.8,31.9,2120074,PTPM_TT_M
1938.0,15.8,10.1,120.0,120.7,,,,,,,,83.3,2120074,PTPM_TT_M
1939.0,21.1,30.4,80.1,64.2,,4.9,34.2,22.6,26.6,161.1,58.1,35.0,2120074,PTPM_TT_M
1940.0,22.7,26.2,17.8,17.8,73.1,79.0,14.0,48.1,24.6,150.3,117.6,52.9,2120074,PTPM_TT_M
1941.0,,47.2,39.5,108.2,71.7,25.0,24.7,34.0,65.1,133.3,90.4,20.8,2120074,PTPM_TT_M
1942.0,,145.6,58.8,156.1,114.4,0.1,0.0,5.4,21.1,148.8,86.1,,2120074,PTPM_TT_M
1943.0,68.9,24.0,42.8,88.4,67.8,,46.5,78.4,21.6,233.6,41.9,,2120074,PTPM_TT_M
1944.0,,6.3,24.6,40.5,174.5,93.7,49.8,84.9,82.5,155.7,73.9,18.0,2120074,PTPM_TT_M
1945.0,,3.9,16.6,229.2,103.8,60.6,31.3,51.4,13.0,116.9,58.6,10.4,2120074,PTPM_TT_M
1946.0,,4.0,28.9,83.1,61.8,16.8,24.4,19.1,9.5,83.5,20.1,,2120074,PTPM_TT_M
1947.0,8.6,43.4,5.2,46.2,81.5,72.2,47.4,56.4,84.7,167.6,45.2,,2120074,PTPM_TT_M
1948.0,9.2,35.2,38.0,51.4,120.6,61.8,34.4,29.0,58.5,85.5,55.0,33.3,2120074,PTPM_TT_M
1949.0,31.5,40.0,59.5,56.4,8.5,16.4,69.5,,,,,4.8,2120074,PTPM_TT_M
1950.0,,,,46.0,130.7,78.0,50.9,76.5,47.6,160.3,101.9,46.2,2120074,PTPM_TT_M
1951.0,28.2,49.0,70.8,116.2,104.3,101.1,70.7,56.7,28.9,37.8,38.1,22.9,2120074,PTPM_TT_M
1960.0,,9.5,69.8,115.3,67.3,102.7,120.4,109.7,56.9,140.9,35.8,136.8,2120074,PTPM_TT_M
1961.0,22.4,5.6,101.5,78.1,12.8,147.8,26.2,125.1,115.1,253.2,61.5,9.3,2120074,PTPM_TT_M
1962.0,69.5,30.5,71.5,107.0,89.5,125.5,69.5,68.0,51.5,95.0,81.0,24.0,2120074,PTPM_TT_M
1963.0,7.0,93.0,54.1,63.7,149.7,37.5,37.0,22.0,21.1,105.0,110.5,20.0,2120074,PTPM_TT_M
1964.0,14.0,28.0,2.5,42.5,81.5,107.0,89.0,39.5,23.5,41.0,74.5,41.0,2120074,PTPM_TT_M
1965.0,38.0,9.0,29.0,219.0,123.2,11.9,23.2,20.5,13.2,95.6,180.5,29.0,2120074,PTPM_TT_M
1966.0,33.5,12.0,69.0,85.0,75.0,60.0,26.5,54.0,118.7,149.2,173.0,109.0,2120074,PTPM_TT_M
1967.0,30.0,21.5,63.7,123.5,44.3,102.0,42.3,57.7,56.1,44.3,100.0,49.6,2120074,PTPM_TT_M
1968.0,8.8,45.3,44.5,97.8,124.6,167.3,28.0,48.5,132.0,79.5,103.0,13.5,2120074,PTPM_TT_M
1969.0,59.0,57.0,6.5,167.5,51.0,83.5,23.0,35.0,59.0,195.0,113.0,44.0,2120074,PTPM_TT_M
1970.0,43.0,86.0,25.0,68.0,106.0,56.0,52.0,28.0,80.5,171.0,94.0,20.0,2120074,PTPM_TT_M
1971.0,47.0,112.0,100.3,93.9,177.5,54.8,41.0,135.0,95.0,141.1,100.0,67.0,2120074,PTPM_TT_M
1972.0,99.1,39.8,102.9,257.4,236.7,146.0,43.5,27.0,15.5,67.5,126.5,6.7,2120074,PTPM_TT_M
1973.0,9.0,8.5,42.5,55.0,99.2,81.0,67.6,66.0,179.2,119.5,153.6,121.0,2120074,PTPM_TT_M
1974.0,18.0,104.0,85.0,62.3,89.7,52.9,34.5,106.0,126.3,181.0,187.0,74.0,2120074,PTPM_TT_M
1975.0,30.5,89.5,112.0,77.2,97.3,47.0,106.0,78.0,155.0,171.0,104.0,134.6,2120074,PTPM_TT_M
1976.0,8.0,60.0,162.0,163.1,135.1,81.0,33.0,22.5,3.0,113.0,22.0,36.5,2120074,PTPM_TT_M
1977.0,10.5,0.0,107.4,146.0,53.0,67.0,42.0,38.9,115.8,97.0,116.0,53.5,2120074,PTPM_TT_M
1978.0,0.0,20.0,95.4,170.0,114.0,50.0,14.0,61.0,48.0,30.0,19.0,0.0,2120074,PTPM_TT_M
1979.0,0.0,0.0,52.0,169.5,53.0,105.5,32.0,65.0,31.0,178.8,152.8,0.0,2120074,PTPM_TT_M
1980.0,0.0,29.0,14.0,8.0,11.0,48.0,1.0,21.0,1.0,0.0,38.0,0.0,2120074,PTPM_TT_M
1981.0,0.0,0.0,0.0,114.0,105.0,16.0,6.0,45.0,10.0,81.0,112.0,47.5,2120074,PTPM_TT_M
1982.0,30.8,31.3,75.1,211.9,152.3,3.8,13.8,10.3,84.8,136.3,80.0,23.0,2120074,PTPM_TT_M
1983.0,7.5,38.1,77.0,184.0,93.5,21.5,38.0,7.0,,23.5,70.5,31.0,2120074,PTPM_TT_M
1984.0,29.0,28.0,51.0,75.5,49.0,100.5,75.5,67.0,97.5,55.5,52.0,25.0,2120074,PTPM_TT_M
1985.0,18.0,10.5,18.3,13.2,181.2,40.0,29.9,7.8,72.9,42.0,21.0,19.8,2120074,PTPM_TT_M
1986.0,,10.0,19.0,19.0,137.5,103.5,58.5,20.0,117.4,252.0,118.5,20.5,2120074,PTPM_TT_M
1987.0,7.0,,,,,,,23.1,76.9,193.9,57.1,37.1,2120074,PTPM_TT_M
1988.0,12.8,50.2,26.5,122.7,14.4,50.0,74.6,63.4,62.3,110.2,97.1,88.8,2120074,PTPM_TT_M
1989.0,1.5,1.3,105.3,34.7,113.0,22.5,45.8,11.3,57.8,46.9,49.1,14.8,2120074,PTPM_TT_M
1990.0,27.2,32.1,0.0,98.0,51.9,26.6,13.7,0.0,,,,,2120074,PTPM_TT_M
1993.0,,,,,,,,,,,77.5,21.6,2120074,PTPM_TT_M
1994.0,81.2,70.0,98.9,104.2,136.1,32.0,88.7,41.0,11.4,16.9,25.4,6.9,2120074,PTPM_TT_M
1995.0,12.0,77.6,76.3,68.8,94.1,39.7,66.3,64.7,73.2,67.1,27.9,87.5,2120074,PTPM_TT_M
1996.0,49.3,66.5,118.6,92.1,132.8,79.9,117.5,80.1,21.1,171.8,79.0,114.8,2120074,PTPM_TT_M
1997.0,113.5,35.3,22.7,70.4,31.3,59.7,35.0,25.7,20.4,34.1,82.2,6.9,2120074,PTPM_TT_M
1998.0,19.8,43.8,73.7,187.9,211.7,72.5,91.5,42.4,73.3,162.8,95.8,75.7,2120074,PTPM_TT_M
1999.0,45.4,72.8,79.2,48.8,62.9,64.8,37.2,81.9,139.1,208.3,109.7,41.0,2120074,PTPM_TT_M
2000.0,62.5,132.9,102.8,77.7,77.8,74.4,111.1,58.2,106.4,64.6,80.2,21.2,2120074,PTPM_TT_M
2001.0,28.3,18.8,17.4,34.0,48.0,34.0,48.0,48.3,80.6,52.9,45.5,42.9,2120074,PTPM_TT_M
2002.0,14.8,34.9,130.6,56.1,169.5,63.0,45.1,49.4,34.4,148.1,59.1,54.6,2120074,PTPM_TT_M
2003.0,29.2,58.1,58.8,161.4,47.2,44.8,67.6,57.2,46.1,90.0,107.0,19.0,2120074,PTPM_TT_M
2004.0,54.7,19.3,44.8,167.5,127.2,46.7,65.5,23.9,128.4,166.5,175.0,18.5,2120074,PTPM_TT_M
2005.0,22.7,102.2,23.2,108.6,119.1,64.7,92.8,35.2,81.1,287.0,112.6,58.5,2120074,PTPM_TT_M
2006.0,43.3,66.2,135.2,251.5,227.2,180.4,81.8,51.8,16.5,109.1,158.9,42.1,2120074,PTPM_TT_M
2007.0,2.1,14.0,70.1,109.4,49.4,106.8,22.8,55.7,39.5,252.5,64.0,84.0,2120074,PTPM_TT_M
2008.0,29.2,21.0,121.6,55.4,,113.3,82.8,111.0,68.7,127.0,198.3,70.5,2120074,PTPM_TT_M
2009.0,46.8,51.9,55.3,75.3,50.3,44.5,54.8,33.9,34.8,116.2,53.6,4.3,2120074,PTPM_TT_M
2010.0,6.5,14.0,32.4,175.8,162.6,88.8,180.2,67.3,105.4,103.2,146.2,88.5,2120074,PTPM_TT_M
2011.0,23.5,126.6,136.8,272.1,197.4,86.2,51.8,54.9,72.6,179.2,174.4,59.9,2120074,PTPM_TT_M
2012.0,69.7,47.6,109.8,192.3,100.3,53.1,110.5,58.7,28.9,176.8,87.9,22.6,2120074,PTPM_TT_M
2013.0,33.4,62.9,61.9,95.0,95.6,23.1,23.7,67.4,54.0,84.4,119.0,69.0,2120074,PTPM_TT_M
2014.0,24.4,56.9,39.3,58.2,73.3,56.1,44.2,38.6,18.6,111.2,90.9,35.7,2120074,PTPM_TT_M
2015.0,42.1,78.2,87.9,49.4,20.9,44.5,53.5,31.2,9.9,54.7,14.2,5.8,2120074,PTPM_TT_M
2016.0,22.1,31.8,102.8,137.5,92.2,64.6,53.7,60.0,45.1,108.2,135.0,44.4,2120074,PTPM_TT_M
2017.0,31.7,42.0,171.0,61.0,97.4,86.8,47.1,77.3,29.7,73.3,91.5,106.1,2120074,PTPM_TT_M
2018.0,43.7,48.3,112.8,147.6,144.2,52.6,74.4,32.7,59.4,108.4,78.2,0.5,2120074,PTPM_TT_M
2019.0,27.6,35.6,74.3,,,,,,,,,,2120074,PTPM_TT_M
1967.0,49.0,120.5,106.5,158.0,153.6,88.6,36.6,24.1,40.5,200.1,195.5,93.7,2401051,PTPM_TT_M
1968.0,50.0,75.8,119.6,229.8,82.0,103.4,21.1,14.9,73.2,140.6,189.0,15.4,2401051,PTPM_TT_M
1969.0,65.3,91.0,66.7,285.8,95.8,99.4,15.5,10.6,55.4,145.8,123.6,59.1,2401051,PTPM_TT_M
1970.0,82.5,143.6,15.5,106.2,124.3,33.1,55.1,22.6,83.3,262.6,161.1,118.6,2401051,PTPM_TT_M
1971.0,156.2,77.1,222.2,226.7,148.3,30.2,28.2,43.8,132.6,119.3,175.2,95.9,2401051,PTPM_TT_M
1972.0,94.2,77.4,131.5,239.5,111.6,53.3,29.6,63.5,24.9,67.7,200.9,40.5,2401051,PTPM_TT_M
1973.0,3.3,21.2,158.9,127.8,91.5,65.1,65.1,99.7,159.5,154.7,207.4,135.9,2401051,PTPM_TT_M
1974.0,74.6,109.4,248.2,153.4,133.7,38.3,15.0,29.5,81.2,120.6,170.9,72.7,2401051,PTPM_TT_M
1975.0,7.6,153.8,140.2,111.8,95.2,63.4,64.0,50.2,85.5,213.5,103.4,195.0,2401051,PTPM_TT_M
1976.0,36.1,87.8,128.9,152.4,106.6,53.4,17.2,16.3,92.2,303.2,202.0,89.1,2401051,PTPM_TT_M
1977.0,4.7,6.4,61.2,208.2,46.6,45.6,33.3,38.1,118.1,101.6,266.2,120.6,2401051,PTPM_TT_M
1978.0,3.2,91.0,113.6,216.2,96.6,24.5,39.9,42.0,80.1,136.3,89.8,108.5,2401051,PTPM_TT_M
1979.0,25.7,57.1,147.5,190.6,145.6,82.4,58.2,120.8,61.4,246.4,295.2,84.4,2401051,PTPM_TT_M
1980.0,44.8,138.7,64.9,96.5,53.7,114.6,15.0,24.7,124.5,94.2,127.7,129.5,2401051,PTPM_TT_M
1981.0,25.9,82.8,66.6,247.2,257.2,38.9,7.0,56.6,31.2,111.6,154.1,74.4,2401051,PTPM_TT_M
1982.0,103.3,3.4,,89.6,,6.1,18.7,14.9,37.1,194.2,73.2,80.6,2401051,PTPM_TT_M
1983.0,29.2,108.4,167.5,168.4,44.9,5.3,13.8,8.9,6.7,110.8,79.9,34.6,2401051,PTPM_TT_M
1984.0,52.7,155.9,162.0,103.6,132.5,63.0,37.5,61.2,139.5,161.2,176.7,43.0,2401051,PTPM_TT_M
1985.0,49.4,7.1,80.1,73.3,112.9,29.5,31.7,14.9,129.9,196.4,109.7,54.4,2401051,PTPM_TT_M
1986.0,49.1,93.8,73.2,110.2,100.4,90.1,22.6,12.0,81.5,316.1,256.7,70.0,2401051,PTPM_TT_M
1987.0,34.2,25.4,133.6,155.7,135.5,18.4,25.1,23.3,26.6,233.3,111.6,52.8,2401051,PTPM_TT_M
1988.0,38.4,107.0,14.8,157.1,50.3,109.3,21.4,66.7,121.2,196.6,162.5,116.0,2401051,PTPM_TT_M
1989.0,30.0,164.6,188.5,73.1,72.3,23.5,56.3,31.2,93.5,73.8,140.6,50.3,2401051,PTPM_TT_M
1990.0,54.3,29.6,84.7,118.9,79.7,16.0,34.2,15.2,10.4,260.8,196.9,138.0,2401051,PTPM_TT_M
1991.0,31.4,92.3,193.1,169.4,96.0,26.5,35.6,27.6,59.1,61.5,230.7,62.8,2401051,PTPM_TT_M
1992.0,62.5,51.9,155.1,64.3,57.7,26.8,13.2,30.2,73.4,19.4,251.0,83.4,2401051,PTPM_TT_M
1993.0,57.9,136.8,244.6,173.1,253.3,10.7,24.8,14.6,42.3,50.5,201.3,35.4,2401051,PTPM_TT_M
1994.0,66.3,78.5,171.8,128.7,85.6,23.1,40.8,12.2,95.8,133.0,259.9,7.8,2401051,PTPM_TT_M
1995.0,13.7,92.7,189.6,132.4,96.5,37.3,23.8,116.9,23.1,191.0,192.2,178.7,2401051,PTPM_TT_M
1996.0,106.6,99.9,142.9,135.3,91.1,50.6,37.7,13.3,4.8,4.3,57.4,90.2,2401051,PTPM_TT_M
1997.0,1.7,,40.9,117.0,116.0,61.1,13.7,3.5,46.7,55.5,113.6,6.6,2401051,PTPM_TT_M
1998.0,18.2,64.6,152.0,69.6,220.0,34.3,38.7,70.9,30.7,191.6,132.9,151.3,2401051,PTPM_TT_M
1999.0,123.2,215.8,168.5,103.8,33.4,44.8,19.7,45.7,147.0,213.1,209.6,91.8,2401051,PTPM_TT_M
2001.0,,,,,,,,6.5,106.8,78.8,163.2,85.8,2401051,PTPM_TT_M
2002.0,3.9,21.2,164.6,213.1,42.8,51.7,45.6,25.0,63.6,85.0,,,2401051,PTPM_TT_M
2006.0,85.7,42.4,196.2,219.0,123.6,48.3,,,,,,,2401051,PTPM_TT_M
2007.0,,,,73.7,64.3,25.5,41.3,53.7,6.4,279.8,122.7,170.5,2401051,PTPM_TT_M
2008.0,25.7,67.1,126.2,135.5,203.1,40.4,50.2,74.1,,,265.3,84.9,2401051,PTPM_TT_M
2009.0,47.3,48.7,149.8,133.3,87.9,24.5,14.6,30.5,76.1,129.8,99.0,22.7,2401051,PTPM_TT_M
2010.0,1.8,43.7,35.5,296.9,228.4,67.6,214.4,10.1,79.6,215.8,184.6,137.0,2401051,PTPM_TT_M
2011.0,79.7,139.8,239.5,376.2,146.8,53.5,51.9,23.4,52.9,246.9,225.8,219.6,2401051,PTPM_TT_M
2012.0,182.1,53.2,141.2,258.4,38.5,20.2,30.4,18.2,17.4,111.0,60.9,60.2,2401051,PTPM_TT_M
2013.0,25.8,102.6,57.6,88.9,94.8,29.0,14.9,60.1,47.2,140.3,268.4,88.7,2401051,PTPM_TT_M
2014.0,57.6,84.1,104.5,176.8,231.9,54.6,22.3,6.5,20.0,77.1,188.7,97.0,2401051,PTPM_TT_M
2015.0,115.1,90.6,23.7,0.2,20.6,46.4,15.9,14.4,26.7,15.4,55.1,1.5,2401051,PTPM_TT_M
2016.0,45.3,19.7,90.0,76.2,51.4,10.5,17.8,21.5,63.0,120.3,174.1,1.2,2401051,PTPM_TT_M
2017.0,3.9,58.5,202.1,137.1,62.7,109.8,7.1,62.7,14.7,57.0,216.8,76.8,2401051,PTPM_TT_M
2018.0,75.5,51.9,123.1,188.3,105.6,15.2,22.5,,,,99.3,5.8,2401051,PTPM_TT_M
2019.0,0.2,,,,,,,,,,,,2401051,PTPM_TT_M
1952.0,,,,,,173.1,84.0,50.3,80.1,57.4,169.0,66.4,2120046,PTPM_TT_M
1953.0,67.3,17.7,122.7,131.9,115.9,77.3,29.4,41.9,198.8,153.5,170.4,14.7,2120046,PTPM_TT_M
1954.0,29.1,31.7,42.9,92.2,55.7,81.5,62.5,83.5,196.3,175.7,93.3,145.0,2120046,PTPM_TT_M
1955.0,25.3,42.0,93.2,204.8,71.1,116.4,107.7,46.2,84.9,211.4,113.6,119.6,2120046,PTPM_TT_M
