Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
2004,0.132,0.089,0.1,0.153,0.156,0.045,0.086,0.036,0.064,0.315,0.271,0.142,2306715,Q_MEDIA_M
2005,0.077,0.049,0.111,0.12,0.176,0.054,0.034,0.032,0.064,0.239,0.209,0.064,2306715,Q_MEDIA_M
2007,0.062,0.039,0.099,0.133,0.067,0.046,0.044,,0.068,0.113,0.027,0.044,2306715,Q_MEDIA_M
2008,0.161,0.169,0.123,0.192,0.382,0.082,0.075,0.076,0.134,0.143,0.182,0.182,2306715,Q_MEDIA_M
2009,0.11,0.15,0.144,0.201,0.197,0.065,0.08,0.174,0.052,0.064,0.099,0.075,2306715,Q_MEDIA_M
2010,0.007,0.003,0.035,0.12,0.057,0.105,0.009,0.058,0.319,0.272,0.276,0.246,2306715,Q_MEDIA_M
2011,0.075,0.003,0.005,0.011,0.0,0.001,,,,,,0.254,2306715,Q_MEDIA_M
2012,0.705,0.551,,0.474,0.532,0.465,0.222,0.809,,,0.613,0.396,2306715,Q_MEDIA_M
2013,0.206,0.221,0.27,0.232,0.233,0.252,0.383,0.267,0.135,0.199,0.181,0.185,2306715,Q_MEDIA_M
2014,0.208,0.193,0.311,0.235,0.269,0.239,0.178,0.126,0.204,0.358,0.299,0.223,2306715,Q_MEDIA_M
2015,0.039,0.046,0.048,0.063,0.023,0.022,0.021,0.019,0.014,0.018,0.021,0.021,2306715,Q_MEDIA_M
2016,0.012,0.015,0.019,0.026,0.015,0.062,0.049,0.016,0.017,0.014,0.01,0.01,2306715,Q_MEDIA_M
2017,0.011,0.012,0.011,0.015,0.01,0.01,0.013,,,,0.028,0.045,2306715,Q_MEDIA_M
2018,0.044,0.036,0.041,0.042,0.051,0.038,,,,,,,2306715,Q_MEDIA_M
1993,0.53,0.457,0.371,0.307,1.048,1.032,0.685,0.532,0.698,0.748,0.658,0.635,2120864,Q_MEDIA_M
1994,0.367,0.29,0.304,0.84,1.293,0.791,1.309,0.531,0.694,1.254,1.25,0.423,2120864,Q_MEDIA_M
1995,0.214,0.219,0.505,0.679,0.566,0.41,0.324,1.312,0.571,0.504,0.656,0.671,2120864,Q_MEDIA_M
1996,0.2,0.163,0.724,0.347,0.507,0.511,1.276,0.696,0.448,1.141,0.528,0.49,2120864,Q_MEDIA_M
1997,0.645,0.244,0.178,0.356,0.285,0.341,1.086,0.45,0.204,0.179,0.158,0.11,2120864,Q_MEDIA_M
1998,0.108,0.092,0.091,0.149,1.048,0.763,0.94,0.691,0.378,0.619,0.994,0.565,2120864,Q_MEDIA_M
1999,0.641,0.595,0.79,0.845,0.32,0.352,0.196,0.345,1.835,2.542,2.022,1.256,2120864,Q_MEDIA_M
2000,0.271,0.288,0.459,0.323,0.205,0.262,0.293,0.202,1.465,1.362,1.657,0.319,2120864,Q_MEDIA_M
2001,0.128,0.122,0.572,0.966,0.165,0.184,0.183,0.545,0.995,0.273,0.385,0.299,2120864,Q_MEDIA_M
2002,1.135,0.115,0.858,1.135,1.022,1.942,1.018,1.146,0.432,0.372,0.497,0.228,2120864,Q_MEDIA_M
2003,0.1,0.101,0.128,1.209,0.399,0.188,0.429,0.471,0.28,0.521,0.756,0.558,2120864,Q_MEDIA_M
2004,0.272,0.099,0.096,0.326,1.994,0.8,0.26,0.415,0.579,1.019,2.971,,2120864,Q_MEDIA_M
2005,5.915,0.144,0.067,0.146,0.976,0.314,0.245,0.422,0.581,3.163,2.839,0.458,2120864,Q_MEDIA_M
2006,0.306,0.12,0.855,1.77,2.974,1.451,0.771,0.355,0.187,0.525,1.488,0.393,2120864,Q_MEDIA_M
2007,0.221,0.156,0.194,0.563,0.243,0.529,0.446,0.511,0.415,1.397,0.97,0.543,2120864,Q_MEDIA_M
2008,0.37,0.294,0.26,0.575,1.224,0.891,0.986,0.921,0.789,1.306,1.813,1.184,2120864,Q_MEDIA_M
2009,0.376,0.423,0.539,0.735,0.389,0.339,0.543,0.469,0.304,0.901,0.221,0.22,2120864,Q_MEDIA_M
2010,0.386,0.372,0.362,1.039,1.289,0.979,1.957,0.852,0.941,1.265,2.605,2.097,2120864,Q_MEDIA_M
2011,0.715,0.732,2.471,5.451,2.604,2.037,1.055,0.909,0.873,1.961,2.185,1.438,2120864,Q_MEDIA_M
2012,0.607,0.458,0.572,4.001,0.91,0.717,0.904,1.488,0.613,1.65,0.851,0.541,2120864,Q_MEDIA_M
2013,0.235,0.383,0.534,0.83,2.161,0.487,0.397,0.45,0.546,0.48,1.253,1.254,2120864,Q_MEDIA_M
2014,0.403,0.314,1.173,0.409,1.278,1.442,1.132,0.765,0.653,0.711,2.154,0.908,2120864,Q_MEDIA_M
2015,0.536,0.536,0.562,0.665,0.533,0.858,0.864,0.935,0.635,0.513,0.556,0.485,2120864,Q_MEDIA_M
2016,0.444,0.419,0.488,0.757,0.839,0.733,0.766,0.639,0.718,0.654,1.15,0.843,2120864,Q_MEDIA_M
2017,0.675,0.583,0.97,1.037,1.13,1.004,0.821,0.784,0.637,0.723,1.126,0.796,2120864,Q_MEDIA_M
2018,0.761,0.634,0.672,1.336,1.121,,,,,,,,2120864,Q_MEDIA_M
1991,1.97,0.4,3.95,3.02,1.39,0.43,0.09,0.08,,1.16,3.01,2.49,2120896,Q_MEDIA_M
1992,0.73,1.11,0.66,0.36,0.32,0.09,0.01,0.02,,0.01,4.2,5.89,2120896,Q_MEDIA_M
1993,2.5,2.62,0.78,2.67,2.54,0.49,0.27,0.03,0.37,2.25,4.71,3.67,2120896,Q_MEDIA_M
1994,2.77,2.11,2.84,3.53,1.03,0.61,0.12,0.07,0.09,1.43,2.28,0.6,2120896,Q_MEDIA_M
1995,0.278,0.376,2.637,1.242,1.447,2.157,0.356,1.216,0.915,2.839,2.642,0.979,2120896,Q_MEDIA_M
1996,1.87,1.17,,,1.31,1.09,0.49,0.33,0.28,1.92,1.22,0.66,2120896,Q_MEDIA_M
1997,1.347,0.981,0.6,1.878,1.517,0.813,0.381,0.023,,0.498,,,2120896,Q_MEDIA_M
1998,0.16,0.54,1.18,3.34,1.77,0.63,0.29,0.07,0.18,0.16,0.8,0.3,2120896,Q_MEDIA_M
