Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1993.0,0.374,0.34,0.314,0.222,0.356,0.593,0.391,0.442,0.374,0.287,0.287,0.236,2120864,Q_MN_M
1994.0,0.222,0.192,0.209,0.458,0.656,0.442,0.442,0.407,0.319,0.509,0.736,0.236,2120864,Q_MN_M
1995.0,0.156,0.137,0.173,0.192,0.356,0.314,0.236,0.424,0.34,0.274,0.442,0.248,2120864,Q_MN_M
1996.0,0.156,0.128,0.2,0.192,0.288,0.261,0.493,0.374,0.275,0.288,0.301,0.223,2120864,Q_MN_M
1997.0,0.249,0.147,0.12,0.174,0.157,0.192,0.442,0.314,0.138,0.108,0.108,0.108,2120864,Q_MN_M
1998.0,0.108,0.066,0.054,0.06,0.09,0.314,0.686,0.459,0.223,0.156,0.551,0.314,2120864,Q_MN_M
1999.0,0.249,0.192,0.391,0.288,0.156,0.165,0.138,0.138,0.236,1.496,0.678,0.341,2120864,Q_MN_M
2000.0,0.201,0.156,0.151,0.179,0.145,0.156,0.093,0.123,0.484,0.318,0.443,0.235,2120864,Q_MN_M
2001.0,0.093,0.073,0.054,0.063,0.073,0.113,0.113,0.212,0.328,0.167,0.118,0.179,2120864,Q_MN_M
2002.0,0.212,0.054,0.044,0.212,0.463,0.791,0.526,0.547,0.235,0.212,0.255,0.113,2120864,Q_MN_M
2003.0,0.083,0.058,0.058,0.093,0.234,0.155,0.155,0.287,0.19,0.178,0.294,0.305,2120864,Q_MN_M
2004.0,0.122,0.072,0.072,0.082,0.316,0.167,0.122,0.19,0.318,0.245,0.99,,2120864,Q_MN_M
2005.0,5.62,0.054,0.044,0.077,0.122,0.212,0.19,0.234,0.338,1.425,0.758,0.212,2120864,Q_MN_M
2006.0,0.156,0.082,0.082,0.463,0.582,0.526,0.484,0.266,0.145,0.112,0.359,0.156,2120864,Q_MN_M
2007.0,0.176,0.138,0.134,0.203,0.203,0.249,0.217,0.249,0.258,0.24,0.286,0.362,2120864,Q_MN_M
2008.0,0.249,0.19,0.176,0.203,0.426,0.537,0.555,0.362,0.439,0.362,0.67,0.469,2120864,Q_MN_M
2009.0,0.286,0.231,0.268,0.375,0.258,0.24,0.353,0.349,0.224,0.217,0.19,0.19,2120864,Q_MN_M
2010.0,0.367,0.338,0.338,0.353,0.577,0.674,0.754,0.674,0.624,0.739,0.698,0.713,2120864,Q_MN_M
2011.0,0.536,0.526,0.811,0.857,1.124,1.044,0.84,0.754,0.711,0.686,0.84,0.6,2120864,Q_MN_M
2012.0,0.423,0.345,0.269,0.451,0.519,0.451,0.434,0.712,0.485,0.417,0.519,0.349,2120864,Q_MN_M
2013.0,0.209,0.243,0.309,0.269,0.76,0.383,0.349,0.383,0.4,0.383,0.417,0.562,2120864,Q_MN_M
2014.0,0.335,0.269,0.417,0.349,0.349,0.349,0.76,0.626,0.562,0.519,,,2120864,Q_MN_M
1991.0,0.22,0.17,0.22,0.8,0.33,0.17,0.02,0.01,,0.11,0.43,0.56,2120896,Q_MN_M
1992.0,0.32,0.65,0.16,0.07,0.07,0.02,0.01,0.01,,0.01,0.01,0.37,2120896,Q_MN_M
