Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
2004.0,0.505,0.441,0.316,0.34,0.453,0.089,0.292,0.089,0.164,0.505,0.505,0.316,2306715,Q_MX_M
2005.0,0.505,0.089,0.316,0.378,0.378,0.079,0.044,0.069,0.316,0.328,0.316,0.198,2306715,Q_MX_M
2007.0,0.378,0.069,0.256,0.256,0.142,0.079,0.079,,0.089,0.164,0.059,0.059,2306715,Q_MX_M
2008.0,0.284,0.474,0.339,1.033,1.534,0.187,0.101,0.116,0.474,0.821,0.821,0.927,2306715,Q_MX_M
2009.0,0.635,0.635,0.927,0.927,0.927,0.187,0.339,0.635,0.68,0.68,1.233,0.354,2306715,Q_MX_M
2010.0,0.039,0.007,0.354,0.459,0.354,0.68,0.059,0.099,0.89,0.89,0.89,0.527,2306715,Q_MX_M
2011.0,0.139,0.023,0.058,0.099,0.018,0.018,,,,,,0.726,2306715,Q_MX_M
2012.0,1.413,1.078,,0.726,0.89,0.655,0.527,1.413,,,0.804,0.585,2306715,Q_MX_M
2013.0,0.369,0.527,0.527,0.369,0.527,0.655,0.527,0.527,0.161,0.527,0.286,0.469,2306715,Q_MX_M
2014.0,0.585,0.44,0.585,0.527,0.804,0.585,0.323,0.189,0.469,0.762,0.89,0.304,2306715,Q_MX_M
2015.0,0.062,0.068,0.082,0.097,0.035,0.046,0.039,0.024,0.046,0.024,0.04,0.04,2306715,Q_MX_M
2016.0,0.016,0.024,0.028,0.05,0.019,0.09,0.09,0.018,0.021,0.031,0.012,0.011,2306715,Q_MX_M
2017.0,0.028,0.013,0.015,0.082,0.012,0.012,0.016,,,,0.05,0.05,2306715,Q_MX_M
2018.0,0.05,0.047,0.047,0.05,0.068,,,,,,,,2306715,Q_MX_M
1993.0,1.066,0.72,0.476,0.888,4.133,2.2,1.918,0.678,2.75,2.012,3.825,2.878,2120864,Q_MX_M
1994.0,1.918,0.944,1.33,2.75,3.39,1.49,4.786,1.264,4.46,4.95,3.535,0.776,2120864,Q_MX_M
1995.0,0.678,0.888,3.825,3.006,2.64,0.594,0.944,4.46,2.012,3.535,3.262,4.786,2120864,Q_MX_M
1996.0,,,,,,,3.97,3.134,3.506,3.738,2.31,1.65,2120864,Q_MX_M
1997.0,2.53,0.442,0.594,2.53,1.73,0.888,2.31,0.944,1.132,1.264,0.408,0.21,2120864,Q_MX_M
1998.0,0.108,0.138,0.944,0.888,3.97,2.106,2.106,1.57,1.0,3.97,3.97,3.738,2120864,Q_MX_M
1999.0,3.738,3.006,3.006,3.97,1.0,1.73,0.34,3.97,3.97,3.97,3.97,3.97,2120864,Q_MX_M
2000.0,0.422,1.111,6.07,1.165,0.547,6.07,4.812,1.816,5.62,6.07,6.07,0.689,2120864,Q_MX_M
2001.0,0.255,2.2,4.544,1.62,0.689,0.463,0.318,1.816,5.62,0.924,5.17,1.165,2120864,Q_MX_M
2002.0,6.07,0.725,6.07,6.07,5.395,6.07,2.872,4.544,1.273,4.276,4.276,1.816,2120864,Q_MX_M
2003.0,,,0.339,4.098,1.273,0.505,1.273,1.057,0.689,5.17,5.62,6.07,2120864,Q_MX_M
2004.0,1.816,0.113,0.167,0.924,4.678,2.975,0.38,0.791,2.123,6.07,6.07,6.07,2120864,Q_MX_M
2005.0,6.07,0.653,0.145,1.165,5.62,0.547,0.38,0.582,1.111,5.62,5.395,2.334,2120864,Q_MX_M
2006.0,0.924,0.235,3.921,6.07,6.07,5.395,1.057,0.505,0.255,4.812,6.07,1.892,2120864,Q_MX_M
2007.0,0.486,0.19,0.52,9.211,0.375,3.422,1.169,1.692,0.81,9.211,6.307,1.802,2120864,Q_MX_M
2008.0,1.912,1.334,0.52,4.292,9.211,5.031,5.988,3.233,3.422,11.323,11.323,4.784,2120864,Q_MX_M
2009.0,0.624,1.802,8.683,1.692,0.919,0.717,1.334,0.919,0.624,9.211,0.268,0.268,2120864,Q_MX_M
2010.0,0.432,0.505,0.432,13.815,10.031,2.569,13.128,3.412,2.917,6.775,11.183,19.837,2120864,Q_MX_M
2011.0,1.104,2.402,28.049,29.391,17.038,9.489,2.737,2.485,3.302,13.815,10.031,8.021,2120864,Q_MX_M
2012.0,1.726,0.637,3.06,14.252,2.201,2.201,3.736,4.311,1.012,13.381,4.503,1.738,2120864,Q_MX_M
2013.0,0.292,0.687,1.628,12.511,9.457,0.739,0.739,1.081,0.875,1.168,13.381,5.178,2120864,Q_MX_M
2014.0,0.635,0.48,12.946,0.739,15.224,6.41,1.957,1.168,0.875,1.738,12.511,2.067,2120864,Q_MX_M
2015.0,0.648,0.738,0.882,1.491,0.604,1.877,1.615,1.46,0.738,0.626,0.648,0.561,2120864,Q_MX_M
2016.0,0.479,0.42,0.648,3.353,1.81,1.143,0.983,1.088,2.845,0.932,5.32,1.679,2120864,Q_MX_M
2017.0,0.932,0.738,4.789,3.898,3.353,2.528,1.552,1.088,0.857,1.088,5.822,2.085,2120864,Q_MX_M
2018.0,1.552,0.833,1.143,4.333,7.519,,,,,,,,2120864,Q_MX_M
1991.0,14.39,2.64,16.25,11.92,5.16,4.18,0.16,0.97,,9.08,14.82,6.81,2120896,Q_MX_M
1992.0,1.56,1.56,1.56,1.56,1.16,0.26,0.02,0.07,,0.01,19.88,13.96,2120896,Q_MX_M
1993.0,14.39,17.21,6.55,22.22,10.77,1.32,0.49,0.08,1.66,17.21,18.28,20.82,2120896,Q_MX_M
1994.0,10.77,9.08,9.08,11.92,2.64,1.85,0.24,0.16,0.38,6.29,11.92,1.56,2120896,Q_MX_M
1995.0,1.16,4.18,12.68,3.85,6.29,6.55,0.97,9.08,9.08,6.29,9.42,2.64,2120896,Q_MX_M
1996.0,14.82,1.95,,,2.64,1.56,1.85,0.8,2.64,4.57,4.18,4.18,2120896,Q_MX_M
1997.0,4.18,3.35,2.64,3.682,6.29,2.05,0.8,0.044,,2.05,,,2120896,Q_MX_M
1998.0,0.41,1.56,12.68,17.21,9.08,1.32,0.91,0.16,0.6,0.41,1.56,1.56,2120896,Q_MX_M
1999.0,1.313,3.555,4.346,6.341,3.055,1.838,0.42,0.473,1.838,3.55,4.346,3.55,2120896,Q_MX_M
2000.0,4.346,8.997,8.997,6.341,1.838,0.854,0.854,0.341,0.341,0.854,3.55,1.443,2120896,Q_MX_M
2001.0,0.341,0.473,0.473,0.109,1.012,1.118,0.225,0.024,0.241,8.997,6.341,6.341,2120896,Q_MX_M
2002.0,1.443,1.838,8.997,6.341,1.68,1.838,1.118,0.101,1.118,1.838,4.346,1.838,2120896,Q_MX_M
2003.0,0.641,,,,,,,,,,,,2120896,Q_MX_M
2004.0,,,8.997,8.997,8.997,1.248,,,,,,,2120896,Q_MX_M
2007.0,1.516,,0.103,24.474,11.457,0.837,0.118,10.027,0.199,24.474,19.291,11.457,2120896,Q_MX_M
2008.0,22.191,41.642,17.547,17.547,41.642,4.111,1.198,27.69,1.89,41.642,17.547,4.111,2120896,Q_MX_M
2009.0,3.433,1.198,41.642,41.642,22.191,4.111,0.714,0.194,27.69,1.451,27.69,2.842,2120896,Q_MX_M
2010.0,,,,22.191,4.111,1.198,2.33,1.198,2.842,4.111,4.884,7.852,2120896,Q_MX_M
2011.0,2.637,34.14,40.864,13.666,40.086,7.852,1.74,2.33,,,,27.69,2120896,Q_MX_M
2012.0,14.156,14.156,5.295,18.055,6.618,0.171,,,,54.528,16.683,4.942,2120896,Q_MX_M
2013.0,4.707,16.683,7.357,9.542,4.707,4.707,0.681,0.421,0.845,2.794,14.647,14.156,2120896,Q_MX_M
2014.0,63.993,15.384,3.666,7.357,63.993,1.658,,,0.238,36.227,16.683,18.055,2120896,Q_MX_M
2015.0,1.91,1.139,8.2,6.596,1.519,1.34,0.083,,,1.271,2.344,0.867,2120896,Q_MX_M
2016.0,2.822,1.014,4.514,6.596,2.822,1.171,0.867,,1.519,4.514,8.2,8.2,2120896,Q_MX_M
2017.0,6.981,1.519,7.783,4.205,2.822,1.014,0.867,0.308,0.545,2.344,5.506,3.906,2120896,Q_MX_M
2018.0,3.342,8.2,4.514,8.2,8.2,,,,,,,,2120896,Q_MX_M
