Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1985,,3.5,4.1,5.6,5.0,5.8,4.3,4.6,5.0,5.6,5.0,0.5,2120629,TAMX2_MN_M
1986,4.3,4.6,4.7,7.2,,5.0,3.3,5.0,3.0,7.0,6.1,5.0,2120629,TAMX2_MN_M
1991,3.0,5.0,5.1,7.0,8.1,6.5,5.5,5.0,4.8,3.0,3.0,3.5,2120629,TAMX2_MN_M
1992,4.9,5.0,2.0,6.1,7.0,6.1,6.5,6.0,3.0,4.5,5.0,4.1,2120629,TAMX2_MN_M
1993,1.9,2.1,3.0,5.0,4.9,3.5,2.5,2.0,5.2,4.5,5.9,0.8,2120629,TAMX2_MN_M
1994,3.5,5.9,6.0,7.0,7.1,5.2,6.2,5.0,5.0,4.9,4.0,4.0,2120629,TAMX2_MN_M
1995,4.0,1.5,6.0,6.5,5.0,3.0,3.9,5.0,5.0,2.0,2.1,0.5,2120629,TAMX2_MN_M
1996,1.5,5.2,4.5,5.0,4.0,5.0,5.2,5.0,3.0,4.0,3.5,5.2,2120629,TAMX2_MN_M
1997,6.5,7.0,4.8,8.5,7.0,6.0,8.0,4.5,5.5,,5.5,4.0,2120629,TAMX2_MN_M
1998,5.5,5.0,8.0,10.0,9.0,6.5,3.5,0.5,1.5,1.5,1.5,,2120629,TAMX2_MN_M
1999,,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.8,8.0,8.0,9.0,2120629,TAMX2_MN_M
2000,7.0,6.0,6.0,6.8,7.0,9.5,8.0,8.0,7.0,7.5,8.8,7.0,2120629,TAMX2_MN_M
2001,4.9,6.0,9.0,8.7,8.0,7.3,6.0,5.0,4.1,5.5,7.9,7.0,2120629,TAMX2_MN_M
2002,5.0,6.5,7.0,9.0,,,1.0,6.7,5.0,6.5,,,2120629,TAMX2_MN_M
2003,6.5,7.5,7.0,5.8,8.9,8.0,1.0,6.0,7.0,8.0,8.0,7.0,2120629,TAMX2_MN_M
2004,2.8,4.0,7.6,9.0,9.0,9.0,6.0,8.8,7.0,8.0,9.0,7.0,2120629,TAMX2_MN_M
2005,6.0,6.6,6.0,7.0,10.0,8.0,8.0,3.5,5.5,8.8,3.0,4.5,2120629,TAMX2_MN_M
2006,8.0,9.0,10.0,10.0,9.0,9.0,6.7,7.0,6.5,7.0,8.0,7.3,2120629,TAMX2_MN_M
2007,6.0,2.5,6.5,4.0,,,,,,,,6.0,2120629,TAMX2_MN_M
2008,3.0,4.5,4.5,6.0,6.5,7.5,7.5,6.0,7.0,6.2,7.5,6.0,2120629,TAMX2_MN_M
2009,6.5,6.2,6.0,7.0,4.5,5.5,,,8.5,7.0,7.5,5.0,2120629,TAMX2_MN_M
2010,3.0,6.0,2.0,3.0,3.0,,7.0,3.5,5.6,5.0,6.0,4.0,2120629,TAMX2_MN_M
2011,3.5,5.0,6.0,6.5,5.7,7.0,4.0,3.0,2.5,2.8,3.0,4.0,2120629,TAMX2_MN_M
2012,4.0,4.0,7.0,6.0,5.0,3.9,4.9,5.0,4.0,4.0,3.0,4.6,2120629,TAMX2_MN_M
2013,3.2,5.0,5.1,5.5,5.7,5.0,5.0,6.0,6.0,1.8,7.0,5.4,2120629,TAMX2_MN_M
2014,4.0,4.2,6.0,5.3,4.8,6.9,6.5,0.0,3.5,7.0,1.6,5.2,2120629,TAMX2_MN_M
2015,5.0,6.0,5.0,4.0,5.4,6.6,5.7,5.3,4.3,4.9,7.0,4.7,2120629,TAMX2_MN_M
2016,4.0,6.2,5.2,7.0,7.8,5.5,5.9,5.2,5.4,4.7,6.5,4.3,2120629,TAMX2_MN_M
2017,3.1,3.7,4.8,4.5,6.9,6.1,5.4,5.4,5.4,5.9,6.0,3.5,2120629,TAMX2_MN_M
2018,4.6,5.5,4.5,6.9,6.4,5.3,5.6,2.6,4.2,6.4,6.1,3.9,2120629,TAMX2_MN_M
2019,4.2,5.5,5.0,6.4,5.4,6.5,,,,,,,2120629,TAMX2_MN_M
1996,,,,,,,14.9,15.0,16.0,14.5,14.5,14.0,2119514,TAMX2_MN_M
1997,12.9,15.0,13.0,13.0,13.0,13.0,14.0,13.0,14.0,13.8,13.0,14.2,2119514,TAMX2_MN_M
1998,14.0,14.5,16.5,16.0,14.0,12.8,14.0,13.9,14.0,14.9,11.0,11.0,2119514,TAMX2_MN_M
1999,11.0,11.0,11.5,12.5,13.0,13.0,12.5,13.8,14.0,13.0,14.0,15.0,2119514,TAMX2_MN_M
2000,12.0,14.0,14.0,14.5,14.5,13.5,,13.5,13.5,14.0,13.5,,2119514,TAMX2_MN_M
2001,13.5,14.5,14.0,14.5,13.5,14.0,14.0,14.3,13.5,14.5,12.0,,2119514,TAMX2_MN_M
2002,14.0,15.0,14.0,14.0,14.8,13.2,,,,,,,2119514,TAMX2_MN_M
2003,14.5,,,,,,,,,,,,2119514,TAMX2_MN_M
2006,14.0,14.5,14.0,,15.0,,,,,,,,2119514,TAMX2_MN_M
