Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1985,,20.1,21.4,19.9,20.2,18.8,19.5,19.8,19.9,19.2,19.0,19.9,2120629,TAMX2_MX_M
1986,19.8,18.5,20.3,,,19.0,18.0,19.2,20.2,20.9,20.0,20.2,2120629,TAMX2_MX_M
1991,22.5,22.0,21.9,23.0,22.0,21.9,18.1,19.0,20.5,20.0,19.0,18.9,2120629,TAMX2_MX_M
1992,21.0,22.9,23.0,21.8,22.5,23.0,22.0,22.1,22.0,21.0,21.0,20.0,2120629,TAMX2_MX_M
1993,18.0,18.0,17.2,19.0,20.0,18.2,19.0,20.5,21.5,21.0,20.0,20.9,2120629,TAMX2_MX_M
1994,18.9,19.2,21.8,20.9,21.2,22.8,21.0,20.1,21.0,19.1,20.0,20.1,2120629,TAMX2_MX_M
1995,21.1,24.0,21.0,20.0,21.0,17.8,20.0,18.2,18.5,18.0,20.0,19.0,2120629,TAMX2_MX_M
1996,18.8,19.5,20.0,20.5,18.8,20.0,19.5,19.8,20.0,20.0,19.8,21.5,2120629,TAMX2_MX_M
1997,20.0,23.5,22.5,22.0,22.2,22.5,21.5,22.8,23.0,,20.5,22.0,2120629,TAMX2_MX_M
1998,22.0,22.5,22.8,22.2,23.5,21.8,17.0,18.0,17.8,17.0,17.5,,2120629,TAMX2_MX_M
1999,,16.5,17.0,18.0,18.2,19.0,18.2,19.0,19.2,18.2,18.2,18.2,2120629,TAMX2_MX_M
2000,18.5,19.5,18.5,19.0,18.5,21.5,21.5,19.0,20.0,20.5,19.5,20.0,2120629,TAMX2_MX_M
2001,19.9,19.1,19.5,19.9,19.8,18.4,17.5,17.2,17.1,19.0,18.2,18.0,2120629,TAMX2_MX_M
2002,17.0,19.0,18.5,17.0,,,16.9,17.1,17.7,16.9,,,2120629,TAMX2_MX_M
2003,18.5,19.0,19.2,18.0,18.0,18.0,11.0,,,,,,2120629,TAMX2_MX_M
2004,12.0,12.4,11.4,11.6,12.8,12.0,11.8,12.2,11.9,12.8,13.0,13.0,2120629,TAMX2_MX_M
2005,12.4,12.9,12.8,13.8,13.7,12.8,12.8,17.0,18.5,14.0,17.5,17.0,2120629,TAMX2_MX_M
2006,26.0,21.0,17.0,18.0,19.0,18.0,17.5,20.0,21.0,22.0,21.0,21.0,2120629,TAMX2_MX_M
2007,21.0,22.8,19.6,18.0,,,,,,,,18.0,2120629,TAMX2_MX_M
2008,18.0,18.0,19.7,20.0,19.0,22.2,19.5,20.0,20.5,21.0,20.0,20.0,2120629,TAMX2_MX_M
2009,20.0,20.0,19.2,20.2,20.0,21.0,,,21.0,22.0,21.0,22.0,2120629,TAMX2_MX_M
2010,22.0,21.5,21.5,20.0,20.8,,14.0,18.0,20.5,17.8,17.5,18.0,2120629,TAMX2_MX_M
2011,20.0,19.0,19.5,19.0,19.5,20.0,19.0,18.5,19.0,20.7,17.0,21.0,2120629,TAMX2_MX_M
2012,21.5,20.0,20.0,20.0,19.0,21.0,19.0,19.0,19.6,21.0,20.9,19.5,2120629,TAMX2_MX_M
2013,20.9,20.0,19.3,19.4,18.4,19.3,19.0,16.6,19.0,17.0,19.0,19.5,2120629,TAMX2_MX_M
2014,19.3,18.8,20.0,19.2,20.6,18.7,18.6,18.9,17.1,18.2,19.2,19.8,2120629,TAMX2_MX_M
2015,18.9,18.0,17.0,19.9,19.8,18.8,19.3,18.5,20.9,19.9,19.3,20.7,2120629,TAMX2_MX_M
2016,19.4,20.2,21.0,20.8,19.8,19.8,19.4,20.4,18.8,19.7,18.4,19.6,2120629,TAMX2_MX_M
2017,18.6,22.9,20.4,22.5,21.4,21.3,21.9,20.4,20.1,19.9,19.1,18.5,2120629,TAMX2_MX_M
