Year,01,02,03,04,05,06,07,08,09,10,11,12,Code,Label
1991,2.3,2.8,,,2.6,,,4.0,3.1,3.3,2.1,2.1,2120629,VVAG_MEDIA_M
1992,2.6,2.7,2.8,2.6,2.6,3.8,3.6,3.6,3.1,3.2,2.2,2.5,2120629,VVAG_MEDIA_M
1993,2.6,2.3,2.5,2.5,2.6,3.8,3.2,4.0,3.2,2.9,2.1,,2120629,VVAG_MEDIA_M
1994,2.2,,,2.6,,3.4,3.7,,3.2,,,2.5,2120629,VVAG_MEDIA_M
1995,2.7,2.3,2.3,2.7,2.8,2.8,2.5,3.0,3.1,2.5,,2.1,2120629,VVAG_MEDIA_M
1996,2.2,2.5,2.2,2.4,2.4,2.7,3.1,3.1,3.1,2.0,2.2,2.5,2120629,VVAG_MEDIA_M
1997,2.1,2.7,2.5,2.3,2.9,2.4,4.0,3.9,3.1,2.9,2.5,,2120629,VVAG_MEDIA_M
1998,,,,,,,3.1,2.9,,2.5,2.2,2.3,2120629,VVAG_MEDIA_M
1999,2.2,2.1,2.3,2.6,2.5,2.3,3.4,,2.4,2.5,,2.2,2120629,VVAG_MEDIA_M
2000,2.4,2.2,2.3,,,,,,,,,,2120629,VVAG_MEDIA_M
2001,2.8,2.7,2.4,2.7,2.6,2.9,3.1,3.8,2.6,2.7,2.5,2.3,2120629,VVAG_MEDIA_M
2002,2.6,2.4,2.5,,,4.2,3.5,3.5,2.8,3.0,2.4,2.3,2120629,VVAG_MEDIA_M
2003,2.5,2.6,2.5,2.9,2.8,2.7,2.6,1.8,1.7,1.5,1.5,1.1,2120629,VVAG_MEDIA_M
2005,,,,,1.4,1.6,,,,,,,2120629,VVAG_MEDIA_M
2006,2.5,2.5,2.2,2.4,2.8,3.4,3.6,3.6,3.0,2.6,2.2,2.4,2120629,VVAG_MEDIA_M
2007,2.5,2.9,2.6,2.4,2.4,2.9,3.0,2.9,3.4,2.3,2.5,2.3,2120629,VVAG_MEDIA_M
2008,2.3,2.5,2.4,2.4,2.4,2.5,2.8,2.5,2.8,2.3,2.1,2.3,2120629,VVAG_MEDIA_M
2009,2.1,2.4,2.1,2.3,2.5,3.0,,3.3,3.4,2.6,2.5,2.3,2120629,VVAG_MEDIA_M
2010,2.7,2.8,2.7,2.3,2.3,2.7,2.3,2.9,2.6,2.4,2.0,2.1,2120629,VVAG_MEDIA_M
2011,2.3,2.2,2.4,2.0,2.2,2.6,2.7,3.0,2.8,2.3,1.9,2.2,2120629,VVAG_MEDIA_M
2012,2.1,2.3,1.8,2.2,2.9,3.3,3.4,3.5,3.4,2.5,2.1,2.5,2120629,VVAG_MEDIA_M
2013,2.6,2.3,2.4,,,,3.3,,,2.8,2.2,2.5,2120629,VVAG_MEDIA_M
2014,2.6,2.4,2.5,2.7,2.4,3.2,3.7,,,,,,2120629,VVAG_MEDIA_M
1991,,2.0,,1.8,2.1,,,2.1,,2.1,1.7,1.9,2120565,VVAG_MEDIA_M
1992,2.2,2.1,2.4,2.3,2.2,2.8,2.7,2.5,2.6,,,,2120565,VVAG_MEDIA_M
1993,,2.2,2.4,1.9,1.9,2.5,2.3,2.4,2.1,2.3,1.8,,2120565,VVAG_MEDIA_M
1994,2.0,1.8,2.1,1.9,2.1,2.5,2.3,2.0,2.1,2.0,,2.3,2120565,VVAG_MEDIA_M
1995,2.3,2.4,2.1,1.9,2.0,2.0,1.8,1.7,2.0,1.8,1.9,1.8,2120565,VVAG_MEDIA_M
1996,2.0,,1.8,2.1,1.8,1.8,1.9,1.9,1.8,1.9,2.0,2.0,2120565,VVAG_MEDIA_M
1997,1.7,,2.0,1.9,2.2,2.2,2.5,2.5,,2.1,,,2120565,VVAG_MEDIA_M
1998,,2.0,2.0,2.0,1.8,2.1,2.1,2.0,,1.9,2.0,1.8,2120565,VVAG_MEDIA_M
1999,1.9,1.7,2.0,2.1,2.1,2.0,,,,1.8,1.9,2.0,2120565,VVAG_MEDIA_M
2000,2.2,,2.1,,2.0,,,,,,,,2120565,VVAG_MEDIA_M
2001,2.1,2.3,2.0,2.1,2.0,2.2,2.1,2.1,1.8,1.8,1.8,1.7,2120565,VVAG_MEDIA_M
2002,1.9,2.2,1.9,1.7,2.1,1.9,2.2,2.2,1.8,1.9,1.7,1.7,2120565,VVAG_MEDIA_M
2003,2.0,,,1.7,1.9,1.8,1.8,1.7,2.0,1.2,1.2,1.2,2120565,VVAG_MEDIA_M
2004,1.2,1.0,1.1,1.1,,,,,1.1,1.2,1.2,1.2,2120565,VVAG_MEDIA_M
2005,1.1,,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.1,1.2,1.1,2120565,VVAG_MEDIA_M
2006,,,,,,,,,1.8,1.7,1.6,1.6,2120565,VVAG_MEDIA_M
2007,1.7,2.0,1.7,1.7,1.5,1.7,1.8,1.6,1.6,1.5,1.7,1.6,2120565,VVAG_MEDIA_M
2008,1.6,1.8,1.7,1.7,1.5,1.6,1.6,1.6,1.5,1.6,1.4,1.7,2120565,VVAG_MEDIA_M
2009,1.6,1.6,1.6,1.6,1.6,1.6,,1.8,2.0,1.8,1.8,1.8,2120565,VVAG_MEDIA_M
2010,1.9,2.0,2.0,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.5,1.5,2120565,VVAG_MEDIA_M
2011,,1.6,1.6,1.5,1.4,0.9,1.6,1.6,1.5,1.5,1.4,1.5,2120565,VVAG_MEDIA_M
2012,1.6,1.7,1.6,1.5,1.6,1.7,1.7,1.7,1.6,1.6,1.6,1.8,2120565,VVAG_MEDIA_M
2013,2.1,1.7,1.7,1.5,,,1.7,,,,,,2120565,VVAG_MEDIA_M
1991,2.5,2.6,1.9,,2.1,,,3.1,,2.5,1.9,2.0,2401513,VVAG_MEDIA_M
1993,2.1,2.3,2.3,2.0,2.0,3.0,2.7,3.1,2.4,2.3,1.9,,2401513,VVAG_MEDIA_M
1994,,2.0,2.1,1.9,2.1,2.6,,,,,,,2401513,VVAG_MEDIA_M
1995,2.3,2.4,2.1,2.0,2.2,2.3,2.4,2.1,2.5,2.0,,1.9,2401513,VVAG_MEDIA_M
1996,2.1,2.1,1.9,2.2,1.9,2.2,2.4,2.3,2.4,1.9,2.0,2.2,2401513,VVAG_MEDIA_M
