Id,Label,Code,Year,Month,Day,Date,Value
0,TAMX2_MN_M,2120629,1985,01,01,1985-01-01,
1,TAMX2_MN_M,2120629,1986,01,01,1986-01-01,4.3
2,TAMX2_MN_M,2120629,1991,01,01,1991-01-01,3.0
3,TAMX2_MN_M,2120629,1992,01,01,1992-01-01,4.9
4,TAMX2_MN_M,2120629,1993,01,01,1993-01-01,1.9
5,TAMX2_MN_M,2120629,1994,01,01,1994-01-01,3.5
6,TAMX2_MN_M,2120629,1995,01,01,1995-01-01,4.0
7,TAMX2_MN_M,2120629,1996,01,01,1996-01-01,1.5
8,TAMX2_MN_M,2120629,1997,01,01,1997-01-01,6.5
9,TAMX2_MN_M,2120629,1998,01,01,1998-01-01,5.5
10,TAMX2_MN_M,2120629,1999,01,01,1999-01-01,
11,TAMX2_MN_M,2120629,2000,01,01,2000-01-01,7.0
12,TAMX2_MN_M,2120629,2001,01,01,2001-01-01,4.9
13,TAMX2_MN_M,2120629,2002,01,01,2002-01-01,5.0
14,TAMX2_MN_M,2120629,2003,01,01,2003-01-01,6.5
15,TAMX2_MN_M,2120629,2004,01,01,2004-01-01,2.8
16,TAMX2_MN_M,2120629,2005,01,01,2005-01-01,6.0
17,TAMX2_MN_M,2120629,2006,01,01,2006-01-01,8.0
18,TAMX2_MN_M,2120629,2007,01,01,2007-01-01,6.0
19,TAMX2_MN_M,2120629,2008,01,01,2008-01-01,3.0
20,TAMX2_MN_M,2120629,2009,01,01,2009-01-01,6.5
21,TAMX2_MN_M,2120629,2010,01,01,2010-01-01,3.0
22,TAMX2_MN_M,2120629,2011,01,01,2011-01-01,3.5
23,TAMX2_MN_M,2120629,2012,01,01,2012-01-01,4.0
24,TAMX2_MN_M,2120629,2013,01,01,2013-01-01,3.2
25,TAMX2_MN_M,2120629,2014,01,01,2014-01-01,4.0
26,TAMX2_MN_M,2120629,2015,01,01,2015-01-01,5.0
27,TAMX2_MN_M,2120629,2016,01,01,2016-01-01,4.0
28,TAMX2_MN_M,2120629,2017,01,01,2017-01-01,3.1
