Id,Label,Code,Year,Month,Day,Date,Value
0,TAMX2_MX_M,2120629,1985,01,01,1985-01-01,
1,TAMX2_MX_M,2120629,1986,01,01,1986-01-01,19.8
2,TAMX2_MX_M,2120629,1991,01,01,1991-01-01,22.5
3,TAMX2_MX_M,2120629,1992,01,01,1992-01-01,21.0
4,TAMX2_MX_M,2120629,1993,01,01,1993-01-01,18.0
5,TAMX2_MX_M,2120629,1994,01,01,1994-01-01,18.9
6,TAMX2_MX_M,2120629,1995,01,01,1995-01-01,21.1
7,TAMX2_MX_M,2120629,1996,01,01,1996-01-01,18.8
8,TAMX2_MX_M,2120629,1997,01,01,1997-01-01,20.0
9,TAMX2_MX_M,2120629,1998,01,01,1998-01-01,22.0
10,TAMX2_MX_M,2120629,1999,01,01,1999-01-01,
11,TAMX2_MX_M,2120629,2000,01,01,2000-01-01,18.5
12,TAMX2_MX_M,2120629,2001,01,01,2001-01-01,19.9
13,TAMX2_MX_M,2120629,2002,01,01,2002-01-01,17.0
14,TAMX2_MX_M,2120629,2003,01,01,2003-01-01,18.5
15,TAMX2_MX_M,2120629,2004,01,01,2004-01-01,12.0
16,TAMX2_MX_M,2120629,2005,01,01,2005-01-01,12.4
17,TAMX2_MX_M,2120629,2006,01,01,2006-01-01,26.0
18,TAMX2_MX_M,2120629,2007,01,01,2007-01-01,21.0
19,TAMX2_MX_M,2120629,2008,01,01,2008-01-01,18.0
20,TAMX2_MX_M,2120629,2009,01,01,2009-01-01,20.0
21,TAMX2_MX_M,2120629,2010,01,01,2010-01-01,22.0
22,TAMX2_MX_M,2120629,2011,01,01,2011-01-01,20.0
23,TAMX2_MX_M,2120629,2012,01,01,2012-01-01,21.5
24,TAMX2_MX_M,2120629,2013,01,01,2013-01-01,20.9
25,TAMX2_MX_M,2120629,2014,01,01,2014-01-01,19.3
26,TAMX2_MX_M,2120629,2015,01,01,2015-01-01,18.9
27,TAMX2_MX_M,2120629,2016,01,01,2016-01-01,19.4
28,TAMX2_MX_M,2120629,2017,01,01,2017-01-01,18.6
29,TAMX2_MX_M,2120629,2018,01,01,2018-01-01,19.2
30,TAMX2_MX_M,2120629,2019,01,01,2019-01-01,20.5
31,TAMX2_MX_M,2119514,1996,01,01,1996-01-01,
32,TAMX2_MX_M,2119514,1997,01,01,1997-01-01,26.0
33,TAMX2_MX_M,2119514,1998,01,01,1998-01-01,28.8
34,TAMX2_MX_M,2119514,1999,01,01,1999-01-01,22.2
35,TAMX2_MX_M,2119514,2000,01,01,2000-01-01,27.0
36,TAMX2_MX_M,2119514,2001,01,01,2001-01-01,26.5
37,TAMX2_MX_M,2119514,2002,01,01,2002-01-01,30.0
38,TAMX2_MX_M,2119514,2006,01,01,2006-01-01,26.5
39,TAMX2_MX_M,2119514,2007,01,01,2007-01-01,27.0
40,TAMX2_MX_M,2119514,2008,01,01,2008-01-01,27.3
41,TAMX2_MX_M,2119514,2009,01,01,2009-01-01,27.6
42,TAMX2_MX_M,2119514,2010,01,01,2010-01-01,30.9
43,TAMX2_MX_M,2119514,2011,01,01,2011-01-01,28.0
44,TAMX2_MX_M,2119514,2012,01,01,2012-01-01,29.2
45,TAMX2_MX_M,2119514,2013,01,01,2013-01-01,27.3
46,TAMX2_MX_M,2119514,2014,01,01,2014-01-01,28.1
47,TAMX2_MX_M,2119514,2015,01,01,2015-01-01,28.2
48,TAMX2_MX_M,2119514,2016,01,01,2016-01-01,28.9
49,TAMX2_MX_M,2119514,2017,01,01,2017-01-01,25.4
50,TAMX2_MX_M,2119514,2018,01,01,2018-01-01,27.1
51,TAMX2_MX_M,2119514,2019,01,01,2019-01-01,28.0
52,TAMX2_MX_M,2120631,1982,01,01,1982-01-01,
53,TAMX2_MX_M,2120631,1985,01,01,1985-01-01,21.9
54,TAMX2_MX_M,2120631,1986,01,01,1986-01-01,22.6
55,TAMX2_MX_M,2120631,1991,01,01,1991-01-01,24.8
56,TAMX2_MX_M,2120631,1992,01,01,1992-01-01,24.9
57,TAMX2_MX_M,2120631,1993,01,01,1993-01-01,23.2
58,TAMX2_MX_M,2120631,1994,01,01,1994-01-01,23.2
59,TAMX2_MX_M,2120631,1995,01,01,1995-01-01,26.0
60,TAMX2_MX_M,2120631,1996,01,01,1996-01-01,22.0
61,TAMX2_MX_M,2120631,1997,01,01,1997-01-01,22.5
62,TAMX2_MX_M,2120631,1998,01,01,1998-01-01,26.5
63,TAMX2_MX_M,2120631,1999,01,01,1999-01-01,22.0
64,TAMX2_MX_M,2120565,1970,01,01,1970-01-01,
65,TAMX2_MX_M,2120565,1971,01,01,1971-01-01,23.4
66,TAMX2_MX_M,2120565,1972,01,01,1972-01-01,23.0
67,TAMX2_MX_M,2120565,1973,01,01,1973-01-01,25.7
68,TAMX2_MX_M,2120565,1974,01,01,1974-01-01,25.0
69,TAMX2_MX_M,2120565,1975,01,01,1975-01-01,25.0
70,TAMX2_MX_M,2120565,1976,01,01,1976-01-01,23.2
71,TAMX2_MX_M,2120565,1977,01,01,1977-01-01,24.0
72,TAMX2_MX_M,2120565,1978,01,01,1978-01-01,25.9
73,TAMX2_MX_M,2120565,1979,01,01,1979-01-01,24.0
74,TAMX2_MX_M,2120565,1980,01,01,1980-01-01,23.2
75,TAMX2_MX_M,2120565,1981,01,01,1981-01-01,21.8
76,TAMX2_MX_M,2120565,1982,01,01,1982-01-01,22.0
77,TAMX2_MX_M,2120565,1983,01,01,1983-01-01,23.4
78,TAMX2_MX_M,2120565,1984,01,01,1984-01-01,20.0
79,TAMX2_MX_M,2120565,1985,01,01,1985-01-01,23.0
80,TAMX2_MX_M,2120565,1986,01,01,1986-01-01,21.9
81,TAMX2_MX_M,2120565,1991,01,01,1991-01-01,26.5
82,TAMX2_MX_M,2120565,1992,01,01,1992-01-01,24.9
83,TAMX2_MX_M,2120565,1993,01,01,1993-01-01,23.9
84,TAMX2_MX_M,2120565,1994,01,01,1994-01-01,24.0
85,TAMX2_MX_M,2120565,1995,01,01,1995-01-01,25.0
86,TAMX2_MX_M,2120565,1996,01,01,1996-01-01,23.5
