cod_elemento,Latitud,Longitud
21013,4.406289,-74.172109
21014,4.398153,-74.144178
21016,4.566677,-74.174932
21017,4.492232,-74.078265
21018,4.664417,-74.160209
21019,4.735625,-74.121756
21020,4.614747,-74.197334
21022,4.613812,-74.213267
21023,4.604474,-74.120225
21024,4.771564,-74.103892
21034,4.688828,-74.035885
21029,4.66215,-74.126375
20895,4.397143,-74.479941
21058,4.361626,-73.718589
6711,4.806821,-73.740813
2724,4.696698,-73.845178
2708,4.71763,-73.857035
20802,4.630146,-74.221691
20811,4.797408,-74.095533
20810,4.750835,-74.124376
20759,4.385192,-74.16837
2725,4.704701,-73.933292
20711,4.386396,-74.149583
20717,4.385354,-74.173232
2705,4.121245,-74.202333
6707,4.740794,-73.714255
3702,4.62785,-74.043261
2726,4.700761,-73.844567
20725,4.385855,-74.137868
20822,4.66402,-74.14961
3716,4.535885,-73.725883
3704,4.535532,-73.73959
2727,4.712824,-73.870196
6706,4.821296,-73.753877
3701,4.53886,-73.753852
2702,4.662188,-73.882832
2728,4.706125,-73.848522
2711,4.209927,-74.131797
20705,4.55641,-74.05813
20942,4.683464,-74.028834
6708,4.679283,-73.678236
2701,4.18238,-74.115831
19709,3.960023,-74.439937
20726,4.70453,-73.986019
20729,4.773433,-73.955362
20750,4.479995,-74.120756
20943,4.61789,-74.217197
20944,4.61789,-74.217197
20701,4.613625,-74.187251
2729,4.488555,-73.861254
20957,4.50396,-74.063992
20945,4.496726,-74.0712
20946,4.68388,-73.993581
6716,4.78876,-73.794907
6717,4.780074,-73.783643
6718,4.777449,-73.779137
6719,4.685623,-73.695356
20769,4.299575,-74.201823
20746,4.386205,-74.18059
20747,4.371473,-74.176156
6721,4.681105,-73.701668
20947,4.65507,-74.047225
20948,4.666102,-74.037397
20949,4.643585,-74.042175
20950,4.635447,-74.046415
20951,4.622696,-74.079307
6722,4.801403,-73.756591
20952,4.321278,-74.204079
20953,4.285331,-74.209027
20858,4.508489,-74.127158
20706,4.406292,-74.140573
20836,4.570389,-74.140667
6723,4.704649,-73.767451
6724,4.716399,-73.754827
6725,4.725442,-73.754823
6726,4.704643,-73.754833
6727,4.609208,-73.690892
6728,4.664369,-73.690411
6729,4.644023,-73.690422
20904,4.580643,-74.147349
20905,4.595111,-74.153028
2749,4.224266,-74.143508
2730,4.660364,-73.838668
6730,4.808652,-73.78904
3706,4.407924,-73.779146
3709,4.469489,-73.684207
3718,4.490725,-73.654012
3711,4.433318,-73.681074
3712,4.404856,-73.692983
3719,4.410704,-73.669374
2731,4.089511,-74.223404
2732,4.22282,-74.137546
20872,4.720082,-73.967543
2733,4.628709,-73.824259
2734,4.630516,-73.819752
2735,4.643179,-73.829661
2736,4.641372,-73.828763
2737,4.680256,-73.825145
2738,4.639563,-73.827863
2739,4.647701,-73.831462
2740,4.678453,-73.843171
20890,4.55008,-74.1131
20954,4.386594,-74.166443
2741,4.657651,-73.836866
2742,4.654486,-73.837769
2743,4.452184,-73.807745
2744,4.463003,-73.729578
3714,4.459559,-73.714397
3715,4.481989,-73.719792
2745,4.404151,-73.772444
3724,4.532827,-73.755812
6731,4.813173,-73.789146
6732,4.784225,-73.764711
2747,4.781546,-73.849446
20955,4.661127,-74.145104
20956,4.548271,-74.114454
2748,4.118716,-74.178827
20815,5.192874,-73.6193
20892,4.496906,-74.122018
20893,4.397143,-74.479941
20889,4.753096,-74.124827
20888,4.731845,-74.126178
20894,4.680491,-74.513274
20891,4.413818,-74.679948
3710,4.48528,-73.662162
20860,4.93079,-74.000869
20958,4.406049,-74.68114
20998,4.581302,-74.090523
20997,4.597193,-74.108755
20961,4.945267,-73.996359
20962,4.750555,-74.124831
20963,4.70453,-73.986019
20964,4.73104,-74.126984
20965,4.996212,-73.971664
20966,4.66251,-74.148204
20967,4.629293,-74.217812
20968,4.591795,-74.245471
20969,4.708131,-73.994197
20970,4.79579,-74.095907
20971,4.55641,-74.05813
20972,4.398153,-74.144178
20973,4.773433,-73.955362
20974,4.683465,-74.028837
20975,4.61657,-74.255949
3726,4.48528,-73.662162
20977,4.387298,-74.167602
20978,4.666102,-74.037397
20979,4.643585,-74.042175
20981,4.82782,-74.04473
20982,4.73738,-74.120062
20983,4.72593,-74.139819
20984,4.696935,-74.165567
20985,4.645541,-74.178737
21038,4.645541,-74.178737
20986,4.610345,-74.18395
20987,4.498542,-74.121318
20988,4.399926,-74.140367
20989,4.620291,-74.052733
20990,4.555343,-74.060035
3727,4.53733,-73.727463
6733,4.568742,-73.705438
6735,4.568742,-73.705438
3730,4.623329,-74.04236
2750,4.632329,-73.829668
2751,4.627989,-73.829669
2752,4.694184,-73.829646
2753,4.701328,-73.829644
2754,4.627989,-73.829669
2755,4.64499,-73.829663
2756,4.71236,-73.82964
2757,4.627808,-73.829669
2758,4.627989,-73.829669
2759,4.627989,-73.829669
20908,4.673061,-74.167637
3731,4.568742,-73.705438
3728,4.537993,-73.729047
20909,4.60027,-74.05678
2760,4.64499,-73.829663
21042,4.678493,-74.076607
21056,4.713225,-74.134274
21046,4.643133,-74.24122
21048,4.490725,-73.654012
21050,4.48528,-73.662162
21052,4.730721,-74.158225
21053,4.707469,-73.984247
21054,4.585559,-73.705548
21044,4.635226,-73.727245
2706,4.680179,-73.865072
