IdParametro,Etiqueta,EtiquetaIDEAM,DescripcionSerieEAAB,DescripcionSerieIDEAM,Frecuencia
AFLUENCIA,AFLMD,AFLMD,AFLUENCIAS MEDIAS DIARIAS,AFLUENCIAS MEDIAS DIARIAS (no homologado IDEAM),Diario
AFLUENCIA,AFLMM,AFLMM,AFLUENCIAS MEDIAS MENSUALES,AFLUENCIAS MEDIAS MENSUALES (no homologado IDEAM),Mensual
NIEVE,AAN,AAN,Aumento de la altura de la nieve,Aumento de la altura de la nieve (no homologado IDEAM),Horaria
BOMBEO,BOMB,BOMB,BOMBEOS MEDIOS DIARIOS,BOMBEOS MEDIOS DIARIOS (no homologado),Diario
BOMBEO,BOMBM,BOMBM,BOMBEOS MEDIOS MENSUALES,BOMBEOS MEDIOS MENSUALES (no homologado),Mensual
BRILLO SOLAR,BSTD,BSHG_TT_D,"BRILLO SOLAR, TOTAL DIARIO",Brillo solar total diario,Diario
BRILLO SOLAR,BSTM,BSHG_TT_M,"BRILLO SOLAR, TOTAL MENSUAL",Brillo solar total mensual,Mensual
CAPTACION,CAMD,CAMD,"CAPTACION DE AGUA, MEDIA DIARIA","CAPTACION DE AGUA, MEDIA DIARIA (no homologado IDEAM)",Diario
CAPTACION,CAMM,CAMM,"CAPTACION DE AGUA, MEDIA MENSUAL","CAPTACION DE AGUA, MEDIA MENSUAL (no homologado IDEAM)",Mensual
CAUDAL,QLMDG,QLMDG,CAUDAL MEDIO DIARIO GENERADO,CAUDAL MEDIO DIARIO GENERADO (no homologado IDEAM),Diario
CAUDAL,QLMMG,QLMMG,CAUDAL MEDIO MENSUAL GENERADO,CAUDAL MEDIO MENSUAL GENERADO (no homologado IDEAM),Mensual
CAUDAL,QL,QL,CAUDALES INSTANTANEOS,CAUDALES INSTANTANEOS (no homologado IDEAM),Horaria
CAUDAL,QLXI,QLXI,CAUDALES MAXIMOS INSTANTANEOS,CAUDALES MAXIMOS INSTANTANEOS (no homologado IDEAM),Mensual
CAUDAL,QLMD,Q_MEDIA_D,CAUDALES MEDIOS DIARIOS,Caudal medio diario,Diario
CAUDAL,QLMX,Q_MX_M,CAUDALES MEDIOS MAXIMOS,Caudal máximo mensual,Mensual
CAUDAL,QLMM,Q_MEDIA_M,CAUDALES MEDIOS MENSUALES,Caudal medio mensual,Mensual
CAUDAL,QLMN,Q_MN_M,CAUDALES MEDIOS MINIMOS,Caudal mínimo mensual,Mensual
CAUDAL,QLNI,QLNI,CAUDALES MINIMOS ABSOLUTOS,CAUDALES MINIMOS ABSOLUTOS (no homologado IDEAM),Mensual
OTROS,CMMS,CMMS,Código Meteorológico METAR/SPECI,Código Meteorológico METAR/SPECI (no homologado IDEAM),Horaria
OTROS,CMN,CMN,Código Meteorológico NWS,Código Meteorológico NWS (no homologado IDEAM),Horaria
OTROS,CMSW,CMSW,Código Meteorológico Sinoptico WaWa,Código Meteorológico Sinoptico WaWa (no homologado IDEAM),Horaria
OTROS,CMSM,CMSM,Código Meteorológico Sinoptico WW,Código Meteorológico Sinoptico WW (no homologado IDEAM),Horaria
OTROS,CMM,CMM,CONSUMO MEDIO MENSUAL,CONSUMO MEDIO MENSUAL (no homologado IDEAM),Mensual
OTROS,CDC,CDC,Corriente de Calefacción,Corriente de Calefacción (no homologado IDEAM),Horaria
OTROS,DEM,DEM,DEMANDA MEDIA MENSUAL,DEMANDA MEDIA MENSUAL (no homologado IDEAM),Mensual
OTROS,DSCFD,DSCFD,DESCARGAS DE FONDO MEDIAS DIARIAS,DESCARGAS DE FONDO MEDIAS DIARIAS (no homologado IDEAM),Diario
OTROS,DESC,DESC,DESCARGAS DE FONDO MEDIAS MENSUALES,DESCARGAS DE FONDO MEDIAS MENSUALES (no homologado IDEAM),Mensual
OTROS,DSCMD,DSCMD,DESCARGAS TUNEL MEDIAS DIARIAS,DESCARGAS TUNEL MEDIAS DIARIAS (no homologado IDEAM),Diario
OTROS,DSCMM,DSCMM,DESCARGAS TUNEL MEDIAS MENSUALES,DESCARGAS TUNEL MEDIAS MENSUALES (no homologado IDEAM),Mensual
OTROS,ERC,ERC,Energía cinética,Energía cinética (no homologado IDEAM),Horaria
OTROS,ENTP,ENTP,ENTALPIA,ENTALPIA (no homologado IDEAM),Horaria
OTROS,EDS,EDS,Estado del sensor,Estado del sensor (no homologado IDEAM),Horaria
EVAPORACION,EVH,EV_AUT_60,EVAPORACION,Evaporación total horaria,Horaria
EVAPORACION,EVTD,EV_TT_D,"EVAPORACION, TOTAL DIARIO",Evaporación total diaria,Diario
EVAPORACION,EVTM,EV_TT_M,"EVAPORACION, TOTAL MENSUAL",Evaporación total mensual,Mensual
HUM RELATIVA,HRMM,HRHG_MEDIA_M,HUMEDAD MEDIA MENSUAL,Húmeda relativa media mensual,Mensual
HUM RELATIVA,HR,HR_CAL,HUMEDAD RELATIVA,Húmeda relativa calculada horaria,Horaria
HUM RELATIVA,HRMD,HRHG_MEDIA_D,HUMEDAD RELATIVA MEDIA DIARIA,Húmeda relativa media diaria,Diario
NIVEL,INM,NVMX_AUT_60,INDICADOR NIVEL MAX,Nivel máximo horario,Horaria
PRECIPITACION,mm/h,PTINPG_CON_60,Intensidad de Precipitación,Precipitación intensidad cada 60 minutos,Horaria
OTROS,IDM,IDM,Intervalo de Muestreo,Intervalo de Muestreo (no homologado IDEAM),Horaria
NIVEL,NAS,NAS,NIVEL AGUA SUBTERRANEA,NIVEL AGUA SUBTERRANEA (no homologado IDEAM),Horaria
NIVEL,NASMD,NASMD,NIVEL MEDIO DIARIO AGUA SUBTERRANEA,NIVEL MEDIO DIARIO AGUA SUBTERRANEA (no homologado IDEAM),Diario
NIVEL,NASMM,NASMM,NIVEL MEDIO MENSUAL AGUA SUBTERRANEA,NIVEL MEDIO MENSUAL AGUA SUBTERRANEA (no homologado IDEAM),Mensual
NIVEL,NV,NVLG_CON,NIVELES INSTANTANEOS,Nivel del rio horario limnígrafo,Horaria
NIVEL,NVXA,NV_MX_M,NIVELES MAXIMOS ABSOLUTOS MENSUALES,Nivel máximo mensual,Mensual
NIVEL,NVMD,NV_MEDIA_D,NIVELES MEDIOS DIARIOS,Nivel medio diario,Diario
NIVEL,NVMM,NV_MEDIA_M,NIVELES MEDIOS MENSUALES,Nivel medio mensual,Mensual
