Station,Statname,Latitude,Longitude,Elevation,Category,Technology,Status,InstDate,SuspDate,State,County,Stream,Operator,AHName,SZName,SZHName,Timezone,Datetime,Clouds,Dewpoint,Feelslike,Humidity,Pressure,Rain,Temp,UVI,Visibility,Winddeg,Windgust,Windspeed,OWMid,OWMmain,OWMdesc,OWMicon,Hour
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 00:00:00,93.000000,7.510000,8.900000,91.000000,1015.000000,0.96,8.900000,0.000000,10000.000000,76.000000,1.36,0.610000,500,Rain,light rain,10n,00
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 01:00:00,99.000000,7.350000,8.900000,90.000000,1016.000000,0.76,8.900000,0.000000,10000.000000,42.000000,1.48,0.650000,500,Rain,light rain,10n,01
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 02:00:00,73.000000,6.680000,7.900000,92.000000,1017.000000,,7.900000,0.000000,10000.000000,316.000000,1.25,0.570000,803,Clouds,broken clouds,04n,02
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 03:00:00,89.000000,5.380000,6.900000,90.000000,1018.000000,0.71,6.900000,0.000000,10000.000000,310.000000,1.21,0.560000,500,Rain,light rain,10n,03
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 04:00:00,80.000000,4.550000,5.900000,91.000000,1017.000000,,5.900000,0.000000,10000.000000,281.000000,1.18,0.280000,803,Clouds,broken clouds,04n,04
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 05:00:00,85.000000,4.700000,5.900000,92.000000,1017.000000,0.63,5.900000,0.000000,10000.000000,280.000000,1.23,0.520000,500,Rain,light rain,10n,05
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 06:00:00,81.000000,3.710000,4.900000,92.000000,1017.000000,,4.900000,0.000000,10000.000000,233.000000,1.08,0.320000,803,Clouds,broken clouds,04n,06
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 07:00:00,30.000000,3.860000,4.900000,93.000000,1017.000000,,4.900000,0.000000,10000.000000,233.000000,1.62,0.600000,802,Clouds,scattered clouds,03n,07
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 08:00:00,28.000000,1.880000,2.900000,93.000000,1017.000000,,2.900000,0.000000,10000.000000,251.000000,1.84,0.700000,802,Clouds,scattered clouds,03n,08
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 09:00:00,32.000000,0.740000,1.900000,92.000000,1016.000000,,1.900000,0.000000,10000.000000,252.000000,1.38,0.470000,802,Clouds,scattered clouds,03n,09
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 10:00:00,29.000000,-0.220000,0.900000,92.000000,1017.000000,,0.900000,0.000000,10000.000000,251.000000,1.98,0.800000,802,Clouds,scattered clouds,03n,10
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 11:00:00,26.000000,-1.240000,-0.100000,91.000000,1018.000000,,-0.100000,0.000000,10000.000000,250.000000,2.01,0.760000,802,Clouds,scattered clouds,03n,11
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 12:00:00,7.000000,-1.030000,0.900000,86.000000,1018.000000,,0.900000,0.550000,10000.000000,253.000000,2.11,0.530000,800,Clear,clear sky,01d,12
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 13:00:00,14.000000,0.470000,4.900000,73.000000,1018.000000,,4.900000,2.370000,10000.000000,293.000000,1.64,1.070000,801,Clouds,few clouds,02d,13
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 14:00:00,7.000000,2.470000,8.230000,64.000000,1017.000000,,8.900000,5.600000,10000.000000,307.000000,2.11,1.660000,800,Clear,clear sky,01d,14
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 15:00:00,8.000000,3.410000,10.610000,56.000000,1016.000000,,11.900000,9.420000,10000.000000,312.000000,2.36,1.840000,800,Clear,clear sky,01d,15
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 16:00:00,8.000000,3.290000,11.600000,52.000000,1015.000000,,12.900000,12.550000,10000.000000,317.000000,2.72,1.850000,800,Clear,clear sky,01d,16
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 17:00:00,11.000000,5.140000,13.800000,52.000000,1014.000000,,14.900000,13.660000,10000.000000,316.000000,2.98,2.030000,801,Clouds,few clouds,02d,17
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 18:00:00,38.000000,5.020000,12.780000,55.000000,1013.000000,,13.900000,12.400000,10000.000000,314.000000,2.91,2.030000,802,Clouds,scattered clouds,03d,18
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 19:00:00,47.000000,6.720000,13.960000,58.000000,1012.000000,0.17,14.900000,9.060000,10000.000000,312.000000,2.84,1.730000,500,Rain,light rain,10d,19
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 20:00:00,55.000000,7.210000,13.020000,64.000000,1011.000000,0.22,13.900000,5.280000,10000.000000,307.000000,2.71,1.310000,500,Rain,light rain,10d,20
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 21:00:00,68.000000,8.740000,13.200000,71.000000,1012.000000,0.19,13.900000,2.160000,10000.000000,299.000000,2.47,1.090000,500,Rain,light rain,10d,21
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 22:00:00,76.000000,9.720000,12.360000,81.000000,1013.000000,0.22,12.900000,0.450000,10000.000000,297.000000,2.07,0.670000,500,Rain,light rain,10d,22
21206920,"VILLA TERESA - AUT [21206920]",4.350000,-74.150000,3624.000000,"Climática Principal","Automática con Telemetría","Activa","2005-07-19 00:00:00","NaT","Bogotá","Bogota, D.C","Guatiquia","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 23:00:00,81.000000,9.490000,10.420000,91.000000,1015.000000,0.13,10.900000,0.000000,10000.000000,301.000000,1.25,0.400000,500,Rain,light rain,10d,23
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 00:00:00,75.000000,8.730000,11.980000,77.000000,1025.000000,1.12,12.650000,0.000000,10000.000000,300.000000,,4.120000,501,Rain,moderate rain,10n,00
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 01:00:00,75.000000,9.660000,12.110000,82.000000,1025.000000,0.69,12.650000,0.000000,10000.000000,310.000000,,3.090000,500,Rain,light rain,10n,01
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 02:00:00,40.000000,6.580000,10.720000,71.000000,1026.000000,0.12,11.650000,0.000000,10000.000000,300.000000,,3.600000,500,Rain,light rain,10n,02
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 03:00:00,40.000000,6.600000,9.760000,76.000000,1027.000000,0.44,10.650000,0.000000,10000.000000,320.000000,,3.090000,500,Rain,light rain,10n,03
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 04:00:00,20.000000,7.590000,8.360000,87.000000,1027.000000,,9.650000,0.000000,10000.000000,310.000000,,2.570000,801,Clouds,few clouds,02n,04
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 05:00:00,20.000000,7.590000,8.360000,87.000000,1026.000000,0.31,9.650000,0.000000,10000.000000,320.000000,,2.570000,500,Rain,light rain,10n,05
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 06:00:00,20.000000,6.610000,6.840000,87.000000,1026.000000,,8.650000,0.000000,10000.000000,340.000000,,3.090000,801,Clouds,few clouds,02n,06
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 07:00:00,32.000000,6.610000,8.070000,87.000000,1026.000000,,8.650000,0.000000,10000.000000,320.000000,,1.540000,802,Clouds,scattered clouds,03n,07
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 08:00:00,26.000000,5.600000,6.650000,93.000000,1025.000000,,6.650000,0.000000,10000.000000,0.000000,,1.030000,802,Clouds,scattered clouds,03n,08
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 09:00:00,27.000000,4.610000,5.650000,93.000000,1025.000000,,5.650000,0.000000,10000.000000,0.000000,,1.030000,802,Clouds,scattered clouds,03n,09
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 10:00:00,21.000000,4.650000,4.650000,100.000000,1026.000000,,4.650000,0.000000,10000.000000,0.000000,,1.030000,741,Fog,fog,50n,10
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 11:00:00,19.000000,3.650000,3.650000,100.000000,1026.000000,,3.650000,0.000000,10000.000000,0.000000,,1.030000,741,Fog,fog,50n,11
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 12:00:00,40.000000,4.650000,3.500000,100.000000,1027.000000,,4.650000,0.540000,10000.000000,310.000000,,1.540000,741,Fog,fog,50d,12
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 13:00:00,8.000000,7.580000,8.650000,93.000000,1028.000000,,8.650000,2.310000,10000.000000,0.000000,,1.030000,800,Clear,clear sky,01d,13
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 14:00:00,75.000000,6.690000,11.720000,67.000000,1028.000000,,12.650000,5.480000,10000.000000,220.000000,,1.030000,803,Clouds,broken clouds,04d,14
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 15:00:00,75.000000,5.560000,14.600000,51.000000,1028.000000,,15.650000,9.240000,10000.000000,230.000000,,1.540000,803,Clouds,broken clouds,04d,15
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 16:00:00,75.000000,5.600000,15.620000,48.000000,1027.000000,,16.650000,12.350000,10000.000000,310.000000,,3.600000,803,Clouds,broken clouds,04d,16
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 17:00:00,75.000000,4.800000,17.620000,40.000000,1026.000000,,18.650000,13.450000,10000.000000,310.000000,,5.660000,803,Clouds,broken clouds,04d,17
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 18:00:00,75.000000,4.600000,16.570000,42.000000,1025.000000,,17.650000,12.200000,10000.000000,310.000000,,5.660000,803,Clouds,broken clouds,04d,18
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 19:00:00,75.000000,5.500000,17.670000,42.000000,1024.000000,,18.650000,9.160000,10000.000000,310.000000,,7.200000,803,Clouds,broken clouds,04d,19
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 20:00:00,75.000000,7.690000,16.830000,52.000000,1023.000000,,17.650000,5.330000,10000.000000,310.000000,,7.200000,803,Clouds,broken clouds,04d,20
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 21:00:00,75.000000,7.690000,16.830000,52.000000,1023.000000,,17.650000,2.170000,10000.000000,310.000000,,6.690000,803,Clouds,broken clouds,04d,21
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 22:00:00,40.000000,7.580000,15.810000,55.000000,1023.000000,0.17,16.650000,0.460000,10000.000000,300.000000,,7.200000,500,Rain,light rain,10d,22
21206940,"CIUDAD BOLIVAR [21206940]",4.576861,-74.176778,2687.000000,"Climática Principal","Automática con Telemetría","Suspendida","2005-05-19 00:00:00","2018-08-24 10:27:52","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 23:00:00,75.000000,7.690000,13.820000,63.000000,1024.000000,0.2,14.650000,0.000000,10000.000000,290.000000,,6.690000,500,Rain,light rain,10d,23
21206960,"IDEAM BOGOTA  - AUT [21206960]",4.600000,-74.066667,2646.000000,"Climática Principal","Automática con Telemetría","Activa","2005-04-10 19:00:00","NaT","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 00:00:00,75.000000,9.010000,12.300000,77.000000,1025.000000,0.73,12.940000,0.000000,10000.000000,300.000000,,4.120000,500,Rain,light rain,10n,00
21206960,"IDEAM BOGOTA  - AUT [21206960]",4.600000,-74.066667,2646.000000,"Climática Principal","Automática con Telemetría","Activa","2005-04-10 19:00:00","NaT","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 01:00:00,75.000000,9.940000,12.430000,82.000000,1025.000000,0.43,12.940000,0.000000,10000.000000,310.000000,,3.090000,500,Rain,light rain,10n,01
21206960,"IDEAM BOGOTA  - AUT [21206960]",4.600000,-74.066667,2646.000000,"Climática Principal","Automática con Telemetría","Activa","2005-04-10 19:00:00","NaT","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 02:00:00,40.000000,6.850000,11.040000,71.000000,1026.000000,0.11,11.940000,0.000000,10000.000000,300.000000,,3.600000,500,Rain,light rain,10n,02
21206960,"IDEAM BOGOTA  - AUT [21206960]",4.600000,-74.066667,2646.000000,"Climática Principal","Automática con Telemetría","Activa","2005-04-10 19:00:00","NaT","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 03:00:00,40.000000,6.880000,10.070000,76.000000,1027.000000,0.31,10.940000,0.000000,10000.000000,320.000000,,3.090000,500,Rain,light rain,10n,03
21206960,"IDEAM BOGOTA  - AUT [21206960]",4.600000,-74.066667,2646.000000,"Climática Principal","Automática con Telemetría","Activa","2005-04-10 19:00:00","NaT","Bogotá","Bogota, D.C","0","Area Operativa 11 - Cundinamarca-Amazonas-San Andrés","Magdalena Cauca","Alto Magdalena","Río Bogotá",America/Bogota,2022-01-29 04:00:00,20.000000,7.880000,8.710000,87.000000,1027.000000,,9.940000,0.000000,10000.000000,310.000000,,2.570000,801,Clouds,few clouds,02n,04
