Station,Date,Value
11027030,2025,13.4
11030010,2025,2839.794
11035010,2025,145.3
11035030,2025,121.9
11045010,2025,212.6
11047020,2025,93.1
11057020,2025,0
11110010,2025,1024.3
11110110,2025,109.4
11115020,2025,56.2
11115040,2025,58.6
11117010,2025,39.2
11117050,2025,133.6
11135030,2025,26.8
11175000,2025,839.5
12015060,2025,130.2
12015100,2025,101.6
12017020,2025,108.6
12025040,2025,133.8
12045020,2025,72.2
13015040,2025,105.1
13027040,2025,462.4
13035501,2025,414.9
13067020,2025,10.3
13075010,2025,130.3
13077060,2025,63
14015010,2025,62.2
14015080,2025,227
14019030,2025,37.7
15015050,2025,47.8
15015060,2025,63
15015100,2025,148.2
15015120,2025,119.6
15017030,2025,83.8
15035020,2025,75.5
15065040,2025,300.8
15065180,2025,150.9
15065190,2025,86.2
15065501,2025,42
15067020,2025,4.5
15070080,2025,29.4
15075501,2025,1.2
15080070,2025,66.9
15085030,2025,96
15085050,2025,17
16015110,2025,23.9
16015120,2025,16.1
16015501,2025,95.5
16017020,2025,67.6
16025040,2025,69.2
16027120,2025,0
16027280,2025,185.5
16027300,2025,66.2
16035030,2025,18.6
16055120,2025,66.1
17015010,2025,2763
17019010,2025,0
17025020,2025,344.8
21015020,2025,55.1
21015030,2025,104.32
21015040,2025,29.4
21015050,2025,0
21015070,2025,9
21017030,2025,42.6
21017040,2025,75.6
21025030,2025,52.7
21035040,2025,83.8
21037020,2025,92.2
21045010,2025,88.7
21050060,2025,47.8
21055020,2025,80.8
21057050,2025,58.6
21057060,2025,96
21065040,2025,28.4
21085030,2025,168.8
21095010,2025,99.4
21097070,2025,84.5
21097120,2025,144
21105030,2025,82.8
21105040,2025,54.8
21105050,2025,96
21115100,2025,99.3
21115160,2025,90.2
21115170,2025,46.9
21115180,2025,17.7
21117100,2025,7.1
21125010,2025,82.7
21127030,2025,130.4
21130050,2025,57.5
21135020,2025,75.9
21137050,2025,83.4
21140120,2025,61
21145080,2025,10.4
21147010,2025,68.2
21147030,2025,48.4
21167060,2025,0
21167080,2025,66.8
21185030,2025,60.8
21185080,2025,97.1
21185090,2025,76.2
21187030,2025,60.3
21195120,2025,60.2
21195170,2025,28.3
21195190,2025,31.2
21197010,2025,42.4
21197030,2025,294
21197080,2025,46
21201200,2025,23.8
21201580,2025,36.9
21201980,2025,25.8
21202180,2025,24.2
21202190,2025,35
21202220,2025,44.6
21202230,2025,26.2
21202240,2025,39.6
21202250,2025,23.3
21205012,2025,31.2
21205420,2025,26.6
21205660,2025,108.8
21205670,2025,84.4
21205700,2025,29.2
21205710,2025,58.6
21205791,2025,274.316
21205910,2025,45.4
21205940,2025,22
21205970,2025,38.3
21206280,2025,35.1
21206560,2025,38.4
21206600,2025,52.8
21206780,2025,29.3
21206810,2025,29.5
21206890,2025,36.6
21206900,2025,32.3
21206920,2025,16.2
21206930,2025,21.3
21206950,2025,22.6
21206980,2025,27.5
21208480,2025,27.8
21209200,2025,0
21209920,2025,27.6
21215150,2025,0
21215160,2025,21.2
21215180,2025,54.7
21215190,2025,35.4
21217180,2025,102
21227010,2025,109.4
21235030,2025,86.2
21237010,2025,70.4
21245140,2025,85
21255090,2025,67.9
21255160,2025,27
21255170,2025,36
21257090,2025,59.8
21257100,2025,81.6
21257120,2025,56.5
22017020,2025,94
22020020,2025,46.2
22045010,2025,81
22055020,2025,110.8
22057010,2025,79.5
22065040,2025,72.8
22070030,2025,51.2
22075050,2025,33.5
22077030,2025,40.2
22077050,2025,85
23017040,2025,130.6
23025040,2025,166.5
23035030,2025,87.2
23037010,2025,56.5
23050420,2025,228.4
23057140,2025,8.6
23065110,2025,111.6
23065120,2025,57.8
23065180,2025,168.3
23065190,2025,103
23067040,2025,60.8
23067050,2025,96.1
23067060,2025,37.2
23067070,2025,64.2
23067080,2025,70.4
23085080,2025,84.4
23085160,2025,88
23085220,2025,154.4
23085260,2025,33.8
23085270,2025,182.3
23087150,2025,50.4
23087160,2025,25
23087190,2025,151.6
23087210,2025,67.4
23087230,2025,83.8
23087670,2025,64.5
23097030,2025,60.5
23105030,2025,12.6
23105070,2025,14.2
23115010,2025,40.036
23125080,2025,155.2
23125100,2025,75.8
23125120,2025,149.6
23125140,2025,185.8
23125160,2025,56.8
23125170,2025,26
23127020,2025,133.7
23127050,2025,194
23127060,2025,99.4
23145501,2025,86
23147020,2025,121.6
23147040,2025,102.8
23155030,2025,139.689
23175020,2025,150.6
23180070,2025,131.6
23190130,2025,53
23190380,2025,87.9
23190440,2025,81.7
23190600,2025,0.6
23190700,2025,60
23195040,2025,83.9
23195090,2025,0.8
23195110,2025,56.2
23195200,2025,32.2
23195240,2025,54.1
23195502,2025,136.7
23197370,2025,133.2
23197690,2025,44.8
23197700,2025,0
23205020,2025,122
23217080,2025,49.8
24015110,2025,19.2
24015220,2025,31.8
24015300,2025,45.6
24015380,2025,32.4
24015509,2025,91
24015510,2025,99.2
24015511,2025,79.2
24015512,2025,21.4
24015514,2025,65.6
24015515,2025,57.9
24015517,2025,49.6
24015518,2025,80.2
24015519,2025,45.7
24017590,2025,69.2
24017600,2025,92.2
24017640,2025,65.8
24017707,2025,0
24017740,2025,38.6
24025030,2025,15
24025090,2025,104.2
24025502,2025,59.9
24025503,2025,48.8
24025504,2025,62
24025505,2025,54.1
24027070,2025,163
24030140,2025,25.8
24030680,2025,20.6
24030950,2025,59.8
24035250,2025,35.2
24035340,2025,67.9
24035360,2025,31
24035370,2025,38.7
24035390,2025,24.1
24035410,2025,29.4
24035430,2025,98.2
24035502,2025,34.4
24035503,2025,59.4
24035505,2025,52.9
24035506,2025,39.9
24035507,2025,33.1
24035508,2025,47.9
24035509,2025,40.5
24035510,2025,58
24037030,2025,53.2
24037080,2025,11.8
24037190,2025,67
24037290,2025,25.4
24037490,2025,1.2
24050070,2025,128.4
24055070,2025,60.1
24055080,2025,32.9
24055503,2025,51.7
24055504,2025,44.4
24057070,2025,90.4
24065010,2025,207
25010010,2025,120.4
25017010,2025,70.6
25017020,2025,100
25017030,2025,3.8
25020140,2025,4.4
25020430,2025,98.7
25020440,2025,22.9
25020470,2025,78.9
25020600,2025,81.1
25021480,2025,177.6
25025002,2025,76.8
25025030,2025,115.1
25025100,2025,90.2
25025190,2025,66
25025240,2025,418.5
25025270,2025,100
25025280,2025,65.8
25025330,2025,68.2
25025340,2025,105.9
25025360,2025,831.6
25025380,2025,129.3
25027020,2025,50.8
25027050,2025,104.8
25027180,2025,107
25027200,2025,174.2
25027240,2025,64.5
25027270,2025,236.2
25027450,2025,64.7
25027760,2025,101.8
25027770,2025,91.9
25027910,2025,193.2
26015010,2025,45.5
26015030,2025,26.8
26015040,2025,3.5
26015050,2025,26.4
26017060,2025,142.4
26027200,2025,12.8
26055100,2025,283
26055110,2025,37.5
26055120,2025,76.2
26075120,2025,42.2
26075150,2025,745.2
26085160,2025,52.5
26085170,2025,9
26105240,2025,73.6
26105250,2025,31.7
26115090,2025,42.9
26125061,2025,192.897
26125300,2025,81.2
26125710,2025,689.4
26127010,2025,96
26127040,2025,33.3
26135300,2025,40.5
26135320,2025,31.8
26135330,2025,40.2
26137220,2025,44.5
26145090,2025,78.9
26147140,2025,74.2
26155110,2025,43.6
26155150,2025,34.5
26155170,2025,44.2
26155240,2025,12.6
26155250,2025,21.5
26155260,2025,26.8
26155270,2025,42
26157190,2025,64.8
26167070,2025,63.8
26175040,2025,120
26177030,2025,72.58
26180180,2025,116.8
26180250,2025,25.2
26185020,2025,63
26185050,2025,51.2
26187040,2025,24.5
26207030,2025,59.6
26207080,2025,504
26217010,2025,78
26225060,2025,66.8
26237040,2025,72.5
26237100,2025,78.2
26247010,2025,132.8
26247020,2025,101.1
26255030,2025,129.2
27010810,2025,99
27010850,2025,50.4
27011100,2025,134.2
27015190,2025,127.4
27015260,2025,75.1
27015280,2025,0.1
27015310,2025,0.3
27015320,2025,40.9
27015330,2025,88.22
27025030,2025,77.7
27027060,2025,50.8
27030140,2025,83.9
27035050,2025,120.3
27037010,2025,43.6
27037020,2025,153.2
28015070,2025,62
28025090,2025,350.9
28025120,2025,14.5
28025502,2025,39.98
28035060,2025,36.5
28035070,2025,5
28037030,2025,12.2
29004520,2025,80.5
29015000,2025,25.2
29015040,2025,64.4
29035000,2025,43.4
29035080,2025,71.4
29035200,2025,110.3
29045000,2025,76.8
29045110,2025,69.2
29045190,2025,96.21
29047000,2025,37.8
29047070,2025,100.2
29065000,2025,80.3
29065120,2025,27.9
29065130,2025,65
29067060,2025,67.6
29067150,2025,108
31095030,2025,105.4
32075080,2025,19.2
32105080,2025,136
33035010,2025,214.6
34015010,2025,151
34035010,2025,215.6
35017020,2025,101.2
35020300,2025,62.7
35025060,2025,22.8
35025080,2025,33.8
35025110,2025,169.5
35027001,2025,60.4
35027100,2025,41
35027150,2025,13.4
35027190,2025,0.4
35027210,2025,96.2
35027510,2025,1
35035100,2025,238.4
35035110,2025,293.8
35035130,2025,13.4
35060210,2025,53
35075030,2025,37
35075040,2025,99.3
35075070,2025,71
35075080,2025,8.7
35080050,2025,0
35085060,2025,10.5
35085070,2025,23.2
35085080,2025,7.4
35087020,2025,65.7
35095110,2025,29.3
35095120,2025,10.3
35095130,2025,29.3
35160000,2025,31.9
35160010,2025,31.2
35160020,2025,271.8
35165000,2025,51.6
35167000,2025,28.8
35167010,2025,317.3
35185010,2025,13.2
35195020,2025,117.8
35195050,2025,35.904
35195060,2025,45.45
35197020,2025,2.1
35197030,2025,151.6
35197070,2025,37.6
35215020,2025,181.94
35215030,2025,4236.3
35217010,2025,3.66
35217030,2025,84.5
35217060,2025,96.6
35217090,2025,63.8
35225030,2025,119.1
35235010,2025,57.7
35235050,2025,127
35237030,2025,89.6
35260050,2025,0
36015020,2025,95
36017010,2025,46.8
37015030,2025,25.3
37017040,2025,37.8
37027010,2025,3.2
37045010,2025,83.1
42077020,2025,94.8
44015060,2025,111.2
44015070,2025,86.6
44017070,2025,15.1
44017110,2025,112
44017120,2025,176.4
44035030,2025,15.9
44035040,2025,54.2
44035050,2025,36.7
44037040,2025,32
44037050,2025,123.5
44045030,2025,123.5
44055010,2025,496.2
44197020,2025,0
46015030,2025,38.6
46035010,2025,27.1
47015100,2025,504.8
47017070,2025,125.6
47017110,2025,89.4
47017170,2025,95.4
48015040,2025,74.5
48015050,2025,216.4
51020011,2025,125.6
51027060,2025,26.6
51035020,2025,128.8
51039010,2025,124.4
52010020,2025,59.2
52015050,2025,11.1
52017030,2025,76.4
52020070,2025,71.2
52025080,2025,60.7
52025090,2025,153.8
52035040,2025,50.4
52040050,2025,102.4
52045080,2025,41
52047020,2025,0
52050060,2025,71.4
52050080,2025,97.2
52050090,2025,65.8
52055090,2025,99.8
52055150,2025,25.3
52055170,2025,74.8
52055210,2025,79.4
52055220,2025,26.6
52055230,2025,208.754
52057050,2025,3720.6
52057100,2025,54.12
52065020,2025,302.6
52077010,2025,46.9
53045040,2025,16.2
53075020,2025,34
53119010,2025,194.3
54015010,2025,54.6
54015020,2025,118.9
54017040,2025,80.9
54020020,2025,19.2
54025010,2025,964.8
54027050,2025,586.7
54077210,2025,28.9
55015010,2025,72.1
57025020,2025,72.9
1111500036,2025,44.8
1111500203,2025,71.9
1111700230,2025,65.4
1111700231,2025,167
1117500060,2025,118
1206500136,2025,211.6
1303500074,2025,100.8
1303500129,2025,55.8
1501700160,2025,29.8
1507500207,2025,33.6
1508500053,2025,98.2
1509500118,2025,98.5
1602500044,2025,99
1602500063,2025,30.2
1602500110,2025,25.9
2119500111,2025,89.6
2120000099,2025,24.3
2120000100,2025,47.8
2120000101,2025,19.7
2120000103,2025,29
2120000104,2025,44.4
2120000105,2025,67.5
2120000106,2025,30.4
2120000107,2025,32.2
2120000108,2025,51.5
2120000109,2025,36.7
2120000117,2025,49.9
2120000118,2025,43
2120000119,2025,38
2120000120,2025,65.7
2120000121,2025,39.8
2120000122,2025,33
2120000123,2025,34.8
2120000124,2025,51
2120000125,2025,31
2120000126,2025,32.6
2120000127,2025,23.8
2120000128,2025,31.7
2120000129,2025,30.7
2120000130,2025,34.8
2120000131,2025,51.6
2120000132,2025,28.3
2120000133,2025,42.2
2120000134,2025,54.5
2120000135,2025,66
2120000136,2025,36.1
2120000137,2025,36.1
2120000138,2025,21.6
2120000139,2025,34.9
2120000140,2025,83.9
2120000142,2025,22.8
2120000169,2025,25
2120000170,2025,39.2
2120000171,2025,40.6
2120000172,2025,37.1
2120000173,2025,25.4
2120000174,2025,47
2120000175,2025,23
2120500050,2025,42
2120500135,2025,38.2
2120500201,2025,36.8
2120500204,2025,651.6
2120700037,2025,38.4
2120700038,2025,31.4
2120700146,2025,42
2120700154,2025,34
2120700162,2025,45.4
2121500042,2025,97
2125700094,2025,92.4
2201500047,2025,4.6
2301700089,2025,15.1
2302500064,2025,117.6
2305500055,2025,77.6
2306500106,2025,49.6
2306500204,2025,30.2
2308500071,2025,65.2
2311500200,2025,24.3
2319500043,2025,77.2
2319500125,2025,28.6
2319500137,2025,48
2319500207,2025,16.8
2319700096,2025,81.4
2401500040,2025,44.8
2401500052,2025,61.6
2401500080,2025,32.6
2401500086,2025,29.8
2403000113,2025,4.8
2403000114,2025,56.5
2403000117,2025,35
2403500041,2025,34.8
2403500082,2025,20.6
2403500083,2025,316.8
2403500084,2025,1.2
2403500085,2025,33.6
2403700149,2025,28.2
2405700149,2025,1.2
2501500120,2025,111.8
2502700153,2025,11.1
2502700206,2025,60.7
2601700104,2025,0
2604500039,2025,100.1
2611700158,2025,64.2
2612500038,2025,152
2612500124,2025,65.2
2612500130,2025,111.4
2612500214,2025,130.6
2613500126,2025,79.6
2614500112,2025,41.1
2615500122,2025,20.7
2619700161,2025,41.4
2620500209,2025,79.5
2620500210,2025,118.6
2620500211,2025,77
2621500070,2025,45.2
2625700231,2025,190
2629700151,2025,10
2633500119,2025,22.4
2633700150,2025,36.6
2636700098,2025,64.6
2701500213,2025,67.9
2702500107,2025,66.2
2801500078,2025,3528
2801700088,2025,29
2802500079,2025,84.8
2805500075,2025,80.4
2901500072,2025,35.8
2904000176,2025,50.8
2904000177,2025,70.3
2904700095,2025,42.2
2906500077,2025,58.8
3206500045,2025,118.7
3206500058,2025,150.4
3206500059,2025,17
3206500214,2025,120.7
3502500135,2025,55.9
3502700090,2025,79.2
3503500062,2025,27.8
3505500061,2025,97
3505500121,2025,504
3507500046,2025,2.2
3516700232,2025,47.9
3518500127,2025,5.6
3518700145,2025,22.6
3519700092,2025,47.2
3526500201,2025,80.3
3602700101,2025,1.4
3701500114,2025,33.6
3701500117,2025,24.8
3706500109,2025,59.7
4403700097,2025,404.9
5102500128,2025,90.2
5204700100,2025,87.6
5205500123,2025,20.8
5311500121,2025,73.6
