Station,Date,Value
25020230,1959,
25020230,1960,
25020230,1961,
25020230,1962,
25020230,1963,
25020230,1964,
25020230,1965,
25020230,1966,
25020230,1967,
25020230,1968,
25020230,1969,82
25020230,1970,82
25020230,1971,125
25020230,1972,80
25020230,1973,130
25020230,1974,135
25020230,1975,139
25020230,1976,80
25020230,1977,135
25020230,1978,142
25020230,1979,151
25020230,1980,108
25020230,1981,150
25020230,1982,148
25020230,1983,120
25020230,1984,155
25020230,1985,122
25020230,1986,136
25020230,1987,46
25020230,1988,95
25020230,1989,85
25020230,1990,89
25020230,1991,65
25020230,1992,62
25020230,1993,90
25020230,1994,135
25020230,1995,90
25020230,1996,41
25020230,1997,85
25020230,1998,71
25020230,1999,110
25020230,2000,122
25020230,2001,134.5
25020230,2002,109
25020230,2003,80
25020230,2004,80
25020230,2005,40
25020230,2006,90
25020230,2007,150
25020230,2008,160
25020230,2009,150
25020260,1959,
25020260,1960,
25020260,1961,
25020260,1962,
25020260,1963,
25020260,1964,
25020260,1965,
25020260,1966,
25020260,1967,
25020260,1968,
25020260,1969,112
25020260,1970,100
25020260,1971,85
25020260,1972,72
25020260,1973,128
25020260,1974,155
25020260,1975,172
25020260,1976,123
25020260,1977,115
25020260,1978,170
25020260,1979,136
25020260,1980,105
25020260,1981,100
25020260,1982,80
25020260,1983,149
25020260,1984,145
25020260,1985,110
25020260,1986,52
25020260,1987,170
25020260,1988,105
25020260,1989,115
25020260,1990,63
25020260,1991,130
25020260,1992,147
25020260,1993,78
25020260,1994,84
25020260,1995,98
25020260,1996,106
25020260,1997,74
25020260,1998,98
25020260,1999,152
25020260,2000,97
25020260,2001,97
25020260,2002,93
25020260,2003,93
25020260,2004,112
25020260,2005,75
25020260,2006,137
25020260,2007,149
25020260,2008,138
25020260,2009,107
25020280,1959,
25020280,1960,
25020280,1961,
25020280,1962,
25020280,1963,
25020280,1964,
25020280,1965,
25020280,1966,
25020280,1967,
25020280,1968,
25020280,1969,132
25020280,1970,115
25020280,1971,100
25020280,1972,97
25020280,1973,116
25020280,1974,92
25020280,1975,104
25020280,1976,82
25020280,1977,90
25020280,1978,130
25020280,1979,116
25020280,1980,130
25020280,1981,78
25020280,1982,150
25020280,1983,103
25020280,1984,150
25020280,1985,98
25020280,1986,55
25020280,1987,90
25020280,1988,88
25020280,1989,77
25020280,1990,92.6
25020280,1991,90
25020280,1992,105
25020280,1993,120
25020280,1994,100
25020280,1995,70
25020280,1996,150
25020280,1997,70
25020280,1998,124
25020280,1999,130
25020280,2000,120
25020280,2001,70
25020280,2002,96
25020280,2003,271
25020280,2004,90
25020280,2005,106
