Station,Date,Value
28035040,1959,
28035040,1960,
28035040,1961,
28035040,1962,
28035040,1963,
28035040,1964,
28035040,1965,
28035040,1966,
28035040,1967,
28035040,1968,
28035040,1969,
28035040,1970,
28035040,1971,
28035040,1972,75
28035040,1973,52
28035040,1974,65
28035040,1975,73
28035040,1976,67.5
28035040,1977,28
28035040,1978,99
28035040,1979,121
28035040,1980,72.4
28035040,1981,96
28035040,1982,105.5
28035040,1983,56
28035040,1984,90.1
28035040,1985,114.4
28035040,1986,103.7
28035040,1987,91.1
28035040,1988,135
28035040,1989,90
28035040,1990,84
28035040,1991,84
28035040,1992,83
28035040,1993,83
28035040,1994,
28035040,1995,127
28035040,1996,85.7
28035040,1997,65
28035040,1998,108
28035040,1999,100
28035040,2000,81.8
28035040,2001,90
28035040,2002,59
28035040,2003,
28035040,2004,85
28035040,2005,104
28035040,2006,104
28035040,2007,101
28035040,2008,96
28035040,2009,84
