Station,Date,Value
25020230,1959,0
25020230,1960,0
25020230,1961,
25020230,1962,
25020230,1963,90
25020230,1964,140
25020230,1965,106
25020230,1966,107
25020230,1967,
25020230,1968,122
25020230,1969,82
25020230,1970,93.62669481
25020230,1971,125
25020230,1972,80
25020230,1973,130
25020230,1974,135
25020230,1975,139
25020230,1976,80
25020230,1977,135
25020230,1978,142
25020230,1979,151
25020230,1980,108
25020230,1981,150
25020230,1982,148
25020230,1983,120
25020230,1984,155
25020230,1985,122
25020230,1986,136
25020230,1987,87.88795568
25020230,1988,95
25020230,1989,85
25020230,1990,89
25020230,1991,65
25020230,1992,62
25020230,1993,90
25020230,1994,135
25020230,1995,90
25020230,1996,102.7368594
25020230,1997,85
25020230,1998,71
25020230,1999,110
25020230,2000,122
25020230,2001,134.5
25020230,2002,109
25020230,2003,80
25020230,2004,80
25020230,2005,92.77249134
25020230,2006,90
25020230,2007,150
25020230,2008,160
25020230,2009,150
25020230,2010,91
25020230,2011,110
25020230,2012,73
25020230,2013,82
25020230,2014,96
25020230,2015,150
25020230,2016,
25020230,2017,120.1
25020230,2018,130
25020230,2019,70
25020230,2020,111
25020230,2021,89
25020230,2021,
25020240,1959,
25020240,1960,
25020240,1961,
25020240,1962,
25020240,1963,110
25020240,1964,130
25020240,1965,150
25020240,1966,90
25020240,1967,80
25020240,1968,79.41051161
25020240,1969,80
25020240,1970,137
25020240,1971,55
25020240,1972,90
25020240,1973,70
25020240,1974,100
25020240,1975,98
25020240,1976,140
25020240,1977,115
25020240,1978,138
25020240,1979,110
25020240,1980,65
25020240,1981,110
25020240,1982,67
25020240,1983,78
25020240,1984,61
25020240,1985,36
25020240,1986,85
25020240,1987,88
25020240,1988,150
25020240,1989,140
25020240,1990,109
25020240,1991,90
25020240,1992,100
25020240,1993,91
25020240,1994,120
25020240,1995,82
25020240,1996,101
25020240,1997,123
25020240,1998,75
25020240,1999,128
25020240,2000,105
25020240,2001,87
25020240,2002,113
25020240,2003,112
25020240,2004,100
25020240,2005,112
25020240,2006,137
25020240,2007,98
25020240,2008,90
25020240,2009,95
25020240,2010,135
25020240,2011,135
25020240,2012,133
25020240,2013,135
25020240,2014,125
25020240,2015,90
25020240,2016,170
25020240,2017,142
25020240,2018,130
25020240,2019,
25020240,2020,140
25020240,2021,115
25020240,2022,126
25020250,1959,
25020250,1960,
25020250,1961,
25020250,1962,
25020250,1963,136
25020250,1964,35
25020250,1965,118
25020250,1966,124
25020250,1967,
25020250,1968,135
25020250,1969,104
25020250,1970,140
25020250,1971,128
25020250,1972,89
25020250,1973,133
25020250,1974,77
25020250,1975,70
25020250,1976,75
25020250,1977,109
25020250,1978,167
25020250,1979,125
25020250,1980,129
25020250,1981,122
25020250,1982,74
25020250,1983,134
25020250,1984,106
25020250,1985,77
25020250,1986,91
25020250,1987,134
25020250,1988,128
25020250,1989,65
25020250,1990,120
25020250,1991,100
25020250,1992,122
25020250,1993,140
25020250,1994,98
25020250,1995,125
25020250,1996,100
25020250,1997,102.9
25020250,1998,104.4
25020250,1999,119.5
25020250,2000,165
25020250,2001,88.6
25020250,2002,139
25020250,2003,102.5
25020250,2004,77.3
25020250,2005,105.3
25020250,2006,130.8
25020250,2007,136
25020250,2008,80
25020250,2009,84
25020250,2010,132.2
25020250,2011,130.5
25020250,2012,112
25020250,2013,119
25020250,2014,92.7
25020250,2015,80.7
25020250,2016,104
25020250,2017,107.1
25020250,2018,
25020250,2019,
25020250,2020,
25020250,2021,67
25020250,2022,116
25020260,1959,
25020260,1960,
25020260,1961,
25020260,1962,
25020260,1963,68
25020260,1964,117
25020260,1965,110
25020260,1966,112
25020260,1967,90
25020260,1968,90
25020260,1969,112
25020260,1970,100
25020260,1971,85
25020260,1972,72
25020260,1973,128
25020260,1974,155
25020260,1975,172
25020260,1976,123
25020260,1977,115
25020260,1978,170
25020260,1979,136
25020260,1980,105
25020260,1981,100
25020260,1982,80
25020260,1983,149
25020260,1984,145
25020260,1985,110
25020260,1986,52
25020260,1987,170
25020260,1988,105
25020260,1989,115
25020260,1990,63
25020260,1991,130
25020260,1992,147
25020260,1993,78
25020260,1994,84
25020260,1995,98
25020260,1996,106
25020260,1997,74
25020260,1998,98
25020260,1999,152
25020260,2000,97
25020260,2001,97
25020260,2002,93
25020260,2003,93
25020260,2004,112
25020260,2005,75
25020260,2006,137
25020260,2007,149
25020260,2008,138
25020260,2009,107
25020260,2010,109
25020260,2011,147
25020260,2012,158
25020260,2013,83
25020260,2014,143
25020260,2015,51
25020260,2016,
25020260,2017,68
25020260,2018,115
25020260,2019,48
25020260,2020,109
25020260,2021,69
25020260,2022,
25020280,1959,
25020280,1960,
25020280,1961,
25020280,1962,
25020280,1963,70
25020280,1964,80
25020280,1965,94
25020280,1966,71
25020280,1967,80
25020280,1968,72.1625217
25020280,1969,132
25020280,1970,115
25020280,1971,100
25020280,1972,97
25020280,1973,116
25020280,1974,92
25020280,1975,104
25020280,1976,82
25020280,1977,90
25020280,1978,130
25020280,1979,116
25020280,1980,130
25020280,1981,78
25020280,1982,150
25020280,1983,103
25020280,1984,150
25020280,1985,98
25020280,1986,55
25020280,1987,90
25020280,1988,88
25020280,1989,77
25020280,1990,92.6
25020280,1991,90
25020280,1992,105
25020280,1993,120
25020280,1994,100
25020280,1995,70
25020280,1996,150
25020280,1997,70
25020280,1998,124
25020280,1999,130
25020280,2000,120
25020280,2001,70
25020280,2002,96
25020280,2003,271
25020280,2004,90
25020280,2005,106
25020280,2006,125
25020280,2007,90
25020280,2008,121
25020280,2009,90
25020280,2010,157
25020280,2011,85
25020280,2012,130
25020280,2013,89
25020280,2014,135
25020280,2015,85
25020280,2016,95
25020280,2017,100
25020280,2018,
25020280,2019,
25020280,2020,
25020280,2021,
25020280,2022,
25020690,1959,
25020690,1960,
25020690,1961,
25020690,1962,
25020690,1963,
25020690,1964,
25020690,1965,
25020690,1966,
25020690,1967,
25020690,1968,
25020690,1969,
25020690,1970,
25020690,1971,
25020690,1972,
25020690,1973,113
25020690,1974,80
25020690,1975,80
25020690,1976,92
25020690,1977,57
25020690,1978,65.0324581
25020690,1979,66
25020690,1980,135
25020690,1981,117
25020690,1982,72
25020690,1983,96
25020690,1984,116
25020690,1985,70
25020690,1986,53
25020690,1987,15
25020690,1988,125
25020690,1989,145
25020690,1990,80
25020690,1991,80
25020690,1992,90
25020690,1993,125
25020690,1994,80
25020690,1995,90
25020690,1996,90
25020690,1997,80
25020690,1998,60
25020690,1999,95
25020690,2000,90
25020690,2001,98
25020690,2002,135
25020690,2003,90
25020690,2004,98
25020690,2005,133
25020690,2006,90
25020690,2007,99
25020690,2008,100
25020690,2009,90
25020690,2010,90
25020690,2011,145
25020690,2012,80
25020690,2013,130
25020690,2014,150
25020690,2015,80
25020690,2016,96
25020690,2017,85
25020690,2018,100
25020690,2019,90
25020690,2020,111
25020690,2021,90
25020690,2022,98
25020920,1959,
25020920,1960,
25020920,1961,
25020920,1962,
25020920,1963,
25020920,1964,
25020920,1965,
25020920,1966,
25020920,1967,
25020920,1968,
25020920,1969,
25020920,1970,
25020920,1971,
25020920,1972,58
25020920,1973,173
25020920,1974,86
25020920,1975,101
25020920,1976,99
25020920,1977,126
25020920,1978,160
25020920,1979,122
25020920,1980,248
25020920,1981,126
25020920,1982,125
25020920,1983,75
25020920,1984,65
25020920,1985,115
25020920,1986,120
25020920,1987,115
25020920,1988,60
25020920,1989,100
25020920,1990,60
25020920,1991,50
25020920,1992,60
25020920,1993,120
25020920,1994,90
25020920,1995,80
25020920,1996,120
25020920,1997,90
25020920,1998,70
25020920,1999,140
25020920,2000,150
25020920,2001,150
25020920,2002,120
25020920,2003,150
25020920,2004,203
25020920,2005,170
25020920,2006,150
25020920,2007,80
25020920,2008,20
25020920,2009,75
25020920,2010,75
25020920,2011,80
25020920,2012,80
25020920,2013,63.48631498
25020920,2014,50
25020920,2015,80
25020920,2016,
25020920,2017,
25020920,2018,
25020920,2019,
25020920,2020,
25020920,2021,
25020920,2022,
25021240,1959,
25021240,1960,
25021240,1961,
25021240,1962,
25021240,1963,
25021240,1964,
25021240,1965,
25021240,1966,
25021240,1967,
25021240,1968,
25021240,1969,
25021240,1970,
25021240,1971,
