Station,Date,Value
11017020,2018,135.7
11017020,2019,193.9
11025501,2017,72.6
11025501,2018,30.6
11025501,2019,64.2
11025501,2020,41.9
11025501,2021,44.2
11025501,2022,50.7
11027030,2019,59.8
11027030,2020,87.6
11027030,2021,74.8
11027030,2022,89
11027070,2006,159.2
11027070,2007,134.5
11027070,2008,94.2
11027070,2009,140
11027070,2010,206.4
11027070,2011,115.7
11027070,2012,174.5
11027070,2013,229.3
11027070,2015,162.8
11027070,2016,200.2
11030010,2018,122.4
11030010,2019,131
11030010,2020,71.7
11030010,2021,65.6
11030010,2022,0
11030010,2023,0
11035030,2018,119.6
11035030,2019,183
11037030,2006,282
11037030,2007,133.6
11037030,2008,158.5
11037030,2009,119.2
11037030,2012,168.2
11037030,2013,321.1
11037030,2014,1.4
11045010,2018,648
11045010,2019,648
11045010,2020,156.3
11045010,2021,190.8
11045010,2022,63.3
11045010,2023,81.3
11047040,2009,173.1
11047040,2010,177.6
11047040,2011,183.2
11047040,2012,123.9
11047040,2013,83.6
11047040,2014,75.3
11047040,2015,93.4
11047040,2016,143.8
11047040,2017,62.9
11047040,2018,73.7
11047040,2019,200.4
11047040,2021,118.5
11047040,2022,79
11050020,2018,84.7
11050020,2019,132.9
11050020,2020,55.1
11057020,2019,139
11057020,2020,164.8
11057020,2021,5
11077020,2019,44.4
11080010,2018,102.3
11080010,2019,190.2
11080010,2020,98.5
11080010,2022,136.7
11080010,2023,176
11105020,2008,93.6
11105020,2009,119.5
11105020,2010,135.2
11105020,2018,108.6
11105020,2019,121.6
11115020,2019,66.4
11115501,2017,62.9
11117040,2019,229.8
11117040,2020,81
11117050,2019,47.6
11117050,2020,68.6
11117050,2021,75
11120040,2018,69.2
11120040,2019,113.2
11135030,2013,95.7
11135030,2014,75.3
11135030,2015,87.6
11135030,2016,70.3
11135030,2017,73.5
11135030,2018,66.4
11159010,2007,90.6
11159010,2008,126.8
11159010,2009,95.2
11159010,2010,131.9
11159010,2013,85
11159010,2014,151.5
11159010,2015,150.5
11159010,2016,52.5
11159010,2019,816.6
11175000,2018,104.7
11175000,2019,138
11175000,2022,0
11175000,2023,0
11175000,2024,0
12015060,2019,121.6
12015100,2005,174
12015100,2011,89
12015100,2012,75
12015100,2013,104.5
12015100,2014,96.4
12015100,2015,103.5
12015100,2016,84.6
12015100,2017,169.3
12015100,2018,81.9
12015100,2019,151.8
12015110,2005,138.5
12015110,2012,110.5
12015110,2013,91.2
12015110,2014,95.8
12015110,2015,76.3
12015110,2016,94.9
12015110,2017,101.7
12015110,2018,68.1
12015110,2019,94.4
12015110,2021,109.8
12017020,2019,127.2
12017020,2020,3.4
12027010,2019,73
12045020,2019,208.8
13027040,2017,109.9
13027040,2018,122.6
13027040,2019,151.8
13027040,2020,76.3
13027040,2024,150.3
13035501,2015,49.22
13035501,2016,58.78
13035501,2017,103.7
13035501,2018,0.886
13035501,2019,34.5
13035501,2020,65.3
13035501,2021,0
13035501,2022,0
13035501,2023,550.5
13035501,2024,410.6
13037040,2012,194.2
13055040,2005,60.7
13055040,2006,56.3
13055040,2007,73.2
13055040,2008,75.8
13055040,2009,62.3
13055040,2010,43.5
13055040,2012,64
13055040,2013,72.9
13055040,2014,43.3
13055040,2015,57.9
13055040,2016,64.3
13057010,2005,71.6
13057010,2006,33.8
13057010,2007,83.1
13057010,2008,66.5
13057010,2009,60.9
13057010,2010,73.5
13057010,2011,84.6
13057010,2012,76.7
13057010,2013,77.7
13057010,2014,35
13057010,2015,47.5
13057010,2016,68.8
13057010,2017,40
13057010,2018,203.5
13057010,2019,60.4
13067020,2015,49.65
13067020,2016,69.25
13067020,2017,259.7
13067020,2018,1325
13067020,2019,6.1
13067020,2020,11.6
13067020,2021,2.2
13067020,2022,5.2
13077060,2019,136.8
13077060,2020,50.4
13077060,2021,64.4
13085030,2017,79.8
13085030,2018,49.2
13085050,2005,84.1
13085050,2006,44.3
13085050,2007,42.9
13085050,2008,44.6
13085050,2009,92
13095010,2007,30.9
13095010,2008,152.2
13095010,2009,98
13095010,2010,177.8
13095010,2011,138.2
13095010,2013,119.3
13095010,2014,116.4
13095010,2015,85.3
13095010,2016,91.3
13095010,2017,118
14015010,2019,82
14015010,2020,102.8
14015010,2024,125.6
14015020,2015,41.39
14015020,2016,74.19
14015020,2017,66.55
14015020,2018,44.45
14015020,2019,52.17
14015080,2020,1239.1
14015080,2021,72.04
14015080,2022,144.04
14015080,2023,87.9
14015080,2024,214.6
14017001,2013,55.2
14017001,2014,2.1
14017001,2016,17.1
14017001,2017,78.6
14017001,2018,73.2
