station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11025501,edf_tukey,dweibull,0.0620572672116617,0.4472608134160001,Δo > Δ,1,8,1,1
11025501,edf_blom,dweibull,0.062246251657828,0.4472608134160001,Δo > Δ,1,8,1,2
11025501,edf_cunnane,dweibull,0.063354899107939,0.4472608134160001,Δo > Δ,1,8,1,3
11025501,edf_filliben,dweibull,0.0636472253706575,0.4472608134160001,Δo > Δ,1,8,1,4
11025501,edf_jenkinson,dweibull,0.064396169359633,0.4472608134160001,Δo > Δ,1,8,1,5
11025501,edf_beard,dweibull,0.064396169359633,0.4472608134160001,Δo > Δ,1,8,1,6
11025501,edf_gringorten,dweibull,0.0651571338790552,0.4472608134160001,Δo > Δ,1,8,1,7
11025501,edf_chegodayev,dweibull,0.065390600544995,0.4472608134160001,Δo > Δ,1,8,1,8
11025501,edf_hazen,dweibull,0.0679280698396462,0.4472608134160001,Δo > Δ,1,8,1,9
11025501,edf_adamowski,dweibull,0.0702925613293087,0.4472608134160001,Δo > Δ,1,8,1,10
11025501,edf_weibull,gumbel_l,0.075630551110591,0.4472608134160001,Δo > Δ,1,8,1,11
11025501,edf_california,laplace,0.1007257702845119,0.4472608134160001,Δo > Δ,1,8,1,12
11027030,edf_hazen,pearson3,0.1163935089398869,0.530385761606,Δo > Δ,1,6,1,1
11027030,edf_gringorten,pearson3,0.1212954697242006,0.530385761606,Δo > Δ,1,6,1,2
11027030,edf_cunnane,pearson3,0.1244580250689192,0.530385761606,Δo > Δ,1,6,1,3
11027030,edf_blom,pearson3,0.126393508939887,0.530385761606,Δo > Δ,1,6,1,4
11027030,edf_tukey,betaprime,0.1286097992323752,0.530385761606,Δo > Δ,1,6,1,5
11027030,edf_filliben,betaprime,0.1290025722095944,0.530385761606,Δo > Δ,1,6,1,6
11027030,edf_beard,betaprime,0.1291872616973151,0.530385761606,Δo > Δ,1,6,1,7
11027030,edf_jenkinson,betaprime,0.1291872616973151,0.530385761606,Δo > Δ,1,6,1,8
11027030,edf_chegodayev,betaprime,0.1294321676534279,0.530385761606,Δo > Δ,1,6,1,9
11027030,edf_adamowski,betaprime,0.130634090730351,0.530385761606,Δo > Δ,1,6,1,10
11027030,edf_weibull,logpearson3,0.14017195606923,0.530385761606,Δo > Δ,1,6,1,11
11027030,edf_california,kappa4,0.1630847110379127,0.530385761606,Δo > Δ,1,6,1,12
11027070,edf_california,logmielke,0.0951894941127732,0.351490473531,Δo > Δ,1,13,1,1
11027070,edf_jenkinson,logdweibull,0.098639346163173,0.351490473531,Δo > Δ,1,13,1,2
11027070,edf_beard,logdweibull,0.098639346163173,0.351490473531,Δo > Δ,1,13,1,3
11027070,edf_chegodayev,logdweibull,0.0986865669348777,0.351490473531,Δo > Δ,1,13,1,4
11027070,edf_filliben,logdweibull,0.0990587536578172,0.351490473531,Δo > Δ,1,13,1,5
11027070,edf_tukey,logdweibull,0.0999472684352209,0.351490473531,Δo > Δ,1,13,1,6
11027070,edf_adamowski,logdweibull,0.1008977333251485,0.351490473531,Δo > Δ,1,13,1,7
11027070,edf_blom,logdweibull,0.1023057590012587,0.351490473531,Δo > Δ,1,13,1,8
11027070,edf_weibull,logncf,0.1023439762233985,0.351490473531,Δo > Δ,1,13,1,9
11027070,edf_cunnane,logdweibull,0.1037351472230997,0.351490473531,Δo > Δ,1,13,1,10
11027070,edf_gringorten,logdweibull,0.1060448294108308,0.351490473531,Δo > Δ,1,13,1,11
11027070,edf_hazen,loglaplace_asymmetric,0.1083390650245441,0.351490473531,Δo > Δ,1,13,1,12
11030010,edf_weibull,logdweibull,0.110727525304784,0.5865427407550001,Δo > Δ,1,5,1,1
11030010,edf_gringorten,logchi2,0.1110039797732973,0.5865427407550001,Δo > Δ,1,5,1,2
11030010,edf_cunnane,logchi2,0.1153846061092159,0.5865427407550001,Δo > Δ,1,5,1,3
11030010,edf_hazen,logchi2,0.1156914797732973,0.5865427407550001,Δo > Δ,1,5,1,4
11030010,edf_blom,logchi2,0.1190476097722196,0.5865427407550001,Δo > Δ,1,5,1,5
11030010,edf_tukey,logchi2,0.1249999907246006,0.5865427407550001,Δo > Δ,1,5,1,6
11030010,edf_filliben,logchi2,0.1272134110414692,0.5865427407550001,Δo > Δ,1,5,1,7
11030010,edf_jenkinson,logchi2,0.1282527788286898,0.5865427407550001,Δo > Δ,1,5,1,8
11030010,edf_beard,logchi2,0.1282527788286898,0.5865427407550001,Δo > Δ,1,5,1,9
11030010,edf_chegodayev,logchi2,0.1296296203542302,0.5865427407550001,Δo > Δ,1,5,1,10
11030010,edf_adamowski,logweibull_min,0.1363636230436743,0.5865427407550001,Δo > Δ,1,5,1,11
11030010,edf_california,loginvgauss,0.1458243591923573,0.5865427407550001,Δo > Δ,1,5,1,12
11037030,edf_hazen,laplace_asymmetric,0.0812448773047276,0.417612680231,Δo > Δ,1,9,1,1
11037030,edf_gringorten,laplace_asymmetric,0.0856308422170083,0.417612680231,Δo > Δ,1,9,1,2
11037030,edf_cunnane,laplace_asymmetric,0.0884912541163218,0.417612680231,Δo > Δ,1,9,1,3
11037030,edf_california,dweibull,0.0900896395772828,0.417612680231,Δo > Δ,1,9,1,4
11037030,edf_blom,laplace_asymmetric,0.0902538863137366,0.417612680231,Δo > Δ,1,9,1,5
11037030,edf_tukey,laplace_asymmetric,0.0931496392094896,0.417612680231,Δo > Δ,1,9,1,6
11037030,edf_filliben,laplace_asymmetric,0.0942365128270625,0.417612680231,Δo > Δ,1,9,1,7
11037030,edf_jenkinson,laplace_asymmetric,0.0947487863310247,0.417612680231,Δo > Δ,1,9,1,8
11037030,edf_beard,laplace_asymmetric,0.0947487863310247,0.417612680231,Δo > Δ,1,9,1,9
11037030,edf_chegodayev,laplace_asymmetric,0.0954292744678482,0.417612680231,Δo > Δ,1,9,1,10
11037030,edf_adamowski,laplace_asymmetric,0.0987887369538504,0.417612680231,Δo > Δ,1,9,1,11
11037030,edf_weibull,genlogistic,0.1034944920912649,0.417612680231,Δo > Δ,1,9,1,12
11045010,edf_hazen,logmielke,0.082900162656064,0.484420539261,Δo > Δ,1,7,1,1
11045010,edf_gringorten,logmielke,0.0877155719658554,0.484420539261,Δo > Δ,1,7,1,2
