station,tr,n,bestfit_pdf,bestfit_val,norm,lognorm,gumbel_l,gumbel_r,gamma,pearson3,logpearson3,dweibull,kappa4,norm_pdiff,lognorm_pdiff,gumbel_l_pdiff,gumbel_r_pdiff,gamma_pdiff,pearson3_pdiff,logpearson3_pdiff,dweibull_pdiff,kappa4_pdiff
11025501,2.0,8,gennorm,46.60641653587884,44.587500000000006,26.013790332961083,47.98875385785656,41.18624614214345,43.81013985559576,47.44388052482922,45.43339387396932,47.141607898131625,35.027013378501806,-4.53,-79.16,2.88,-13.16,-6.38,1.77,-2.58,1.14,-33.06
11025501,2.33,8,gennorm,49.20697958686866,48.282046715359805,35.26317018040959,51.20305471453246,44.60965789106806,47.65236267850395,50.92045683709617,56.2383829851085,50.15409742478209,40.36951430746859,-1.92,-39.54,3.9,-10.31,-3.26,3.37,12.5,1.89,-21.89
11025501,5.0,8,gennorm,61.208993046355104,62.01197840998083,109.2210662530258,61.58710147588926,59.48251083428267,62.22199518013053,62.29919370523135,94.30787669757332,61.996593436339474,57.81257878566929,1.29,43.96,0.61,-2.9,1.63,1.75,35.1,1.27,-5.87
11025501,10.0,8,gennorm,71.35626217551464,71.12006202948973,231.21354599132667,67.3684708626851,71.59623007099981,72.14194625948176,68.58170265883659,110.94117332343674,71.67347915731196,65.38454600774246,-0.33,69.14,-5.92,0.34,1.09,-4.05,35.68,0.44,-9.13
11025501,15.0,8,gennorm,77.08611348021402,75.6651850856434,336.16134218883093,69.98671532486665,78.43068809961585,77.16880934199958,71.36377954312013,116.1517472197246,77.10754519445805,67.87527410747843,-1.88,77.07,-10.14,1.71,0.11,-8.02,33.63,0.03,-13.57
11025501,20.0,8,gennorm,81.0789852696393,78.64167468939316,429.52418549238007,71.61645173652202,83.21600039567704,80.48853918153958,73.06410170338091,118.62917408386564,80.88929136895977,69.10816390018661,-3.1,81.12,-13.21,2.57,-0.73,-10.97,31.65,-0.23,-17.32
11025501,25.0,8,gennorm,84.13968929611912,80.83277333000657,514.4483059583448,72.77617985999834,86.90194643943903,82.94638538513635,74.25604518673005,120.05733439086248,83.78681479572481,69.8420759109895,-4.09,83.64,-15.61,3.18,-1.44,-13.31,29.92,-0.42,-20.47
11025501,50.0,8,gennorm,93.47163702250737,87.10722517483488,862.4171295349487,75.9243158104141,98.2566011921289,90.05093311348867,77.39922079054514,122.72316109569026,92.61997804985936,71.2900170853984,-7.31,89.16,-23.11,4.87,-3.8,-20.77,23.84,-0.92,-31.11
11025501,75.0,8,gennorm,98.82366480567008,90.47389622521462,1137.9159716641047,77.51626824874813,104.8563594352062,93.90360763221042,78.9272435934253,123.52811035131178,97.6878582258082,71.76341825015308,-9.23,91.32,-27.49,5.75,-5.24,-25.21,20.0,-1.16,-37.71
11025501,100.0,8,gennorm,102.57920417420522,92.75096913355011,1372.5834827303142,78.5575492467942,109.52741495647469,96.52551722117352,79.90064237803571,123.9063082336826,101.2456483099665,71.99724915976707,-10.6,92.53,-30.58,6.34,-6.27,-28.38,17.21,-1.32,-42.48
11025501,200.0,8,gennorm,111.50111253183717,97.91609996526614,2100.12363834442,80.82087367602814,120.75710341463318,102.52121332378896,81.93628637332952,124.42948413879648,109.70469672386956,72.34242791914305,-13.87,94.69,-37.96,7.66,-8.76,-36.08,10.39,-1.64,-54.13
11025501,250.0,8,gennorm,114.33860352462388,99.49454281945889,2391.6096124401647,81.48680035605997,124.3672837069829,104.366897031885,82.51238603348659,124.52519979136268,112.39727825112726,72.41026905282483,-14.92,95.22,-40.32,8.06,-9.55,-38.57,8.18,-1.73,-57.9
11025501,500.0,8,gennorm,123.05639376399256,104.17542991759431,3516.2499088989675,83.39580680568127,135.57254498839433,109.8773449838418,84.1003761841607,124.70268811912804,120.67740818936728,72.54393065930772,-18.12,96.5,-47.56,9.23,-11.99,-46.32,1.32,-1.97,-69.63
11025501,750.0,8,gennorm,128.0939585763947,106.77572408714796,4355.788310416236,84.4160689874786,142.12312455475103,112.9624695308798,84.9078082195854,124.75598564455754,125.46745957815126,72.58757847506173,-19.97,97.06,-51.74,9.87,-13.4,-50.86,-2.68,-2.09,-76.47
11025501,1000.0,8,gennorm,131.6426451162455,108.56602615012638,5047.639370393255,85.10274051912766,146.76970468961505,115.09656307684172,85.43403548920597,124.78098040606568,128.8442066177466,72.60912819279899,-21.26,97.39,-54.69,10.31,-14.38,-54.09,-5.5,-2.17,-81.3
11027030,2.0,7,arcsine,52.971428571428575,52.97142857142857,42.12085702783606,57.95105532147508,47.99180182138207,52.56325026512002,53.53321824548867,44.37111213564905,48.61571813843841,47.626239926833705,-0.0,-25.76,8.59,-10.38,-0.78,1.05,-19.38,-8.96,-11.22
11027030,2.33,7,arcsine,62.42955879551598,58.38045254375156,48.015764805389885,62.656972373690536,53.00386896891088,58.00011561686699,58.92111265543917,50.43869196426504,67.49417379568679,53.319943676937726,-6.94,-30.02,0.36,-17.78,-7.64,-5.95,-23.77,7.5,-17.08
11027030,5.0,7,arcsine,87.65098141120181,78.48184397177408,78.1249919759139,77.85980026821665,74.7785613208109,78.43866092138921,78.63187409513975,78.92725597802776,80.14811377195413,72.41256607525796,-11.68,-12.19,-12.58,-17.21,-11.74,-11.47,-11.05,-9.36,-21.04
11027030,10.0,7,arcsine,93.73968800206111,91.81659013563416,107.90246828423923,86.32404988130824,92.51372690228384,92.20113156924197,91.43776584501748,103.6859535628476,85.66681049769142,80.97150081530407,-2.09,13.13,-8.59,-1.33,-1.67,-2.52,9.59,-9.42,-15.77
11027030,15.0,7,arcsine,94.9009821415036,98.4709056611854,126.76949198736726,90.15730688208288,102.51975745562044,99.13003757720207,97.74821989739849,117.97824342863034,88.12867079840554,83.83915954432709,3.63,25.14,-5.26,7.43,4.27,2.91,19.56,-7.68,-13.19
11027030,20.0,7,arcsine,95.30995821302264,102.8286536775032,140.8786375132725,92.54333255677868,109.52572352361918,103.68972679277545,101.8520504917397,128.07035236369234,89.6677509211377,85.27274408340345,7.31,32.35,-2.99,12.98,8.08,6.42,25.58,-6.29,-11.77
11027030,25.0,7,arcsine,95.4996998519765,106.03654519597546,152.25883628547015,94.24123968979204,114.9221556294874,107.0574779405414,104.85852761932932,135.87799121098618,90.76946417785462,86.13197345167079,9.94,37.28,-1.34,16.9,10.8,8.93,29.72,-5.21,-10.88
11027030,50.0,7,arcsine,95.7531264896226,115.2226952318554,190.19239848519013,98.85028760171495,131.54600815770462,116.75405603960225,113.4000860363637,160.0459060328171,93.8002749490329,87.8452680932278,16.9,49.65,3.13,27.21,17.99,15.56,40.17,-2.08,-9.0
11027030,75.0,7,arcsine,95.80011229593714,120.1516908086934,214.30453085171368,101.1809954165458,141.208425038219,121.98916526507604,117.94189059233342,174.1348092109723,95.36148499543486,88.41330786867152,20.27,55.3,5.32,32.16,21.47,18.77,44.99,-0.46,-8.35
11027030,100.0,7,arcsine,95.81656138682,123.48545348564318,232.323157829593,102.70548930288363,148.0471127683137,125.5427561942953,120.9974603725256,184.1112498391216,96.39504078077876,88.69623432612948,22.41,58.76,6.71,35.28,23.68,20.81,47.96,0.6,-8.03
11027030,200.0,7,arcsine,95.83242500351544,131.04749523024614,279.01170334387774,106.01912343395958,164.48800762000667,133.64174750790232,127.87980616047454,208.07894201091364,98.67950274901608,89.11834245864786,26.87,65.65,9.61,41.74,28.29,25.06,53.94,2.89,-7.53
11027030,250.0,7,arcsine,95.83432876904314,133.35842425484745,295.07093860765474,106.99407750914465,169.77351440884857,136.12738879469362,129.96957732117548,215.7722192342497,99.36236673216824,89.2022525642203,28.14,67.52,10.43,43.55,29.6,26.26,55.59,3.55,-7.43
11027030,500.0,7,arcsine,95.83686716692284,140.2115059658704,348.3375001317218,109.78897021043106,186.17864650132347,143.52787189519154,136.1299096457269,239.58981610378007,101.34933725825704,89.36917259001592,31.65,72.49,12.71,48.52,33.23,29.6,60.0,5.44,-7.24
11027030,750.0,7,arcsine,95.83733724610292,144.01848272968633,381.9778393070786,111.28269136882189,195.769063035976,147.65789036509807,139.5282612270825,253.45953843326305,102.43018306097652,89.42439965474851,33.45,74.91,13.88,51.05,35.1,31.31,62.19,6.44,-7.17
11027030,1000.0,7,arcsine,95.83750177422188,146.6395855394275,407.0092506233111,112.28801707234052,202.5719174252056,150.50928685035774,141.8581699940584,263.2688927529016,103.16544447749878,89.45188568282539,34.64,76.45,14.65,52.69,36.32,32.44,63.6,7.1,-7.14
11027070,2.0,13,beta,170.31249780834685,165.6538461538462,160.2101833727632,172.41102544368792,158.89666686400446,165.02292003739103,166.4790665285332,163.34425007575916,152.99625097410478,158.44980098003498,-2.81,-6.31,1.22,-7.18,-3.21,-2.3,-4.27,-11.32,-7.49
11027070,2.33,13,beta,180.505786112128,172.99370245205105,167.94834767208852,178.7967902491819,165.69786663831718,172.41704031821155,173.78748057692383,171.05184719051258,167.52605180177596,168.35496768589783,-4.34,-7.48,-0.96,-8.94,-4.69,-3.87,-5.53,-7.75,-7.22
11027070,5.0,13,beta,210.54531795203533,200.27058738186372,200.1270598687812,199.4264958380517,195.24536238216177,200.2064873796851,200.48925685608907,200.87687221959607,192.903628024446,200.9015465409265,-5.13,-5.21,-5.58,-7.84,-5.16,-5.02,-4.81,-9.15,-4.8
11027070,10.0,13,beta,221.4643427268005,218.36537141620732,224.80633849684952,210.9121864451036,219.31136161953907,218.91275910325976,217.80670762081428,221.47725121663063,207.82487389238332,215.2126017427191,-1.42,1.49,-5.0,-0.98,-1.17,-1.68,0.01,-6.56,-2.9
11027070,15.0,13,beta,224.60103288552384,227.3950447861858,238.23768909733263,216.11378209040632,232.88919502400017,228.32891368310263,226.33120883587912,231.9292407869556,215.23102352037017,219.97084556851743,1.23,5.72,-3.93,3.56,1.63,0.76,3.16,-4.35,-2.1
11027070,20.0,13,beta,226.03143481593497,233.3083563905016,247.4654561897129,219.35153545694823,242.396045877746,234.5247423177825,231.8715701489772,238.81942544228937,220.09553522138697,222.34203422845545,3.12,8.66,-3.05,6.75,3.62,2.52,5.35,-2.7,-1.66
11027070,25.0,13,beta,226.83369448633763,237.6613529544464,254.48597004482923,221.6555360359405,249.71881545369243,239.1006110430278,235.9287739624299,243.90947134196827,223.688288729738,223.7605609990116,4.56,10.87,-2.34,9.16,5.13,3.86,7.0,-1.41,-1.37
11027070,50.0,13,beta,228.2719575795957,250.12663717986487,275.7113133052941,227.90985280698013,272.2768017565822,252.2741423639912,247.4476313251243,258.5412588828103,234.0474688545332,226.58207481390767,8.74,17.21,-0.16,16.16,9.51,7.75,11.71,2.47,-0.75
