CODIGO,NOMBRE,CATEGORIA,TECNOLOGIA,ESTADO,FECHA_INSTALACION,FECHA_SUSPENSION,ALTITUD,LATITUD,LONGITUD,DEPARTAMENTO,MUNICIPIO,AREA_OPERATIVA,ENTIDAD,AREA_HIDROGRAFICA,ZONA_HIDROGRAFICA,SUBZONA_HIDROGRAFICA,CORRIENTE,Catalogo,Version,station,n
11025501,CARMEN DE ATRATO  - AUT  [11025501],Climatológica Principal,Automática con Telemetría,Activa,16/12/2013,,1683,5.888719444,-76.14516667,Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,CENTRO NACIONAL DE INVESTIGACIONES DE CAFE,Caribe,Atrato - Darién,Alto Atrato,,CNE_OE,20251226,11025501,8
11027030,EL SIETE [11027030],Limnigráfica,Automática con Telemetría,Activa,15/12/1979,,2300,5.862,-76.15205556,Choco,El Carmen,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Alto Atrato,Atrato,CNE_IDEAM,20251226,11027030,7
11027070,BORAUDO [11027070],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,15/04/2005,02/07/2025,78,5.514611111,-76.57569444,Choco,Lloró,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),Atrato,CNE_IDEAM,20251226,11027070,13
11030010,CERTEGUI [11030010],Pluviométrica,"Automática con Telemetría, Convencional",Activa,15/01/1967,,72,5.38,-76.61,Choco,Cértegui,Area Operativa 09 - Cauca-Valle-Caldas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Quito,,CNE_IDEAM,20251226,11030010,6
11035030,UNION PANAMERICANA - AUT  [11035030],Climatológica Ordinaria,Automática con Telemetría,Activa,29/12/2017,,110,5.284827778,-76.627822222,Choco,Unión Panamericana ( Animas),Area Operativa 09 - Cauca-Valle-Caldas,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Quito,,CNE_IDEAM,20251226,11035030,5
11037030,LA LOMA PUEBLO [11037030],Limnigráfica,Automática con Telemetría,Suspendida,15/04/2005,11/10/2018,72,5.584666667,-76.75327778,Choco,Rio Quito (Paimadó),Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Quito,Quito,CNE_IDEAM,20251226,11037030,9
11045010,AEROPUERTO EL CARAÑO [11045010],Sinóptica Principal,Automática con Telemetría,Activa,15/02/1947,,75,5.690555556,-76.64377778,Choco,Quibdó,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),,CNE_IDEAM,20251226,11045010,8
11047040,QUIBDO [11047040],Limnigráfica,Automática con Telemetría,En Mantenimiento,30/11/2008,,21,5.697778056,-76.66222222,Choco,Quibdó,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),Atrato,CNE_IDEAM,20251226,11047040,17
11080010,BELLAVISTA [11080010],Climatológica Ordinaria,Automática con Telemetría,En Mantenimiento,15/07/1966,,18,6.559166667,-76.88541667,Choco,Bojayá (Bellavista),Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),,CNE_IDEAM,20251226,11080010,6
11105020,CARMEN DEL DARIEN [11105020],Climatológica Ordinaria,Automática con Telemetría,En Mantenimiento,28/09/2005,,18,7.154333333,-76.97719444,Choco,Carmen Del Darién  (Curbaradó),Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Sucio,,CNE_IDEAM,20251226,11105020,8
1111500036,ABRIAQUI [1111500036],Climatológica Principal,Automática con Telemetría,Activa,22/12/2016,,1946,6.6363,-76.070733333,Antioquia,Abriaquí,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Sucio,,CNE_IDEAM,20251226,1111500036,5
11117050,DABEIBA 2 [11117050],Limnigráfica,Automática con Telemetría,Activa,15/09/1976,,650,7.010278056,-76.288333333,Antioquia,Dabeiba,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Sucio,Riosucio,CNE_IDEAM,20251226,11117050,6
11135030,UNGUIA [11135030],Climatológica Principal,Automática con Telemetría,Activa,24/09/2005,,14,8.036722222,-77.08786111,Choco,Unguía,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Tanela y otros Directos al Caribe,,CNE_IDEAM,20251226,11135030,10
11159010,CAPURGANA - AUT [11159010],Meteorologica Marina,Automática con Telemetría,Suspendida,15/08/1995,,1,8.62,-77.33,Choco,Acandí,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Atrato - Darién,Río Tolo y otros Directos al Caribe,Mar Caribe,CNE_IDEAM,20251226,11159010,13
12015060,TULENAPA [12015060],Climatológica Ordinaria,Automática con Telemetría,Activa,15/08/1982,,39,7.77,-76.67,Antioquia,Carepa,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Río León,,CNE_IDEAM,20251226,12015060,6
12015100,PISTA INDIRA [12015100],Agrometeorológica,Automática con Telemetría,Activa,20/09/2005,,15,7.94075,-76.69616667,Antioquia,Turbo,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Río León,,CNE_IDEAM,20251226,12015100,12
12015110,CHIGORODO [12015110],Agrometeorológica,Automática con Telemetría,Suspendida,18/09/2005,18/11/2025,44,7.671138889,-76.69405556,Antioquia,Chigorodó,Area Operativa 01 - Antioquia-Chocó,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Río León,,CNE_IDEAM,20251226,12015110,14
1206500136,UNIVERSIDAD UNAD CARTAGENA - AUT   [1206500136],Climatológica Principal,Automática con Telemetría,Activa,19/09/2018,,46,10.400311111,-75.513280556,Bolivar,Cartagena De Indias,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,,CNE_IDEAM,20251226,1206500136,6
13027040,CANO BARRO - AUT [13027040],Limnigráfica,"Automática con Telemetría, Convencional",Activa,02/01/2017,,24,8.236777,-74.962588,Cordoba,Ayapel,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Magdalena Cauca,Bajo Magdalena- Cauca -San Jorge,Bajo San Jorge - La Mojana,CAÑO BARRO,CNE_IDEAM,20251226,13027040,7
1303500074,LOMA VERDE - AUT [1303500074],Climatológica Principal,Automática con Telemetría,En Mantenimiento,19/04/2017,,82,8.508777778,-76.175416667,Cordoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,,CNE_IDEAM,20251226,1303500074,5
1303500129,SAHAGUN - AUT   [1303500129],Climatológica Principal,Automática con Telemetría,Suspendida,29/12/2016,07/07/2025,70,8.94,-75.45,Cordoba,Sahagún,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,,CNE_IDEAM,20251226,1303500129,6
13035501,AEROPUERTO LOS GARZONES [13035501],Sinóptica Secundaria,Automática con Telemetría,Activa,06/02/2015,,20,8.825833333,-75.82513889,Cordoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,,CNE_IDEAM,20251226,13035501,9
13055040,INCODER - AUT [13055040],Agrometeorológica,Automática con Telemetría,Suspendida,17/11/2004,02/12/2025,37,8.746944444,-75.91388889,Cordoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,,CNE_IDEAM,20251226,13055040,13
13057010,NUEVA COLOMBIA AUT [13057010],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/06/1990,,20,8.499444444,-75.97861111,Cordoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Medio Sinú,Sinu,CNE_IDEAM,20251226,13057010,17
13067020,MONTERIA  - AUT [13067020],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/02/1963,,15,8.751611111,-75.89241667,Cordoba,Montería,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,Sinu,CNE_IDEAM,20251226,13067020,11
13077060,COTOCA ABAJO  - AUT [13077060],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/02/1970,,5,9.223685,-75.836095,Cordoba,Lorica,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,Sinu,CNE_IDEAM,20251226,13077060,7
13085050,LORICA  ITA - AUT [13085050],Climatológica Principal,Automática con Telemetría,Suspendida,13/05/2005,02/10/2010,30,9.252722222,-75.84441667,Cordoba,Lorica,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Sinú,Bajo Sinú,,CNE_IDEAM,20251226,13085050,6
13095010,COVENAS - AUT [13095010],Meteorológica Especial,Automática con Telemetría,Suspendida,15/02/1980,15/04/1992,1,9.383333333,-75.66666667,Sucre,Tolú,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Directos Caribe Golfo de Morrosquillo,,CNE_IDEAM,20251226,13095010,13
14015010,GALERAZAMBA  - AUT [14015010],Climatológica Principal,Automática con Telemetría,Activa,15/12/1945,,20,10.794988,-75.261671,Bolivar,Santa Catalina,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,,CNE_IDEAM,20251226,14015010,6
14015080,AEROPUERTO RAFAEL NUNEZ [14015080],Sinóptica Principal,Automática con Telemetría,Activa,06/05/2005,,2,10.44725,-75.51602778,Bolivar,Cartagena De Indias,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,,CNE_IDEAM,20251226,14015080,7
14017001,TESORO INVEMAR  - AUT  [14017001],Limnigráfica,Automática con Telemetría,Activa,06/08/2012,,3,10.23491667,-75.74055,Bolivar,Cartagena De Indias,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS JOSE BENITO VIVES DE ANDREIS,Magdalena Cauca,Bajo Magdalena,Canal del Dique margen izquierda,Mar Caribe,CNE_OE,20251226,14017001,10
14019030,ESCUELA NAVAL CIOH - AUT [14019030],Meteorologica Marina,Automática con Telemetría,En Mantenimiento,15/07/1991,,1,10.39056389,-75.53383056,Bolivar,Cartagena De Indias,Area Operativa 02 - Atlántico-Bolivar-Sucre,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Litoral,Arroyos Directos al Caribe,Mar Caribe,CNE_IDEAM,20251226,14019030,16
1501500054,SAN ISIDRO BONDA - AUT   [1501500054],Climatológica Principal,Automática con Telemetría,En Mantenimiento,13/12/2016,,581,11.230522222,-74.059786111,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,,CNE_IDEAM,20251226,1501500054,5
15015060,SAN LORENZO  - AUT [15015060],Climatológica Principal,"Automática con Telemetría, Convencional",En Mantenimiento,15/01/1969,,2200,11.11108333,-74.05469444,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,,CNE_IDEAM,20251226,15015060,5
15015100,PARQUE TAYRONA [15015100],Climatológica Ordinaria,"Automática con Telemetría, Convencional",Activa,15/11/1977,,23,11.301674,-73.928809,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,,CNE_IDEAM,20251226,15015100,5
15015120,UNIVERSIDAD TECNOLOGICA  - AUT [15015120],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,13/09/2007,,7,11.22305556,-74.18591667,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,,CNE_IDEAM,20251226,15015120,19
1501700160,RIO MANZANARES ALERTAS - AUT   [1501700160],Limnigráfica,"Automática con Telemetría, Convencional",En Mantenimiento,17/09/2018,,226,11.208274,-74.096506,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,Manzanares,CNE_IDEAM,20251226,1501700160,5
15017030,MINCA  - AUT [15017030],Limnigráfica,"Automática con Telemetría, Convencional",Activa,15/05/1965,,625,11.142548,-74.111813,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,Gaira,CNE_IDEAM,20251226,15017030,5
15017060,BOCATOMA SANTA MARTA [15017060],Limnimétrica,Convencional,Activa,15/10/1973,,245,11.205144,-74.098192,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río  Piedras - Río Manzanares,Manzanares,CNE_IDEAM,20251226,15017060,6
15035020,TERMOGUAJIRA  - AUT [15035020],Climatológica Ordinaria,"Automática con Telemetría, Convencional",Activa,15/10/1991,,5,11.2525,-73.41138889,La Guajira,Dibulla,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ancho y Otros Directos al caribe,,CNE_IDEAM,20251226,15035020,6
15065040,LA PAULINA - AUT [15065040],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,15/09/1966,,170,10.89813889,-72.82847222,La Guajira,Fonseca,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,,CNE_IDEAM,20251226,15065040,12
15065180,AEROPUERTO ALM. PADILLA - [15065180],Sinóptica Principal,"Automática con Telemetría, Convencional",Activa,21/06/2004,,15,11.5284444,-72.917722222,La Guajira,Riohacha,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,,CNE_IDEAM,20251226,15065180,12
15065190,MONGUI - AUT [15065190],Climatológica Principal,Automática con Telemetría,Activa,22/11/2011,,60,11.22677778,-72.82063889,La Guajira,Riohacha,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,,CNE_IDEAM,20251226,15065190,14
15065501,LA MINA CERREJON  - AUT [15065501],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,27/08/2014,,80,11.13758333,-72.61594444,La Guajira,Albania,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,,CNE_IDEAM,20251226,15065501,8
15067020,EL CERCADO - AUTOMAT [15067020],Limnigráfica,"Automática con Telemetría, Convencional",Activa,04/09/2004,,335,10.9075,-73.00833333,La Guajira,Fonseca,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,Rancheria,CNE_IDEAM,20251226,15067020,15
15067220,PUENTE CARRETERA - RANCHERIA [15067220],Limnimétrica,"Automática con Telemetría, Convencional",Activa,01/12/2011,,7,11.51097222,-72.85594444,La Guajira,Riohacha,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Río Ranchería,Rio Rancheria,CNE_IDEAM,20251226,15067220,9
15075150,PAICI - AUT [15075150],Agrometeorológica,Automática con Telemetría,Suspendida,14/10/2004,,45,11.59494444,-72.32575,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,,CNE_IDEAM,20251226,15075150,8
15075501,AEROPUERTO PUERTO BOLIVAR  - AUT [15075501],Climatológica Principal,"Automática con Telemetría, Convencional",Activa,21/08/2014,,10,12.22430556,-71.98288889,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,,CNE_IDEAM,20251226,15075501,12
1508500053,PUERTO ESTRELLA - AUT   [1508500053],Climatológica Principal,Automática con Telemetría,Activa,01/05/2017,,23,12.339194444,-71.345080556,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",,CNE_IDEAM,20251226,1508500053,7
15085050,TOROMANA - AUT [15085050],Climatológica Principal,Automática con Telemetría,Activa,18/04/2005,,144,12.08352778,-71.21094444,La Guajira,Uribia,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",,CNE_IDEAM,20251226,15085050,19
1509500118,GUACHACA - AUT   [1509500118],Climatológica Principal,Automática con Telemetría,Activa,15/09/2018,,246,11.21015,-73.84445,Magdalena,Santa Marta,Area Operativa 05 - Magdalena-Cesar-Guajira-San Andrés,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Caribe,Caribe - Guajira,Rio Guachaca - Mendiguaca y Buritaca,,CNE_IDEAM,20251226,1509500118,6
