tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,rice,t,truncnorm,wald,weibull_min,logalpha,logbetaprime,logchi2,logcrystalball,logerlang,logexpon,logexponnorm,logf,logfatiguelife,logfisk,loggenexpon,loggenlogistic,loggibrat,loggompertz,loggumbel_l,loggumbel_r,loghalflogistic,loghalfnorm,loghypsecant,loginvgamma,loginvgauss,loginvweibull,logjohnsonsu,logkstwobign,loglaplace,loglaplace_asymmetric,logloggamma,loglogistic,loglognorm,logmaxwell,logmielke,logmoyal,lognakagami,logncf,lognct,logpareto,logpearson3,lograyleigh,logrice,logt,logtruncnorm,logwald,logweibull_min,station,n,risk_rate
2.0,0.5,0.5,41.3546392680814,47.57901252619279,39.61798710390358,49.642857088690285,41.209378568024384,46.46912226750571,46.43462107076597,41.090496494666986,39.30000190609683,52.476752102846284,40.82684488455455,46.46921521718099,46.7912801614429,45.472091210340075,47.57350628508138,51.92555306845523,47.360161217259034,46.22532216858649,46.798603202553835,49.64285714285713,40.60846330718393,40.77429948959232,143.60689335482257,49.64287227392197,48.042929553413835,49.64285714285713,46.468058477319886,40.89990070119344,49.64285714285713,47.97415541656788,48.454485383414095,42.56764343357005,46.62323054381625,51.930840097343946,40.60853804718727,47.091839545386584,49.64285714285713,40.927307844209984,47.27938599825573,48.03300598679681,49.67598509854412,49.643344729993686,48.9418082457596,45.13873879429449,41.09669819064577,42.954332623585465,47.642769836099156,60.77760972696179,47.97415833036934,41.50459875700833,45.12626049078323,45.108219510278396,40.662529637572426,39.30000327196776,47.91499801813757,45.12015798685159,45.54061194843921,44.47536409553963,45.63658546917666,50.0042193804378,46.02650769173669,45.087866970078906,45.559618154071906,47.97415541656788,40.624301787970424,40.78720263408539,39.51520262975212,47.97389604075125,46.53010409393005,47.97415541656788,45.12413358584552,47.9860045807683,47.97415541656788,39.33065733557673,46.950140121516874,41.397779876354114,45.41478289182777,46.7532127457499,40.661864201136915,47.494750377721985,41.07548675107388,46.100854178279306,46.59222818929456,47.93853252380447,47.97416272953774,48.176952628778345,44.20708289478468,43.84381486688419,21207702,7,0.75
2.33,0.5708154506437768,0.4291845493562232,41.97726674128508,49.71558476117713,39.77556725917311,52.122391650256404,41.95051589285286,48.048694653231266,48.00910211792607,42.19177450241892,39.55009704320188,61.6888813091204,41.50138572511144,48.04880839333612,48.60142145776362,46.72812665018496,49.39640755156681,54.082778543475925,49.65772804922717,48.58758186253825,49.4746673478487,51.62722676547326,41.29987026169225,41.37360843099979,5935.929492351899,52.14246416091919,50.0395107869834,51.14335758494756,48.047396518397306,41.64092452028393,51.82749938793424,50.1832457543037,51.030552403397635,43.49682528900494,48.79816975157186,54.91438855084496,41.29997360718402,49.13365082828394,52.122391775240736,41.67280481919249,49.703569578016136,50.64717990900113,51.85435258035929,52.12299593840817,51.065607220345555,46.76459519778752,42.8242734241838,43.80816569400848,50.26861183075952,71.95716350394747,50.183246355127686,42.164273019426275,46.52187933371746,46.50075173515732,41.32383680973389,39.562841190044566,52.206897786975325,46.51420207675388,47.10429728140544,45.501270493569166,47.16470194548798,52.0015893479221,47.987110105499525,47.063733204638794,47.82788125027396,49.734105972600744,41.26122467827262,41.38044623031392,42.76120619857948,50.06435985620075,48.27577813525171,49.2990956395111,46.51920606105465,50.20904166253443,49.91527723351192,39.544213469156105,49.19822914727524,42.04998819704276,47.24402412894093,49.80442168754321,41.3223995989351,49.63730187354063,41.80802942725792,48.18701377712222,48.85697069865339,49.88839719213349,50.18325339831071,50.12926135957393,45.531495860457554,45.314531470984825,21207702,7,0.7292085003076647
5.0,0.8,0.2,46.805205151124525,58.81421479987326,40.854129550823465,61.337010597479406,46.455359507807906,55.946186408604106,55.88113837362832,52.328153522892904,44.862877335622855,212.66412662745637,45.854238142889606,55.9464026801912,56.46498152061284,53.95945592416703,58.51048668651414,61.0518617768889,59.63940017201629,59.276347168818624,60.79139553978503,59.58699235669884,52.696798949519305,47.41367993948896,241740691273.1252,61.43162149190903,58.520551485075,58.64550815267813,55.94371660544826,46.80577621484151,60.26270586553467,59.32217369144733,61.16975313454569,48.98456107338652,58.87268824655264,68.30529808125235,52.697170895847776,58.147001456745095,61.337010985640596,51.28436057821246,60.103958616453795,61.112868956147324,60.57531659176246,61.338048594401485,61.68096526161389,55.86616757609917,70.36837750926368,48.68440101530624,61.64528326323492,200.61049332755084,59.322163651248964,45.929599781015085,54.17434547195028,54.13502260059981,51.71654211015003,45.58094747807244,122.71199804507225,54.15733627768941,54.54478152131961,51.88520574523603,55.607516374481825,59.01584401185384,57.52163260829943,57.143717505320744,58.737413297360206,57.4669254398491,51.01816916202974,47.36421046940402,inf,58.66345684562924,56.451260693011015,56.492949979472066,54.16843447623529,59.37405310413769,58.1762923195247,35202479.59974208,59.14229989803052,47.32216381480439,56.726448475638435,68.83603329579599,51.68890939124357,58.83570855323949,50.368547248462605,58.14270011375513,59.0812494253719,58.52189508298788,59.32218270280645,59.23825499967651,53.712929632763164,54.86582187531324,21207702,7,0.6723199999999999
10.0,0.9,0.1,55.675304140176436,66.04365209140514,42.09212620465176,67.44975185212807,51.218279627626174,63.11530867610982,63.027152850056595,70.64552884409983,52.198467612374586,822.0453964743905,50.65461298151761,63.11561789989838,62.86939531367399,62.2023414690161,66.78399297151499,64.93193333142239,67.76932481190177,68.15292167959744,69.16551852433783,65.94309554992951,108.23310295290423,60.57788892839836,3.835473320107274e+17,67.59380942583084,64.97778000192429,65.45575074048551,63.11177526520143,53.290467004604096,66.4749191316325,66.28522119206434,68.30519967567722,55.90451169609753,67.64412071766148,78.5851177484571,108.23354069235842,65.69051597775444,67.44975241487403,85.31915084723023,68.27179781877386,68.5751202910402,66.79354312654016,67.4510779872523,71.31276497942963,65.52507813779786,143.67358889826173,54.99821180452996,70.87261055921935,592.6602482313392,66.2852020047356,49.90558594227365,62.2057411115754,62.145249219604445,124.7754362171459,55.42343246069021,931.9503776531119,62.17780057545222,61.464894902606645,60.26148403604533,64.57346498047671,63.32328305458968,66.6709393578473,67.1368991445932,68.38261722028383,64.49655990462901,115.05059001854241,61.67711402814055,inf,65.16789059345992,63.59230884514621,63.92839224505011,62.19603746223556,66.32281307604318,65.12234635368806,inf,67.32277480133358,58.1811659398882,66.5195535524433,90.0212438190598,124.31174073498335,66.22388532789881,83.36924104677075,67.26864063337683,67.65351444667249,65.57588060116244,66.2852312436323,65.78808381471617,64.0089107339637,67.1724137253404,21207702,7,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,64.51374557849223,70.07555760821617,42.88459694615837,70.50013680394117,54.17757533440342,67.3089763656857,67.20730334837766,87.58795217912191,56.996078227633575,1818.851841066443,53.68369400599378,67.30934024307307,66.48264639829613,67.88791204222683,71.62368389770228,66.68912530115323,72.35615959330345,73.17627285498092,73.52338022675568,69.57047566251694,217.65741216431832,73.50245256728715,1.208012133649231e+21,70.66886937618256,68.40578499404955,69.43948727516704,67.30482078412659,57.847854982837134,69.85962379575388,70.05987191327246,71.96630338663232,61.20220346081791,72.73467708950001,83.98120915021914,217.65628721272964,70.04916208833566,70.50013745380855,138.984676486558,72.74225815583517,72.42000968786002,69.99745468051285,70.5016069265868,76.94501250628673,71.72759870663359,219.98690868483777,60.273341294481206,76.07847856602176,1161.5263927949998,70.0598474303462,52.45994532570236,67.44499746808857,67.3696838707969,555.5907986090784,62.98340889004163,9881.83459594346,67.40937051091598,65.74964956399684,66.81459249053468,70.47420790014569,65.3761105749208,72.46099317343581,73.54801697426335,74.01298982468398,68.88725051762523,446.3050788302592,78.42712309414506,inf,68.67868184951759,67.74347191957625,68.72361450010594,67.43262696652964,70.07750746200426,69.2498467665504,inf,71.94990457439577,70.9222974324245,72.96069047436632,103.88999900494012,549.7430875398185,70.37261459379442,160.76390465999944,72.82273122971476,72.54504384067677,69.53612947031105,70.05988252839043,68.66177575630597,71.63875159001743,76.37332381745287,21207702,7,0.6447356335058557
20.0,0.95,0.05,73.34441616057715,72.88669413768783,43.46902701355563,72.49775908706367,56.333241623429984,70.28443094361552,70.17316732648487,103.57584049382726,60.54811507145431,3178.6825616911897,55.904472776867415,70.284833402294,69.0125353847112,72.34781081350164,75.0574992564748,67.78289625214865,75.56774371417151,76.69577888370586,76.42882134715875,72.12942836046179,389.0604779684752,85.52936216887639,3.3998354131301906e+23,72.68265062570572,70.71500951992293,72.2659933282929,70.2798339249546,61.4383443797364,72.19903093169245,72.64752378710098,74.39605530984261,65.68296619628795,76.33988307609427,87.58739229659531,389.0551192180476,73.153394226309,72.49775979398473,211.3890447228958,75.81534016347867,74.9755924934544,72.12699871458028,72.49932359200223,80.94026384639801,76.3497073019048,293.5610865661078,65.17416506671262,79.73047578366864,1896.1472502154666,72.64749554582325,54.37490562187168,71.42779840771438,71.34072943979811,4606.881156892542,69.23748526987971,132600.4806743819,71.38606048271173,68.92627619536276,72.44997425640472,74.98504970964589,66.68736943496143,76.81180741101562,78.40119251521726,78.02210771956368,72.16331594100582,2978.610928714808,97.13573121690443,inf,71.07967634672498,70.69153240502902,72.34246638778872,71.41330764692718,72.64657916709217,72.2545673936798,inf,75.19502178459378,86.01096709680463,77.89622116553454,114.37949733311603,4508.141858179763,73.27662768025183,350.9959179931973,76.89231344641077,75.99041308812099,72.29982639305732,72.64753478846342,70.28702744221476,77.9101167571166,83.98419510284894,21207702,7,0.6415140775914581
25.0,0.96,0.04,82.1719922218301,75.04823395097971,43.93286119353531,73.96827907930377,58.03189296671849,72.5923728172082,72.47367015291891,118.86440728367492,63.37035191482856,4885.939746751339,57.66102349260137,72.59280493887596,70.96120686165288,76.06582672555228,77.7209733728218,68.56122882386948,78.04150614640946,79.40739007197558,78.59056659613522,74.109852691444,628.8391910486238,96.62296297464961,2.618956262696003e+25,74.1650658249855,72.44470451818441,74.4584017503065,72.5874333933298,64.43711543525916,73.98866122126113,74.61326276867582,76.19989261490883,69.64560625027244,79.13429677980875,90.27316324185506,628.8260293173702,75.57710020331729,73.96827982822403,301.9346602366407,78.1519895869336,76.87434296608612,73.70921030751619,73.96991311181,84.03871201560833,80.05190548308221,363.52667585072794,69.92496313502424,82.55013887663617,2789.8442980949794,74.61323160539243,55.91985890242608,74.67836405379697,74.5814068377631,71587.78933454565,74.6464077916166,2144469.659913059,74.63147726485033,71.47735836479629,77.50956495027337,78.68182893845355,67.63645333625126,80.34037959479673,82.35766551724993,81.14528366274621,74.80529667094766,34203.59684784995,117.65757225489804,inf,72.90060774683003,72.98347581918891,75.28018855169783,74.66208683087898,74.59556368695246,74.64087832740665,inf,77.69848477037982,103.92740290415188,81.95032050645072,122.8901692739248,68961.41383948448,75.51578492482089,853.3803911082318,80.13198025648839,78.65578439370066,74.4240857308746,74.6132740634206,71.33417711781179,83.32706867864961,90.59420730493007,21207702,7,0.639603283141982
50.0,0.98,0.02,126.2959802759091,81.70566609785618,45.420888134449825,78.17927474474061,63.4280256923132,79.76149508471391,79.6196846293472,188.80705981269648,72.42535645334706,18306.082272944645,63.27012238552906,79.76202072395998,76.96411597153724,89.17193299480203,85.99447965772737,70.67404880366708,85.66199706644693,87.76227571342841,84.87398055808404,80.24996563125131,3021.602551814904,141.33163655011595,1.6985033588275078e+31,78.41012477874756,77.52393267998735,81.26864433811389,79.75549205308297,75.03680682162128,79.45654172597307,80.54159152063966,81.43137136375233,85.33846891899314,87.80930028888272,98.08553419537571,3021.470960065189,83.24492993425379,78.17927561393029,1013.7649096744034,85.19698492108768,82.38607992067156,78.30209085314561,78.1811081352088,93.66053429522435,92.13962741631335,666.5205596025298,94.05078834825125,91.29204024526537,9512.436877559063,80.54155121114061,61.06155812981108,85.74949896481392,85.61703482192951,927724300180440.0,95.02138299083104,17659252745369.832,85.68407213048839,79.94481909826565,98.33287545299416,91.36819366829245,70.2814397319709,92.26188159978481,95.84804096716945,90.95125762106811,83.62725291523394,23460131848182.97,246.1769473508536,inf,78.37723294537074,80.15228055194764,85.18835401166005,85.72678893977096,80.45973177513181,82.43119466692556,inf,85.44041475533807,258.63860941793837,95.92990952043387,151.46159232859864,763608434828793.0,82.4449983401717,267231.2004170004,90.71673475502824,86.93433417817195,80.95061445556276,80.5416037000957,73.61718523489027,103.77653151105757,115.8581390003292,21207702,7,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,170.41380204054332,85.58791998410048,46.3179625126003,80.43876091990126,66.65223113486687,83.95516277428982,83.79983512766827,252.31891650805767,77.87869719557426,39345.939376280156,66.63750128542003,83.95574292579046,80.45322435382113,98.02383576089858,90.83417058385896,71.74246165863143,90.09131692347727,92.61895204099119,88.29441525209593,83.83820590337847,7736.151417745577,174.62438620440543,4.0568266795966806e+34,80.68788814544678,80.31849287932597,85.25238087279544,83.94853757200815,82.22551398795098,82.61458483960732,83.91440320897537,84.27563317199125,97.5280021545766,92.88227914225445,102.33872300680747,7735.713424269315,87.85908915976236,80.43876185362365,2136.1677275000866,89.19596243728066,85.38468156222497,80.80079847599879,80.44070145378296,99.2869515808743,99.57785754937228,914.9570743405623,121.42901315723685,96.4260550862518,19795.297207123618,83.91435748257514,64.31983543233977,92.97171992852527,92.81469850617027,1.3071806229133503e+32,109.88646986887645,1.5564322787841283e+21,92.89343320597173,85.3200483115918,115.47745462058273,99.7174470652406,71.65808619328237,99.9880255918701,104.68360736948564,96.77857450474966,89.25684035010306,1.2626436883864928e+28,417.345424950998,inf,81.48350559004724,84.39253065466953,91.5782705523802,92.94454784396832,83.7870310059145,87.29575375418356,inf,89.96853985924542,621.5709129241181,105.18529849097375,169.72156475089238,7.931186482666366e+31,86.50774179120069,477679469.7917246,97.3150608511183,91.7985123959811,84.73858312413122,83.91441589177725,74.44162962585155,118.7819450514374,134.7097205412812,21207702,7,0.6345868051211123
100.0,0.99,0.01,214.53008334299358,88.34703713368992,46.96406763110532,81.96698113483339,68.96437273758254,86.93061735221964,86.76569910577547,311.9608733171301,81.80256824905396,67559.45934583189,69.05790799313004,86.93123594366719,82.92267823767565,104.88104612941359,94.26798594259193,72.44130037840296,93.22621947772575,96.05640245144818,90.6245346974474,86.38352136768371,15121.060405414122,201.29082918276072,9.979071522181613e+36,82.22847032546997,82.23320518186469,88.07888692592127,86.92355071283615,87.8162058304563,84.84423935982029,86.27534385908261,86.21296505111928,107.89255829363097,96.48135317706796,105.2354271429613,15120.066582837631,91.20278340206211,81.96698211220291,3650.489369992266,91.98837035393616,87.42756000972835,82.50311060663283,81.96899421155618,103.2780690640866,105.0010351028358,1128.5329914880024,153.98557737385605,100.08940867619367,33480.392176381036,86.2752942531554,66.74941646129597,98.46193962443613,98.28557763257318,2.5379509972845006e+56,122.00099062070882,7.642039044869319e+29,98.37350787927541,89.34144126654547,130.7878027795968,106.10006054521025,72.57309204219321,105.84419687963769,111.42518479582621,100.96072830838045,93.4784726222116,5.3482977951261923e+48,631.607988834128,inf,83.65395342947947,87.426559964829,96.40060418063673,98.4312474224143,86.11228486864755,90.90215852449428,inf,93.18945072801924,1461.5322700352392,112.28820703862561,183.39654731085218,9.64251744675964e+55,89.4046400545815,3518989620060.791,102.19680761065597,95.26732476453307,87.42025608823462,86.27535689424899,74.86708854983961,131.07286656599777,150.34418668559113,21207702,7,0.6339676587267709
