tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pearson3,rayleigh,rice,t,truncnorm,wald,weibull_min,logalpha,logbetaprime,logchi2,logcrystalball,logerlang,logexpon,logexponnorm,logf,logfatiguelife,logfisk,loggenexpon,loggenlogistic,loggibrat,loggompertz,loggumbel_l,loggumbel_r,loghalflogistic,loghalfnorm,loghypsecant,loginvgamma,loginvgauss,loginvweibull,logjohnsonsu,logkstwobign,loglaplace,loglaplace_asymmetric,logloggamma,loglogistic,loglognorm,logmaxwell,logmielke,logmoyal,lognakagami,logncf,lognct,logpearson3,lograyleigh,logrice,logt,logtruncnorm,logwald,logweibull_min,station,n,risk_rate
2.0,0.5,0.5,38.2072344001385,38.4878360340428,38.22731076876306,38.799999656072686,38.42783721673223,32.29472022787084,38.800023405700486,38.789589993019035,17.60001628348939,39.63547658920288,38.64445201895026,35.527926555557315,40.381429680638924,35.00523549790016,39.119651250706745,40.87690648576735,36.723093514232644,35.69056119585156,36.21215625693778,38.8,38.0448038803834,37.29440567609822,3680.84535069199,40.424829870364064,35.96736847643534,38.8,40.75237863899941,35.94748225343855,38.8,36.26810672307861,37.71876224642435,36.07486234894145,36.052598562158295,37.082505468585346,36.86880213251792,38.80955738905391,38.8,39.67364363860377,37.335280030227544,38.35498659364853,38.7999795196489,38.80000018884263,34.701908719738356,40.085305820773875,35.73157970284544,36.123692770889996,28.61770219136476,36.268133457177846,35.967478660537324,29.051552835321885,36.26809336931833,36.291333992354424,36.38204706436101,38.45367827555968,30.964080152674274,inf,32.238334094347074,30.7570164695911,38.683088852161134,34.00389173428514,32.93119960824274,33.469069231377794,36.26810672307861,35.69290887016752,35.084886364679406,34.42506665234524,40.89380069494815,32.9109980342767,36.26810672307861,39.04028972967646,41.39091361854659,36.26810672307861,17.613610280382808,35.07115176737252,41.80945144742522,33.30354730597461,35.49961281999558,35.70868563044556,36.25791898283863,38.54420134930911,34.656186297321476,35.902602814327686,36.268166903126385,40.14820610176027,31.936124841921398,38.97894947268029,24037490,5,0.75
2.33,0.5708154506437768,0.4291845493562232,40.58315278936544,40.76781187000006,40.5458478257423,41.05599944516444,40.749108672493634,35.532407272645315,41.056026619796754,41.04801529686847,18.39577428396873,41.712337613105774,40.97017953353412,38.336034937703474,42.32069339843006,36.14803836321436,41.43215452986731,42.839653924044356,38.81353026548249,37.83986011954569,38.64697073709602,40.605474874316116,40.417850774307965,39.699469465976364,348901.8136499206,42.566605305008046,38.700525504151926,40.16522743354783,42.24465666525888,38.64488361154062,40.78769253364008,38.898717731097605,40.0625918566574,39.21825516505662,38.031462806003546,38.26062224608393,39.46739540595902,41.065480974244,41.05599980353623,41.88287699735599,39.7137811319577,40.686944483986935,41.05598753429676,41.05599999512656,36.181196511233885,42.23365961023884,38.49911442885575,38.766892305037494,34.03506429465826,38.89874847063161,38.65896897621108,32.443345982559,38.89870212802861,38.92807306033622,39.017569038418145,40.92642382914678,34.33640517888569,inf,33.402353791097546,33.6812522532192,41.11294296420819,36.28334097620661,35.20309197588759,36.09632363652913,38.358560830074566,38.367716827414036,37.8948317682324,37.741229958349834,43.20856269351167,36.073322166212876,37.83797292875144,40.82214207649171,43.88237165779142,38.57612142778036,17.769058332637574,37.717626560444934,44.467157138868764,35.41319951030506,36.1417565558266,38.53453334717033,38.89466341915953,41.13329586872542,37.31147873911124,38.59042439900582,38.89879486914589,41.29506350051816,33.436671530297005,41.20434515719958,24037490,5,0.7292085003076647
5.0,0.8,0.2,49.869186548794204,49.34688047216639,49.38587584523847,49.43990290983959,49.538696253462035,51.72008374360293,49.43994281347926,49.44970856707823,35.29987399276239,49.73138588666916,49.7594526158845,50.17432513840324,49.10100288649524,42.72745766316479,49.492086567801366,49.18046086421335,47.895335396926825,47.56501939277362,48.943485384619684,47.84765224722778,49.64180634776642,49.27060120922492,137896201729864.84,49.694210104496285,50.31037918633713,46.991044659834905,47.58291925922262,50.81742886673821,48.4624488801407,50.46014940067851,49.28772408862601,49.86259635644686,47.197744030133904,45.371246843524,50.17179535749572,49.44478589561993,49.43990332189095,49.61359528315403,49.235968128610374,49.491719809480855,49.43992158558754,49.43990352369246,44.46227525454929,49.565862371211985,51.22765959748391,50.451084113772254,94.08485630579155,50.460199238062415,50.77411177504239,56.35024844358375,50.46012298687696,50.51905623614837,50.60952029175043,52.06058103787752,54.93875875622104,inf,40.969885484417084,48.40267048126918,50.05544222107392,48.09811794608901,47.607915628868135,49.6880200213334,48.02698505723416,50.45566581638809,51.146313629549134,56.27804482588835,50.392660458078836,53.26468523132107,46.766884055527214,46.729859753006195,50.93068801613159,48.95224940131697,6.58809174335963e+48,50.22236825022755,52.03259078953314,47.067886646458525,42.5164488095385,51.39725427271798,50.49386192791534,50.68981266064435,50.14175479384977,50.60365018438964,50.460310219501466,46.55073282458799,43.2366566636039,49.29938986835836,24037490,5,0.6723199999999999
10.0,0.9,0.1,56.45831393014569,55.1307281736585,55.44649306527569,55.00156887530595,55.5123019233088,66.41480397147376,55.00161722370843,55.03081433414263,58.640110673732146,55.63711428642273,55.71798367289233,59.073096740699526,53.641492400912135,50.227240647213264,54.27588507317032,52.71073648545735,55.29233165211302,55.641359217287956,56.5626734138993,53.63074047995789,56.13311891235679,56.19844092755504,1.385405327337642e+21,53.777634374354896,59.14979889221392,53.187330744920985,52.342117579753186,61.20360909116195,54.11461914015814,59.96786866461081,55.779896363494075,54.71065054760781,55.17841494842236,51.845786518982464,58.1855382396078,54.99969910920902,55.00156932296696,54.33529462380609,56.025483114845024,55.414785089319736,55.00160787719507,55.00156953154231,53.250448947115714,53.921248969515894,62.3911608745013,60.1377811217054,268.1810757970569,59.96793574568172,61.0749318915763,93.01489886035726,59.96783240814503,60.059672321518654,60.15334127706217,62.15458697122351,80.99038433628475,inf,51.708093577436074,61.88267586929067,55.851992556090494,60.51151529749133,61.17174851577736,62.943690894440394,57.46985889,60.79593035735114,63.16916241207749,77.9239371377674,53.997281603002065,71.66449796081908,56.684335690604385,52.28454620928768,53.64784045677647,58.3395013612543,inf,61.43421279072328,55.03576121773698,60.29793723308131,51.18661365164208,62.49344199524339,60.04475139259351,56.69681469113777,61.904291174150025,60.673206001786156,59.96810778708756,50.2742234155538,56.79587790512118,54.47684334202303,24037490,5,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,59.88524936283764,58.0447992675127,58.53000934607738,57.776955802597826,58.536164046665874,75.01066426336686,57.77700836531035,57.81818337874847,73.90505364882395,58.854831755161285,58.729829699478216,63.78437472689078,56.03115753104768,55.400252598861485,56.4935776739052,54.309514210403826,59.46565443234287,60.21184877956291,60.527669841294305,56.93110528005819,59.49008480090956,59.83674367765113,1.2361180119523229e+25,55.64482651109038,63.8424584132713,56.811925748436636,55.12607013075867,67.242439304895,57.19418615146684,65.36273900798554,59.11094451453384,56.39179572544408,59.81004784629313,55.375954601924434,62.45767224504348,57.770627149374945,57.7769562680288,56.57345675972566,59.52374831774141,58.38753933620016,57.7770049644559,57.77695647998442,58.89382122419144,55.961275532977375,69.00629579013504,65.66367712165528,510.8885837926061,65.36281639537519,67.0501567303914,124.70202782904005,65.36269684355482,65.47641070469814,65.57304818212029,68.45526739920338,100.65880083051323,inf,60.713944875854196,69.80916138141191,58.69347960460803,68.88006322495067,70.4956959644216,71.1864215265743,63.66904715431058,66.8201961102755,70.45229460940853,93.62873177276397,55.49230560450527,83.89104114963598,63.43396168645071,55.83508094955527,54.51574792039982,64.19107147209708,inf,68.12587955715937,56.101675444213704,69.62029953800504,56.95007190645596,68.98866153840822,65.46856563137058,59.51848353767137,69.00437559164088,66.44859272400501,65.36302580570711,51.904453757682056,67.66896898869308,56.997177899401336,24037490,5,0.6447356335058557
20.0,0.95,0.05,62.18214880584853,59.963219442195,60.57078586928864,59.594488624791225,60.53196273294154,81.10952419934458,59.594543947421826,59.64438655330832,85.20685452734728,61.07882213592529,60.716125588467236,66.96055273914531,57.66143460848062,59.45808801746524,57.88751958126796,55.304679600849376,62.38770805123242,63.4140667824528,63.17118274947426,59.259363457389,61.732452966064585,62.28659280171604,7.212517991376629e+27,56.81042673551928,67.00359863403881,59.38361683000705,57.10131590028374,71.55005154524912,59.322691222595914,69.15605343358109,61.32164961613381,57.28521861495882,63.09023756062095,57.75852510428224,65.3541329083254,59.584850388179575,59.594489101859295,57.997320495070134,61.848940405015945,60.33938143951444,59.59454444756892,59.5944893160286,63.09925338982522,57.25294835073414,73.7795895447818,69.56137510746774,815.4082000879619,69.15613827179293,71.3065189019985,153.53563913146533,69.15600698873514,69.2864214242242,69.38567594147831,73.1796261119075,117.09300628160322,inf,68.8630554932521,75.44919288774697,60.53471139049104,75.41924873574544,77.86271770341749,77.27332242915328,68.44043770344115,71.1230357606029,75.7759150259772,106.47308207518464,56.3731072055108,93.28245929738125,68.70489615836146,58.49950731203035,54.94321087456312,68.57509584040648,inf,72.96455862913393,56.70093784565663,77.08185388176334,61.2634896358115,73.63953311024733,69.28405269377042,61.28886543232429,74.16853965907755,70.53327839892481,69.15637502873895,52.8273723198804,77.10434426419641,58.624510282260054,24037490,5,0.6415140775914581
25.0,0.96,0.04,63.90043508291106,61.38053683083132,62.08396037599934,60.93243843350592,62.009021552055174,85.84016748720583,60.93249578784689,60.98913558618915,94.18659213658282,62.78015959262848,62.18535912214628,69.34296717694872,58.8999383754788,62.84092189522589,58.88519661634168,56.0128439902292,64.6384560295977,65.88122271088312,65.13804465892271,61.06124871572043,63.405844225742754,64.12454874588148,9.742119072913597e+29,57.64075572526374,69.37141015145578,61.378375404755886,58.63343554880328,74.91424130909647,60.95098289029011,72.0884158259195,62.96286750948046,57.86276662106611,65.63272947996896,59.540110712739065,67.53632867406907,60.92016786491729,60.932438919140466,59.02453305647769,63.57651486083374,61.77850466918727,60.93249916376269,60.932439134939315,66.46770373965107,58.18246793241567,77.5386094082638,72.5811858156962,1177.5749303162993,72.08850653254156,74.62741571629604,180.41764202577326,72.08836600491982,72.23241482832397,72.33399955801828,77.01267763394439,131.48267427945882,inf,76.48660801658694,79.83244465204982,61.88001102580192,80.87639949822609,84.05966105031861,82.13746571479696,72.37720545861946,74.48678607735462,80.0068685639212,117.55580981116975,56.97522064674767,100.99942887277813,73.09313869753758,60.65344816225598,55.197679882433704,72.12992001985197,inf,76.77772331933306,57.10722040044812,83.4112068136066,64.72119550338222,77.28146492713809,72.2345506255259,62.54947137634253,78.2540937735057,73.7035052465514,72.0887650019279,53.42272831059492,85.60233458813889,59.8107457001014,24037490,5,0.639603283141982
50.0,0.98,0.02,68.95447091552734,65.46316366629941,66.46836778503246,64.76380480376994,66.27581892994095,100.53488771507665,64.76386797630585,64.84192785036157,122.9976272547822,67.97827768325806,66.42583442830647,76.36549735418944,62.65242754558618,74.76550246236394,61.61507508732061,57.93518917431267,71.57194499721398,73.48290459316678,70.85500302342248,66.64781863290662,68.30694928717602,69.55272205949572,3.563856728009295e+36,59.89484336606154,76.32445965046783,67.57466148984196,63.392633869333835,85.54463029227871,65.92592342279298,81.19167305838833,67.72271836030295,59.266769176805624,73.5256646931115,64.73812230402277,74.02029718000122,64.74308212618882,64.76380531393558,61.86908041402645,68.59135809967762,65.90921819181006,64.76387960875645,64.76380553440084,77.46573495840144,60.74981628161719,89.59260556824407,81.99224515261623,3769.852369729954,81.19178254413521,85.10312212430583,297.80753748499666,81.19161240913877,81.38185913329316,81.49241842027588,90.01289538599217,187.32706287023353,inf,110.74484071683817,93.49124403228403,65.68454396223044,100.29603722940658,106.4292043824897,98.0847050209939,86.08105714901879,85.13486945839182,93.79069474876022,159.48502304407958,58.500869441369744,127.55084343710699,88.593373158917,67.8632041686814,55.702211351930174,84.17373475436301,inf,89.00143580478803,58.17242527948177,106.56620557738884,76.0234095507676,88.84129488009644,81.39940633861151,65.94374494064469,91.43365756213619,83.61020389444897,81.19211138878529,54.72360346557489,120.43126117909881,63.15325646197547,24037490,5,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,71.75103445109386,67.66846038998978,68.85234909892964,66.81959398841376,68.5879693451225,109.13074800696978,66.81966028291153,66.9104090535102,140.34895943440364,70.9805161356926,68.72145721161647,80.25178433715826,64.80568426449224,82.81939929016929,63.00633114367902,58.90728254998699,75.60195312726925,77.90174526097637,73.96708235681906,69.91257212464461,71.00515704905058,72.56798475999399,2.3267039632631626e+40,61.03257961124969,80.1499848631555,71.19925649335764,66.17658642033935,91.92053077632502,68.79926285950368,86.541236158739,70.31056448142132,59.93087591241969,78.14130471970317,67.56985497915524,77.6432724151559,66.79378102937119,66.81959451174198,63.33691719121464,71.3196300204956,68.13087024342833,66.81967636005172,66.81959473471109,84.23341936308105,62.07301826347459,96.94795250843632,87.54745200402316,7539.16439020356,86.54135704749022,91.37390853790392,399.2608096355174,86.54116891889824,86.76118689917739,86.87826411754926,98.49864798694418,229.674218520887,inf,142.19570859683458,101.50870723081306,67.6965914248061,113.65994237517991,122.07542541960858,108.03130235419822,95.26114091159877,91.53531659291282,102.35430756145557,190.42321757755317,59.209430481920506,145.0285201494292,99.14253329721348,72.4716531551618,55.86910829313972,92.02558885977557,inf,96.44520297452443,58.715376669558985,122.98081138768352,83.00428636068385,95.8097262663511,86.7887440572329,67.62553789282003,99.51364215811114,89.47443380455115,86.54172920336912,55.19461255408959,148.58252052168285,64.91397088496218,24037490,5,0.6345868051211123
100.0,0.99,0.01,73.67736273557023,69.16585849974763,70.4772712432609,68.21004223463422,70.16083208283109,115.2296079429475,68.21011064073826,68.30991522154727,152.83385507859572,73.10016882419586,70.28218456099157,82.92570623659802,66.32210252253898,89.05842679576975,63.91986283742014,59.5431196114732,78.45423817064898,81.02930506583752,76.08713937264777,72.22842249124761,72.85790876357737,74.64876706563511,1.166070766512996e+43,61.77515271586473,82.77106999495501,73.77094757492803,68.15183218986441,96.52652101381965,70.82790972487078,90.35788208540137,72.07324215553626,60.36377187124842,81.41591528952864,69.49708587727409,80.1507812898985,68.18056800683974,68.210042766865,64.30688359410048,73.17833903630216,69.63535557340893,68.21012973036599,68.21004299152762,89.16770527462624,62.947716702751514,102.31883831061668,91.52163230062528,12383.516830535647,90.35801126394905,95.8985189802345,491.5779210228687,90.35781004801481,90.60020729500545,90.72250123448218,104.96725491003822,265.11263168862075,inf,172.5781608648119,107.20845923382119,69.04587716795398,124.18113668063708,134.52059667919,115.37886746330224,102.36063039899433,96.16552271512649,108.6762939342469,215.8825491823419,59.64939472373869,158.36699392421022,107.38060928199714,75.92996968152654,55.952320522828714,98.0063772212656,inf,101.86879143819246,59.08077299516953,136.13770095763655,88.11762317872203,100.85897191427148,90.63531459911901,68.70556707585621,105.42354748035504,93.67614013448362,90.35841514575857,55.43798367699081,173.1737132003706,66.0921089824987,24037490,5,0.6339676587267709
