tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,dgamma,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,geninvgauss,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,recipinvgauss,rice,t,truncnorm,wald,weibull_min,zzgumbel,zzloggumbel,station,n,risk_rate
2.0,0.5,0.5,101.81863853694495,101.54074320326838,101.82291604885751,105.80070015001027,103.49236811564955,101.82291368601861,84.85082120975785,102.31450016218756,101.82122257408655,101.82440445993637,101.61609163599462,101.82291536677407,84.95425219549949,96.71363256419306,101.47453449544375,94.32597283265298,105.82338515816114,112.080915485057,99.52048554058402,96.39827845060995,97.97549530710333,105.80070051282051,101.8054538798863,101.63683243157558,99.81884403526783,105.79834577441216,99.27925092197795,105.80070051282051,97.12373610854925,105.77333581369021,105.80070051282051,101.80439576425172,102.53121988136861,102.15339786867905,97.49302187494354,101.91349407042466,80.76172775919869,101.87366305438971,105.80070051282051,84.85082054138184,101.2994220654824,101.37163432840822,101.82186727700685,102.08639092018043,105.90779154082512,105.80070221084472,93.40886281173026,101.78896915752323,116.84982431431938,93.7827684309985,25020230.0,39,0.75
2.33,0.5708154506437768,0.4291845493562232,108.44564347179318,108.41876950281195,108.62442081438465,112.62246311830113,112.66986863051991,108.62441853897313,95.27760609604638,108.62330061809885,108.62183909641236,108.56789385647431,107.71059915784593,108.62442109715373,95.33731519753772,104.72050170310297,107.8706174315316,97.78161091512865,114.93308169011452,118.01593274898157,105.84161375395284,102.8973942791877,105.33796073348445,111.26015206510723,108.47644792372543,108.41811669898985,106.7576764151454,112.68226045370102,106.64197705146297,109.92891804568998,103.00331285875619,112.61108963574407,111.81114753848766,108.50928357141518,109.61856536920284,108.28790682934869,103.47677364103656,109.07514840465134,95.42749448669448,108.33450384114859,112.6224634764506,95.27760553359985,108.09659355098327,108.56382055967605,108.56708087525504,109.40607889744633,112.81105639965205,112.62246504781864,97.88195952206118,109.05700965955249,123.25358516183796,99.87615877604811,25020230.0,39,0.7292085003076647
5.0,0.8,0.2,135.47234665903824,136.50996109830578,136.18735180331976,137.97397354910294,133.8084290396163,136.1873510638576,147.40908700737285,134.3232736403384,136.1831801097174,135.97040770718135,133.5552578541936,136.18735699339922,147.2501968226414,140.08807962461222,134.66782159746543,117.67663619338006,148.4952904398147,137.18946364919327,133.30346095424125,132.30462836435674,136.47287212915398,133.15927515063598,135.65894324366934,136.16681747809457,136.90312629193068,138.26474326848984,137.91722841773264,130.56903826103985,132.3998187292438,137.9233828332617,135.0183164918612,135.79834942063187,137.51380955140075,133.750291580385,131.1940622999166,137.49083491163623,166.1020764929455,134.8385982675145,137.97397388993178,147.40908765792847,135.95585140604226,137.35730825621962,135.97517860554336,138.0384791294872,138.7262043767618,137.97397499061057,122.92243257785957,137.77536813706865,151.07442599367118,131.29068004102416,25020230.0,39,0.6723199999999999
10.0,0.9,0.1,155.81299218366036,157.42461563605528,156.5207190335764,154.79151365201957,149.29969638707988,156.52072042596777,194.73258821713068,154.3661098028524,156.51844394793733,156.31606799947753,155.18207565438894,156.52072868673974,194.37525971000224,168.7090309406619,155.85159389407647,140.35468196714135,169.45836807225828,147.86442179708826,155.6707302317668,156.72611176614328,159.512002584392,150.64635873087607,156.02253014327766,156.9474905163561,161.45616921037436,155.23550432920456,161.72933499556683,149.30556246686643,159.08514507727054,154.6296460931917,152.1095262000713,156.16210046051742,157.1450436981327,154.8386908339772,155.32626533023728,157.61567419254465,231.37766005043702,155.1514505558375,154.79151398135835,194.732590675354,156.7740320587906,157.88765661950714,156.3223967859751,157.88860307617097,156.4378812901804,154.79151476979243,149.49626835209625,157.9534792712451,173.73409028625588,164.04839790038903,25020230.0,39,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,166.80216018421686,168.56480679476718,167.29617414773165,163.18381575010645,157.81954906755848,167.29617695265702,222.4150618276713,165.65276390991886,167.29624382940824,167.1553950868621,167.99296673320626,167.29618640471577,221.9416543432346,184.6054902430286,167.68211495608375,155.99697482777623,179.37704193605165,152.69885602621403,168.29015454768236,170.54649790744196,171.5014783125482,160.62610532682078,166.96718559220506,168.07336101835165,175.30879602581263,163.70426681637764,174.3706748535007,160.26572652112927,174.6950603103724,162.9411381229911,161.4216175171153,167.06477964469633,167.21757157300786,167.4038631135823,169.33154215441948,167.9631966908175,271.2500604071039,166.31093117491005,163.18381607371143,222.41506624221802,167.88198326502294,168.46582066042043,167.16139597860553,167.96467365140438,165.5269678132536,163.18381670632775,166.56079772419332,168.270504424362,186.51848139883788,186.01621767126878,25020230.0,39,0.6447356335058557
20.0,0.95,0.05,174.33231574071044,176.11884876957657,174.58314743537272,168.6797285423163,163.71278408385703,174.58315129442462,242.05608942688846,173.5901133301275,174.58538520279905,174.5099672893038,177.30146143388617,174.58316153666826,241.500322597363,195.61225035549396,175.9344289303604,168.26716685349405,185.66685082247656,155.70806834643972,177.125951928443,180.229462654555,179.4950123371209,167.6663654274592,174.4384139935749,175.64242755323008,185.00805339217186,169.25025162100792,182.88632524108772,168.04208667269302,185.77047142529725,168.37504362560503,167.85785791011847,174.48760897160923,173.90237099628962,176.59927020966055,179.2502826932293,174.83583541065173,300.526865751635,174.04305097493042,168.67972886216637,242.05609512329102,175.42026917338842,175.49680942178117,174.51524960466443,174.61193954700713,171.59207650054117,168.67972939274074,179.27725823563875,175.10100868184168,195.4697843013567,203.12599104712396,25020230.0,39,0.6415140775914581
25.0,0.96,0.04,180.05449398720555,181.81182722438186,180.0648797042519,172.72546316634134,168.21580102712062,180.0648844054828,257.2908540147456,179.72788731307637,180.06907393674794,180.05595234202718,184.68411155352976,180.06489523447794,256.6712043141382,204.02028413213162,182.27823001009642,178.49627104064933,190.19261078505784,157.84943803807738,183.93183425840172,187.68972421671674,185.44246867302994,173.11496258634588,180.0987161460563,181.36040663822018,192.47902826219797,173.33284598588943,189.2648638878578,174.07390021508576,194.36122769796503,172.37054684813484,172.78153732500692,180.09977189156544,178.8651371377271,183.93872521215485,186.93834950225573,179.94016076517067,323.8690617967376,179.96774612453174,172.72546348342723,257.2908606529236,181.104225552497,180.72070324532598,180.06041961555474,179.52686443554046,176.12093646320392,172.7254639388844,189.46283825958133,180.1628242962041,202.36463618954213,217.37061476104648,25020230.0,39,0.639603283141982
50.0,0.98,0.02,197.34260644291663,198.74191376631273,196.31921348416114,184.31086904669584,181.91079402810988,196.31922091237678,304.61435522450347,198.7552603769364,196.33093820106103,196.5702673857864,208.72719105314906,196.31923344534417,303.796267201499,229.55093242853806,201.77400825408418,214.55413891624505,202.66873903086005,163.6622856985859,204.89753566222407,210.67592241387044,202.7295797222276,190.00780792039853,197.10039341032717,198.43621568463877,215.493574783206,185.02380380034447,207.9953644433814,192.81042442091234,221.04655404599177,183.79065236847782,187.82491854236932,196.8929317300135,193.2581234295021,208.16019501908974,210.80525455559336,194.75092843795952,400.3495020519398,198.13889814292938,184.31086935586643,304.61436653137207,198.01973379622726,195.88474351763995,196.570886270095,193.6891770360728,189.43165597274094,184.3108695962129,222.7188804898586,194.79702692801467,223.60441068211009,267.8410690382062,25020230.0,39,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,207.21342562590206,208.21423927871476,205.3843257931307,190.52722890551567,189.76227405850074,205.38433488009585,332.29682883504427,209.87809423553358,205.40142656120747,205.82632827702218,223.69823766668844,205.3843483418585,331.3626618347315,244.1496713961861,213.0849394174052,238.9077290543327,209.07419213323556,166.60173213691036,217.08360064398806,224.0377479894232,212.1399790290358,199.87987192519603,206.73418810704067,208.03746668672713,228.8705134987831,191.29679942131042,218.30077103247544,203.77058847517523,236.65646927909378,189.90523984429456,196.51341245117482,206.3632750933003,201.08333369634136,223.50338071475318,224.76217163399775,202.80626664555973,448.19059559899404,208.7044826612639,190.5272292104391,332.2968430519104,207.4905366087474,204.134577721958,205.82384859866715,201.33470149171154,196.8100567748346,190.52722933535966,243.18312485202242,202.723849282235,235.94977739220053,302.399948822331,25020230.0,39,0.6345868051211123
100.0,0.99,0.01,214.14397242129814,214.77642940655878,211.65288437500482,194.73170995256862,195.27676399025444,211.65289466237815,351.93785643426133,217.76933628340396,211.67421564577654,212.24638702794005,234.777581300081,211.65290875807742,350.9213300888599,254.38427408514386,221.08470161997525,257.77346845728607,213.29578050358785,168.52439618597236,225.70842961788446,233.4949589936796,218.55067134592278,206.88261289859423,213.4637807726686,214.7090734318247,238.33820022642612,195.53958654403687,225.3615918312086,211.54694862673895,247.73188039401853,194.03572240721223,202.64769846961912,212.95821800232912,206.4133737323585,234.98970342518774,234.6640417806758,208.2937575473888,483.666077687182,216.20829076544734,194.73171025461932,351.9378733634949,214.05393893282942,209.75500034093147,212.24135967897223,206.52176872209583,201.9056079983514,194.73171030146767,258.10350627182106,208.1110343911815,244.6873540138502,329.5216594095266,25020230.0,39,0.6339676587267709
