tr,prob_l,prob_g,beta,pearson3,station,n,risk_rate
2.0,0.5,0.5,101.82386157573828,101.2994220654824,25020230,39,0.75
2.33,0.5708154506437768,0.4291845493562232,108.62473260313593,108.09659355098327,25020230,39,0.7292085003076647
5.0,0.8,0.2,136.1841868026949,135.95585140604226,25020230,39,0.6723199999999999
10.0,0.9,0.1,156.5142180975948,156.7740320587906,25020230,39,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,167.28768598108564,167.88198326502294,25020230,39,0.6447356335058557
20.0,0.95,0.05,174.57323840977736,175.42026917338842,25020230,39,0.6415140775914581
25.0,0.96,0.04,180.0538634383833,181.104225552497,25020230,39,0.639603283141982
50.0,0.98,0.02,196.3047343294822,198.01973379622726,25020230,39,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,205.36780719545087,207.4905366087474,25020230,39,0.6345868051211123
100.0,0.99,0.01,211.63491349191472,214.05393893282942,25020230,39,0.6339676587267709
200.0,0.995,0.005,226.2645340183759,229.41778352008413,25020230,39,0.6330421782738329
250.0,0.996,0.004,230.8506262564539,234.2456180572557,25020230,39,0.6328575464337579
500.0,0.998,0.002,244.77074607682755,248.93096475370027,25020230,39,0.6324887451428414
750.0,0.9986666666666667,0.0013333333333333333,252.71158654176975,257.3283886487558,25020230,39,0.6323659481318762
1000.0,0.999,0.001,258.2657341855565,263.2100709602522,25020230,39,0.6323045752290363
