tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,dgamma,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,rice,t,truncnorm,wald,weibull_min,logalpha,logbetaprime,logchi2,logcrystalball,logdgamma,logerlang,logexpon,logexponnorm,logf,logfatiguelife,logfisk,loggenexpon,loggenlogistic,loggibrat,loggompertz,loggumbel_l,loggumbel_r,loghalflogistic,loghalfnorm,loghypsecant,loginvgamma,loginvgauss,loginvweibull,logjohnsonsu,logkstwobign,loglaplace,loglaplace_asymmetric,logloggamma,loglogistic,loglognorm,logmaxwell,logmielke,logmoyal,lognakagami,logncf,lognct,logpareto,logpearson3,lograyleigh,logrice,logt,logtruncnorm,logwald,logweibull_min,station,n,risk_rate
2.0,0.5,0.5,108.79687297549634,106.10576126544991,109.8045608398889,111.41509387252289,107.97517381625761,109.87402514296409,92.87655230477255,111.32925438255347,109.81152676513688,109.92647267996557,109.3695755696281,109.90544487952025,105.86526276712452,108.61259761994988,102.25704004184601,116.04637413966009,116.42737054130241,106.40281813794287,103.91097522472948,105.16975474856453,111.41509433962264,109.66148535633499,108.19725573060582,106.67383098602295,110.05797839585841,105.59812979030339,111.41509433962264,108.40931038322887,106.70126243366354,111.41509433962264,107.0455582118472,108.80570277686164,109.83122254159726,104.78468756025005,109.18282738467174,107.39017444187564,110.6034069800323,111.41509433962264,92.87655067443848,110.60565450157688,107.88023643678028,110.02961325486662,111.41604816448955,111.41509298193623,101.52507247750941,110.10487198090155,105.53857537397228,107.11042899261795,80.9376586570567,107.04551111134559,107.90291174450536,106.16126030306563,85.2633733995425,107.04564013818285,107.0249218290771,106.93586674412803,108.30368759530953,98.00500927208525,109.84423057998761,98.1359405111451,110.77110653653594,112.26014374303949,102.07319490980471,99.68730527194539,100.88525209751602,107.0455582118472,105.56940388725215,104.67716228503576,103.17425051475968,110.73111269768728,100.52230051988886,107.0455582118472,108.46790194398788,110.37050281658304,107.0455582118472,107.0455225006212,104.4276124783553,110.32938038351575,100.51779559490569,106.98924303672797,107.11530535724216,105.68880545814922,85.2633724312204,109.45401337256241,103.51404268050801,107.04398158355318,107.04556165759669,86.11808978328486,97.4534682116349,110.25028234653324,25020260,53,0.75
2.33,0.5708154506437768,0.4291845493562232,114.27771693381493,111.75181165207673,115.29560609191543,116.85958259957332,113.19586230493678,115.3565061372305,102.10321118459441,116.77007888009672,115.3018758936461,115.40330689686652,114.51461453015781,115.37794980527335,112.21622836368303,113.94987897513624,105.01500692093082,121.93219737527443,121.16414243844876,111.44774743601629,109.09795578793816,111.04578270089648,115.77231446834787,115.13687788853531,113.7945777532159,112.58689880371094,115.52714044600674,111.78385271579437,114.70984883239602,112.63276097417493,112.48580302979364,116.21206716959568,112.72152580408412,114.46215455101218,114.9988375698618,109.5603547478442,114.83901062964965,113.02666271990304,116.01771620372685,116.85958315206962,102.10320854187012,116.06924234735598,113.62035919961994,115.72708966267992,116.86056485424209,116.85958174346518,105.09508165320587,115.80044868760876,111.29442835283695,112.87513075862468,89.7226384985567,112.72146404288007,113.23224042976746,111.89894852365704,95.4857290631156,112.721633563256,112.71719770345014,112.59953723251174,113.56773227703871,105.3761810267718,115.01277691286616,100.73809338294299,116.5976110112139,117.42136080436714,107.07873291528227,104.71719655388935,106.67092140344329,111.56447630035169,111.31568074891264,110.73423225629985,110.19855027222148,116.3262249707396,107.86844603116981,110.44529602150794,112.1832648541858,115.9184187130051,112.03101499684534,112.721492501384,110.18592489747637,115.53230174872057,105.17796624106161,112.67512331101163,112.82161668900721,111.53643772873465,95.48572840408346,115.11411911758721,109.30936089987418,112.72032279955658,112.72153775695782,96.05738679589855,100.81238992153126,115.84860271909433,25020260,53,0.7292085003076647
5.0,0.8,0.2,135.99006859891784,136.06028577572812,136.61328156321562,137.09277061794612,131.66402188477593,136.58044258636696,148.2343433134715,137.04188149786327,136.6137098833332,136.60822680025615,135.56643472360517,136.53139027289828,137.84305061131852,136.03690456828926,120.89335397765228,140.94680422547674,136.46664928863686,133.36520787083856,132.5680332016654,135.89474280586205,133.25013233994898,136.56753946306367,136.32195613719892,138.2759494781494,136.63425067359304,138.05945172281037,131.1828491695749,133.7490241620125,137.34906394910712,134.73384407812276,136.58194331551528,136.72551164509025,135.9306540340416,131.6816845007521,136.8977951381296,136.6175464932355,136.64372554071588,137.092771487799,148.2343406677246,136.82831472274373,136.60059759082446,137.30993363105833,137.09385709036346,137.09276988996953,125.08005500880469,137.34320703933287,136.2815568313872,137.35418855518662,150.4531623639959,136.58181371089486,134.46896101387244,136.5039057146414,168.19254019189077,136.58217065216917,136.6755702879816,136.43185992943862,136.4080281185167,140.90035418216294,135.93761453272063,117.11936795456488,138.0054254321847,135.77282960778388,131.83508154013026,130.84284448083343,135.03997909753193,131.69119385956424,136.3311926231483,137.85028470286835,146.70578735646058,137.33671350729247,145.55008936426432,129.13289962652422,132.21950071717717,137.01405417133776,133.55849336679452,136.58194776263872,136.10545167604784,136.20752947939792,129.74562966481088,136.5931732897481,136.85171917991957,137.06724602897816,168.19253975717942,137.15479918139852,135.94745590247993,136.5825449964861,136.5819952996634,161.28509606755887,121.87026463351417,137.12563382077477,25020260,53,0.6723199999999999
10.0,0.9,0.1,151.6837285788627,155.66043385241636,151.5600270783156,150.51494725068076,146.8634127251919,151.40957510553727,190.11089561824406,150.54478583896162,151.55433015280786,151.43800177733732,152.35109831427638,151.28388604273,156.31445904277365,153.3171838487262,138.99284751072335,151.53328109192967,144.98639565323737,151.21665594895742,152.05895520874572,154.28241143481256,147.20667574706243,151.7879469510516,152.85561742063783,159.19930171966553,151.3458294351139,158.06496204226673,146.1365784279251,152.9177776492759,157.28592469254409,148.3744382388466,155.1349679441226,152.39331412609783,152.71847014353375,150.94173650179147,152.30335977412287,154.89911996485904,150.8385990078847,150.51494833105988,190.11089515686035,150.998145068663,152.98597975136965,151.86621233891685,150.51610344860669,150.51494660770337,146.2888156708243,151.75026610286463,156.6150025438082,156.65682364584094,240.86970694408978,155.13477946581355,154.95175105161186,156.17128436111813,281.1894775960537,155.13529907992685,155.33611574911305,154.9893822544573,156.11750279772042,173.35472659470648,152.71252827692393,139.0647640140937,151.78996337248427,147.20584103290608,156.17144429415853,157.42795363522825,160.78595885074432,150.3403012894474,156.7644695431597,160.84753376319333,185.2101023905548,151.27574014899315,182.84401283121468,148.82135569664973,153.49027989610317,151.33538623519047,152.01557291195547,155.13503186992568,157.92250221645133,152.5528412361719,155.76454452551948,155.20780505917793,155.58153720653104,158.00558802105172,281.1894816713652,152.4778655049753,158.81953495191416,155.13720366147223,155.13505528415786,249.49828748824532,149.04808594707626,151.52561583085426,25020260,53,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,159.94220098532895,166.6939766671686,159.26273189705768,157.2128923976203,155.51321373394177,159.03658343270035,214.60710837602412,157.30321988402767,159.25350479274715,159.07291847145592,161.98408137452225,158.86350055232748,165.89725812626358,162.93337764943288,151.47706159591738,156.32764433039165,148.84478581063735,161.28829210427796,163.089082410932,163.85128414693608,155.17156971689974,159.7032866940478,161.60752123685205,171.0040807723999,158.90833160828828,168.6854610793012,154.8839492899967,164.13077962489288,168.4472961845916,155.8064726361766,165.31556283535085,160.4322573758404,162.51529839416838,162.11942962760287,160.1862106939632,164.92520750145982,158.09861427210134,157.21289358305637,214.6071071624756,158.18914634988877,161.42846973255513,159.17866425268045,157.21408366724825,157.21289179705923,159.90813364725616,158.92878440686732,168.11549860003396,167.34602585343657,317.3093001364202,165.31534004305885,167.98089512627973,167.1592568514882,379.802843104619,165.31595447892323,165.58679655631454,165.1821215865027,168.02971363415574,192.90189834890347,162.5009764827409,156.55422939862535,158.51216492370185,152.6955954420607,171.8341809083376,174.80044788426338,176.07055760225634,162.14400409045135,168.3490798528363,174.20346253768147,211.23738367410093,158.1791795955363,206.38302601986072,161.70205238519682,167.48575960905856,158.55654737660964,163.1238638378787,165.31567024428995,170.44068142014163,162.0903652912029,173.19482012233507,165.42807177615688,165.87498114298893,169.90812115416225,379.8028510622743,160.2747772191431,172.06791299429835,165.31877089234987,165.31567097206909,317.99354344312707,169.61692019341672,158.76955859049076,25020260,53,0.6447356335058557
20.0,0.95,0.05,165.51488003901136,174.42830499510995,164.39586145476213,161.59921238280964,161.58233558594048,164.11390818810287,231.98744792301653,161.7374793201584,164.38419915689158,164.1589696758889,168.85210485044405,163.9064369396089,172.29150251772418,169.63225443289213,161.26998041416817,159.31191432598672,151.24645571607013,168.34019353284953,170.8171105400293,170.2309717442459,160.7904423688814,165.00711326329372,167.52561167690925,179.2694845199585,163.94273212653655,175.8398021347178,161.09030768627522,172.0865311365393,176.24111074160254,160.94327363626266,172.34192859113216,165.76743478783044,169.5959300874781,170.03563430739402,165.41220731449584,171.84656393682607,162.92217954409995,161.59921363704493,231.98744773864746,162.94184896116502,167.03993992209192,163.98171655676106,161.60042674221611,161.59921181002602,170.05722803267207,163.6191573068202,176.1961010374776,174.7628751257049,385.8856508866687,172.34168134731965,177.77408276144538,174.82285005953133,470.1012436136193,172.34236335487347,172.66596578924168,172.2208162844614,176.7902473694986,207.1016293031985,169.5756020671991,171.79939243264408,162.85502405146312,156.21561381056583,183.72673012506374,188.1020913551969,187.0600140442861,171.02428520533775,176.49997424282358,183.73276332941663,231.60879766456205,162.6708198999837,223.925020902527,171.51164401515186,178.18299036674108,163.30815579398734,171.27250231018695,172.34207039143863,179.29163695894644,169.00379027461247,186.70661906041087,172.48414728535047,172.98555961754423,178.29585336331206,470.10125845510913,165.42113335822629,181.47956554262765,172.34583673576856,172.342051617738,375.82687387357856,186.76981017822996,163.5303552424407,25020260,53,0.6415140775914581
25.0,0.96,0.04,169.7035672824387,180.3979485233029,168.2196892642377,164.82813673206198,166.25932341081472,167.89347567769096,245.46868662694294,165.00626097674038,168.20618673317608,167.94699652408173,174.22516392106883,167.65898063896805,177.05521707092996,174.7782827259098,169.43389395996138,161.43553494952675,152.95549535752232,173.77200791893205,176.77118686980197,174.97767242821132,165.13899954292066,168.9737468278832,171.97824543250067,185.63601398468018,167.6907958743742,181.19866949506272,165.9043332578773,178.2574914280595,182.23871830096454,164.87289089698479,177.70441480833776,169.72824739300324,175.19671041017065,176.17152527198058,169.28966489122308,177.13098020340558,166.5096362095928,164.8281380369427,245.46868515014648,166.46253897541555,171.20915785986233,167.52389955138688,164.82936815700657,164.82813617972622,178.1864093359253,167.0649775288521,182.4423840819028,180.4447994095187,449.1519598261856,177.70414849931794,185.70995602499252,180.71528066951097,554.6809916902109,177.70488319527513,178.07113740681518,177.5948601309291,183.79911750668123,218.32585186701712,175.171770138232,185.63731503110466,166.02158114746163,158.7697837074898,193.44536063026152,199.03679114302187,195.6792354691855,178.22940674513362,182.80666780255515,191.1789650225238,248.62995706699712,165.95966586403674,238.03454949719054,179.52854381333705,186.94870986287984,166.81631497855832,177.7798993417378,177.70458522961124,186.15851918816108,174.4897758930479,197.90072128165576,177.870557100455,178.41572180828,184.79306698272967,554.6810169931431,169.22571567156888,188.80404106102614,177.70887247132308,177.7045494813834,426.6980296856629,201.75184511685967,167.04257418607398,25020260,53,0.639603283141982
50.0,0.98,0.02,182.12326617883542,198.90333476143388,179.38270822847133,174.07451659121108,180.65595825470155,178.91467896620475,287.34523893171547,174.39045476914234,179.36379802819556,179.0033155339779,191.30363874737037,178.59470211598313,190.94615442020532,190.5798405974969,198.2119091796755,167.20020196798868,157.5947629815701,190.50485650173778,195.11659975603305,188.77461976275134,178.621277939575,180.63334633629398,185.1890692715633,205.24827671051025,178.62473114510033,196.93491781594486,180.85806251622748,197.4262449153229,200.7261609223265,176.87910119423043,194.00148058832818,181.21537370640016,193.3853530051293,195.21984141011325,180.52667028203,193.2088083551211,176.9643144524177,174.07451804112088,287.3452396392822,176.6482441500243,183.3116604849067,177.69431673188302,174.0757972419817,174.07451609743032,204.72828481901882,176.89317152465887,201.84922499964597,197.82477504574507,719.9558558753404,194.00115430457876,212.43732725762476,198.85232269936463,927.3327943551171,194.00205475480197,194.51028861361652,193.9383149922418,206.98214267720525,254.48147299523723,193.34681416849827,243.92710858134564,174.9464780159272,165.91571650779048,226.7351762128424,236.88852105052098,223.0537853415408,202.55523357047994,202.43330078600016,214.74629293468874,309.33486719768854,175.28064073774263,284.81750010369825,206.9006531551493,217.02403690396747,176.90515089253316,199.2340156183167,194.00175032835065,207.59765781367622,192.44187713304902,237.11041349947243,194.2467724256371,194.936095142614,205.05193617397572,927.3328663124073,180.17255502501115,211.7834928250955,194.00768502521993,194.00165208288632,624.4411874607176,259.55584121834886,177.13185609523393,25020260,53,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,189.05998961595094,209.77488084414034,185.50341241581222,179.0358295732001,189.0058512204049,184.94998615673103,311.84145168949567,179.44180046325846,185.4815723801023,185.0649727883491,201.63951797675662,184.57914711701375,198.54279755596593,199.74157206472097,217.64866539794616,170.11528438690073,159.94075232971485,200.23062604469774,205.78074721507966,196.28511606624159,186.50022980530787,187.07878389199118,192.56461180706475,216.64767265319824,184.61664346545075,205.59290518007944,189.60543337829915,208.63924689093997,211.51039605452405,183.81343886261706,203.35364172274853,187.46071966462154,204.6926933091869,206.35893834073818,186.63224514071337,202.45197995946683,182.69121235696178,179.03583110092785,311.84145164489746,182.17722716787586,189.89589782013928,183.1660745206292,179.03713687786842,179.03582911083802,221.06093865542886,182.1391988377821,213.27602455895607,207.87332045240038,948.9195612366939,203.3532797143824,229.67120498568482,209.41459206780215,1252.549116742511,203.3542789035047,203.9521644914139,203.32463724573145,221.6813264663119,276.61182989554015,204.6470216164237,293.33192875973754,179.64843204031627,169.65082738573176,248.657420157239,262.1176835135269,239.53253422811076,218.2804073391253,214.01101766785993,228.9193353945294,351.2159013232244,180.21429267135102,314.3702554861123,224.8081943509574,236.81262226435095,182.34141098442856,212.78537011150692,203.35397667873175,220.27241361292647,203.72407576804682,263.54686358594546,203.648598941427,204.42806617591918,217.0296252660914,1252.5492406898707,186.0628223837263,225.43909625609155,203.36089788363407,203.3538352679738,773.5162276623547,303.08101473379355,182.56265918639238,25020260,53,0.6345868051211123
100.0,0.99,0.01,193.8651821885889,217.53595859015633,189.6953635140816,182.39145036656112,194.90500915201486,189.08045854533526,329.22179123648806,182.86541411374537,189.67155383724912,189.21658128023063,209.15335285459435,188.6732219658466,203.73422817725432,206.21967399585182,232.7055328073696,172.02201216646029,161.47524172212286,207.1141523571775,213.32860002384797,201.4015281736385,192.089158222991,191.51540587566524,197.669044660799,224.71572589874268,188.7197918451131,211.52498527098487,195.81179177457764,216.59499840258633,219.1733698994717,188.70924831507534,209.93331965687426,191.71465570735785,213.0584663280026,214.26167866216437,190.789937404994,208.96418227698766,186.6136483448217,182.3914519469215,329.22179222106934,185.94208462246104,194.38158753597153,186.872094782629,182.39277580328326,182.3914499254492,232.968997439526,185.675402819765,221.44295572917983,214.9751437371477,1154.3498543062524,209.93293197368703,242.68448940359576,216.91228288085216,1550.3435747204226,209.93400212739465,210.59843899587028,209.93159129057358,232.68372685298647,292.78319894765343,213.00823495360893,338.38335849128805,182.7946308510443,172.13929774307152,265.4423984789099,281.58194945441187,251.450251844649,230.16974559611901,222.2950437810454,239.1795052197109,384.24120079131967,183.52130925258186,336.37011166768235,238.44609534925257,251.93772467667938,186.02614058503852,222.90443882538344,209.93370400510955,229.34590133600253,212.13713061840207,284.07118144049366,210.2650166439322,211.11106582826932,225.61174050058506,1550.3437561500584,190.04719054048138,235.24323175750126,209.94133617264228,209.9335290976996,897.2385019363953,339.3494870202821,186.24194619232716,25020260,53,0.6339676587267709
