tr,prob_l,prob_g,alpha,betaprime,chi2,crystalball,dgamma,erlang,expon,exponnorm,f,fatiguelife,fisk,gamma,genexpon,genlogistic,gibrat,gompertz,gumbel_l,gumbel_r,halflogistic,halfnorm,hypsecant,invgamma,invgauss,invweibull,johnsonsu,kstwobign,laplace,laplace_asymmetric,loggamma,logistic,lognorm,maxwell,mielke,moyal,nakagami,ncf,nct,norm,pareto,pearson3,rayleigh,recipinvgauss,rice,t,truncnorm,wald,weibull_min,zzgumbel,zzloggumbel,station,n,risk_rate
2.0,0.5,0.5,83.11609583807044,91.20076694851684,11.635702827736463,95.13782050136541,86.3927862806404,11.825535443595603,69.31986344524589,89.35518377605572,90.15558126237596,91.00781079225231,88.96013584999054,91.40334964750298,69.37462092049299,90.26193948668387,83.3560532113668,186.6731477720744,101.58602193528215,88.6895336202734,85.48378157847651,87.10321327152396,95.13777777777777,90.40846166698641,90.97537963193211,89.3047803210211,86.72885584459775,89.92305041592648,95.13777777777777,85.33116514807622,95.04959918911663,95.13777777777777,90.69209323224374,91.78082113329437,89.01652165840252,86.60782450771686,89.04150274218765,90.08318400602714,89.69338844324294,95.13777777777777,69.31985855102539,85.84620559542545,90.59021019318857,91.02316637915683,99.49902318181138,84.5677414349102,105.87633692978869,82.41436671057389,86.5864674861277,106.46345425957253,81.83957178586274,28020080,45,0.75
2.33,0.5708154506437768,0.4291845493562232,98.9324281569761,97.83350485502393,12.077736147362767,102.1421038876655,92.17735145025986,12.224461552073892,82.16947632671874,95.05498463013848,96.61188886704872,97.5765282980727,94.28879746554989,98.0488181011567,82.23632205667906,95.94889520709121,86.90414824512027,189.01293059036033,107.67983250800533,95.17978566592531,92.15678761861412,94.66266033590972,100.74329872424855,96.83644227910408,97.54200916216983,95.95446560790879,91.56494661733319,97.6049422485904,99.37644710755599,91.02243197357785,102.39077270497182,101.30903625994495,97.18988448666843,99.0577908447097,94.38764992815166,92.75167348999543,96.25590997709946,96.71990925753691,95.7094263981098,102.14205921855184,82.16947174072266,92.39288301305153,97.97482732999468,97.59227894619553,105.31755755910987,89.30461432807188,109.155769168102,87.00714837227825,92.80233213962973,113.02704481436797,88.2041659583752,28020080,45,0.7292085003076647
5.0,0.8,0.2,221.5744284177256,124.77544813272138,15.809660435685304,128.1719094017916,112.35431202676492,14.918571162607966,146.4145294235109,120.33309747828105,123.3782613785672,124.4280702862996,117.0681419034546,124.88922546052225,146.54181359415125,119.74979226910393,107.33147272222291,196.5718521990779,127.36635743630585,123.37638348086861,122.35084106372977,126.63058153069798,123.22833993939703,123.50323428118132,124.40664753583827,124.8466532289458,115.959735835148,130.23593976361843,120.56880042303831,119.47743235102527,129.59243578193855,125.13712053370935,123.92788001052514,127.69938131815795,117.64652480429689,121.2105471824731,127.54618448993014,124.38966409102736,121.45634968781623,128.17185750257872,146.41452407836914,122.37081183593347,127.5387006551755,124.43353219338928,128.61171216210147,108.66161690912799,121.34302389404756,112.71761986408846,121.7291434986241,141.54225836751715,122.12250428210399,28020080,45,0.6723199999999999
10.0,0.9,0.1,446.8976603561585,144.73088637119793,20.704341716061784,145.43941302055296,128.89513165603958,17.98326473073642,204.7343928687568,142.17476520276176,143.89348967276106,144.50792752979407,136.33700983735528,144.61342742850044,204.91654136649163,138.54820032699803,130.6162784989524,200.78035167690703,138.3269275462577,146.34209629097785,147.4257451810956,150.28612040247182,141.1832961035676,143.96393382484075,144.5200964962209,148.3824454448186,141.03714908841786,155.08027375374894,139.8066264013321,145.30808632911365,147.56797134153203,142.6856110922102,144.1618150610397,147.85585549155473,137.43813082454395,145.9884151194618,151.0707591722567,145.6682743149402,142.38447400490102,145.43935632507817,204.73439025878906,147.50319477978712,148.61834980121924,144.49338356566705,145.22092303238344,125.49485879265404,129.42773545396173,140.00248167876376,146.05672811630268,164.76747899443612,159.1797597724908,28020080,45,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,671.4167095991787,155.33807397237143,23.985135029590793,154.05625626645198,138.29776890552333,19.938789099227318,238.8493260314042,154.91488699963955,155.07710891315602,155.24850761531448,147.8320940545724,155.04451799005872,239.0635681031166,149.04336109003296,146.67708703581587,202.68628593492156,143.29070862869065,159.29915739094093,161.61590929425037,162.59637272256782,151.43005405137046,155.1263314901995,155.2871894948285,161.66253977274755,157.5826994438903,168.26960114427936,151.06003319403325,160.41805027539914,156.51754418653945,152.24685042792237,155.08608484396748,158.19787711145068,149.21420763593056,160.3684076603228,163.35967651143025,157.26815981949588,154.3304738445025,154.0561971775428,238.84932327270508,161.69659783818537,159.47953844965397,155.2191196393853,153.77873968831312,136.21466202792908,133.46217460819594,157.52360018817882,159.7260112573585,177.8709522117205,184.85102356834187,28020080,45,0.6447356335058557
20.0,0.95,0.05,895.7383592379412,162.52471740738326,26.449485068837472,159.69921554867318,144.8920772981744,21.379067824167933,263.0542563140026,163.95318513097112,162.77313068916447,162.551500950629,156.2199880374286,162.09108115048724,263.2912691388319,156.36337535115274,159.27557285828402,203.872643400517,146.3804333989998,168.371359391869,171.55795125014282,170.8037725291059,158.65867859080817,162.81131038178933,162.61161676813828,170.96152221117518,170.27995824292927,177.1543951746125,159.04445237962585,171.138740307202,162.3709913246239,158.85529451685088,162.55819278453802,165.06153050800225,157.77869918072523,170.55252731417687,171.56157442625346,165.24603401894413,162.79465800986648,159.69915489236251,263.0542526245117,171.60344786681236,166.6986451894252,162.51043515822417,159.46686406293273,144.45912364578314,136.10422985852043,170.58031020830126,169.2249785263731,187.04566822361716,205.2518083621798,28020080,45,0.6415140775914581
25.0,0.96,0.04,1119.9814001411498,167.93838662328142,28.42579995752596,163.85319626365214,149.97240343293913,22.521291507372755,281.8290588470217,170.96376998220734,168.63656485230695,168.0663791242704,162.892901797596,167.3882153132417,282.08373404014975,161.9901531658055,169.77836073709767,204.7168615162484,148.57909613016457,175.35933530747528,179.2178194196575,176.91035215092006,164.25305473106857,168.66829372275697,168.14450302500478,178.12451599512133,180.71472256245593,183.8094361299904,165.2376490465926,179.45435353206267,166.67617880413673,163.91070856889132,168.22567191648565,170.15707706461774,164.5720008736218,178.44629084026104,177.66680102695588,171.32047891151208,169.38389074947173,163.8531344535221,281.8290557861328,179.20996200046187,172.06230717060342,168.0156678951291,163.6930346344774,151.3040398366865,138.04913961720933,181.0384219320527,176.49255722589714,194.11260682541447,222.48824653810684,28020080,45,0.639603283141982
50.0,0.98,0.02,2240.843705959712,184.02970928090193,34.85527119670169,175.74857672593185,165.60461675060165,26.181921616925397,340.14892229226757,192.74060463050594,186.4155489743059,184.52509102015384,184.74336618631332,183.07768919767395,340.4584618124901,179.28113742645218,206.8009709999999,207.0085328870089,154.54746841217087,196.88598084155876,202.8190358705072,194.65997721595778,181.59787361234623,186.43813402349082,184.6662161939966,200.19215440261178,216.65832932761685,203.35188232569692,184.47547502488638,205.28500751015105,178.98704184137023,179.3565803221354,185.2740416736705,184.93515236542675,186.68015712322946,202.95176266698255,195.4186458215929,189.71327194726447,190.1522501253442,175.74851161171335,340.14892196655273,202.48528566637282,187.63206969584442,184.44151587577278,175.96086068708604,175.70792676112734,143.6186025451877,215.18428346536703,198.5834695932666,215.88249901297553,285.2248524102833,28020080,45,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,3361.5493722735664,193.02998868392564,38.77947162952327,182.13125907429017,174.66784631446563,28.386752185348254,374.2638554549152,205.47923505745206,196.59910326013042,193.77254712079463,198.43596297599686,191.8172797230844,374.6054885491152,189.31235260581678,231.80615098722566,208.16738848018076,157.56556069181661,209.39808793805275,216.53837018070075,204.32215031895805,191.7340678864055,196.62350713032237,193.95509269372224,213.0199878931453,240.36060707865374,214.1040164288541,195.72888181758762,220.39497145643662,185.58197744574318,188.2775376990157,194.94549988334043,192.96972866694784,200.42428076619802,217.2821015814074,205.08262041341538,200.22715992092455,202.61374199718998,182.131192187203,374.26385498046875,215.89905102811503,196.10263275998759,193.66793492823285,182.63504046793366,192.71229570388894,146.60699899915943,236.19608184882512,211.21110098020466,228.53599033834797,329.5273774697821,28020080,45,0.6345868051211123
100.0,0.99,0.01,4482.215906912782,199.26497450381564,41.62239928409396,186.44823356941322,181.06980575559857,29.974049657326354,398.46878573751354,214.5174371792304,203.75878188905617,200.19548577989093,208.60970654778833,197.85667613303178,398.83318958483056,196.4068721386671,251.17665064202484,208.92538525756527,159.53966624011645,218.2536770040743,226.24861813116223,210.9043597296706,198.92416946220408,203.7875308646661,200.4093174636729,222.09960504079936,258.470539970211,221.47091568217257,203.71330100318016,231.11566148823948,190.03829041454264,194.57594852631388,201.70399709530685,198.4423756501247,210.58188809156565,227.4488994703252,211.66536319608457,207.6085309705901,211.63515471508006,186.44816548323305,398.4687843322754,225.34237333745557,201.87343288300494,200.0752199642301,187.18200590680894,206.27221843945748,148.62822308344875,251.51568225277353,220.05535180751673,237.49164573386201,364.9816949798241,28020080,45,0.6339676587267709
