tr,prob_l,prob_g,gumbel_l,gumbel_r,loggumbel_l,loggumbel_r,station,n,risk_rate
2.0,0.5,0.5,64.04433002759308,58.27566997240691,61.46733223803042,55.175958654517565,52050090,5,0.75
2.33,0.5708154506437768,0.4291845493562232,66.77012024087374,61.17879032651681,64.68488410816404,58.25723603077042,52050090,5,0.7292085003076647
5.0,0.8,0.2,75.5759957013391,73.79126153062866,76.27590211213472,73.7698545317686,52050090,5,0.6723199999999999
10.0,0.9,0.1,80.47871041180512,84.0639331983395,83.60695451688272,89.41025347174148,52050090,5,0.6513215599
15.0,0.9333333333333333,0.06666666666666667,82.69903310380457,89.85968774595354,87.1548996677265,99.65568051106742,52050090,5,0.6447356335058557
20.0,0.95,0.05,84.08108156759131,93.91772649394571,89.43895746334616,107.52032967320166,52050090,5,0.6415140775914581
25.0,0.96,0.04,85.06455377818807,97.04348108281678,91.10066581863538,113.99883407440457,52050090,5,0.639603283141982
50.0,0.98,0.02,87.73423485234693,106.6724511699761,95.76876116776619,136.5136386285125,52050090,5,0.6358303199128832
75.0,0.9866666666666667,0.013333333333333334,89.08424176517423,112.26917569301983,98.21963570806469,151.59079291412664,52050090,5,0.6345868051211123
100.0,0.99,0.01,89.9672684886541,116.2303224534794,99.8565603637042,163.2577099871436,52050090,5,0.6339676587267709
200.0,0.995,0.005,91.88661202672759,125.75331867017289,103.50928098818409,195.11373948851175,52050090,5,0.6330421782738329
250.0,0.996,0.004,92.45133092148296,128.8148224147982,104.6092271339742,206.62143248658018,52050090,5,0.6328575464337579
500.0,0.998,0.002,94.07020585867497,138.31710390617994,107.82764485360265,246.84317655600444,52050090,5,0.6324887451428414
750.0,0.9986666666666667,0.0013333333333333333,94.93540821344132,143.87212394613874,109.5881272634242,273.89170872601244,52050090,5,0.6323659481318762
1000.0,0.999,0.001,95.5177191495256,147.81251509855093,110.78914631267686,294.8567234155007,52050090,5,0.6323045752290363
