station,tr,n,bestfit_pdf,bestfit_val,norm,lognorm,gumbel_l,gumbel_r,gamma,pearson3,logpearson3,dweibull,kappa4,norm_pdiff,lognorm_pdiff,gumbel_l_pdiff,gumbel_r_pdiff,gamma_pdiff,pearson3_pdiff,logpearson3_pdiff,dweibull_pdiff,kappa4_pdiff
29045190,2.0,9,logloglaplace,96.20999777974488,218.0,118.61825047656768,271.61774911004125,164.38225088995873,53.11997805121703,106.62637298667303,96.43954687084324,64.67000000000002,551.0206885008402,55.87,18.89,64.58,41.47,-81.12,9.77,0.24,-48.77,82.54
29045190,2.33,9,logloglaplace,105.35677535492027,276.2412507675408,140.2527070404666,322.2883500413253,218.3492994918184,58.20690143027406,152.98574751300268,113.02974026515358,79.91687835653825,629.8772112765471,61.86,24.88,67.31,51.75,-81.0,31.13,6.79,-31.83,83.27
29045190,5.0,9,logloglaplace,170.56364243734262,492.6814412577981,261.400284773057,485.9836333884608,452.80662934321856,110.82183444761516,398.9346149503236,230.96940759263228,318.5934109499521,891.1872965123888,65.38,34.75,64.9,62.33,-53.91,57.25,26.15,46.46,80.86
29045190,10.0,9,logloglaplace,275.6815691026283,636.2622978457457,395.0745154231208,577.1217919171638,643.7686645125362,188.5668171817028,633.4723048988444,416.3981106770866,679.4817476568928,1007.6087957473044,56.67,30.22,52.23,57.18,-46.2,56.48,33.79,59.43,72.64
29045190,15.0,9,logloglaplace,372.6190341042328,707.9121299028827,485.50069017745193,618.3960926747304,751.507831065772,242.78679403076111,773.4907548937663,579.3678309266597,939.5005577856072,1046.6847580504448,47.36,23.25,39.74,50.42,-53.48,51.83,35.69,60.34,64.4
29045190,20.0,9,logloglaplace,465.9365473055147,754.833847443565,555.6589350521006,644.0874411266525,826.9440333682661,284.142541348932,873.7459832123222,728.9720199589055,1143.399270490741,1066.267521603567,38.27,16.15,27.66,43.66,-63.98,46.67,36.08,59.25,56.3
29045190,25.0,9,logloglaplace,557.3403279137553,789.3745733339279,613.7046367775152,662.3695259574504,885.0497021795102,317.5915775846827,951.942678787186,869.2135792883355,1311.9766600437026,1078.0303123120964,29.39,9.18,15.86,37.03,-75.49,41.45,35.88,57.52,48.3
29045190,50.0,9,logloglaplace,1005.7234218114388,888.2857392976032,815.6941169575114,711.9970958501805,1064.0457592819732,427.6314123138468,1196.7967772678712,1486.4044857464137,1889.83276110809,1101.5815820281791,-13.22,-23.3,-41.25,5.48,-135.18,15.97,32.34,46.78,8.7
29045190,75.0,9,logloglaplace,1456.6520272175378,941.3583211333672,950.2326393964004,737.0928134887056,1168.0850919671404,495.4401552280757,1341.136579055776,2022.7804254437067,2263.469857926819,1109.4378233348727,-54.74,-53.29,-97.62,-24.7,-194.01,-8.61,27.99,35.65,-31.3
29045190,100.0,9,logloglaplace,1917.2752891631449,977.2543550687308,1053.5962299447506,753.5076844861534,1241.720137595954,544.783224828009,1443.95152810925,2511.7431843031063,2543.575359256861,1113.3664416160198,-96.19,-81.97,-154.45,-54.4,-251.93,-32.78,23.67,24.62,-72.21
29045190,200.0,9,logloglaplace,3881.116266495223,1058.6780595698751,1331.6661640777086,789.1869858476138,1418.7462119486977,667.1204181554173,1692.8272873369888,4206.298436772559,3267.042923615238,1119.2589586132422,-266.6,-191.45,-391.79,-173.56,-481.77,-129.27,7.73,-18.8,-246.76
29045190,250.0,9,logloglaplace,4937.350525973085,1083.560810601572,1430.477181708838,799.6847290763803,1475.6575009164696,707.3868903374454,1773.2465301122857,4957.938007455668,3513.971459477614,1120.437196404926,-355.66,-245.15,-517.41,-234.59,-597.97,-178.44,0.42,-40.51,-340.66
29045190,500.0,9,logloglaplace,10913.947414444658,1157.3508423160592,1768.7460487287883,829.7785218783531,1652.2985025022192,834.7124907511812,2023.8278569667584,8228.00004613506,4322.476020439639,1122.7929662054364,-843.01,-517.04,-1215.28,-560.53,-1207.51,-439.27,-32.64,-152.49,-872.04
29045190,750.0,9,logloglaplace,17954.15101555602,1198.342172637781,1990.101413236358,845.862049887799,1755.5625769855096,910.5489473163636,2170.884135465151,11037.53479279725,4823.47073120752,1123.5778472155807,-1398.25,-802.17,-2022.59,-922.7,-1871.79,-727.04,-62.66,-272.22,-1497.94
29045190,1000.0,9,logloglaplace,25972.626974588115,1226.5646961116568,2158.40577717619,856.6868172952427,1828.8117898648584,964.877626962868,2275.408142664646,13581.655209316772,5191.0504516921055,1123.970160016397,-2017.51,-1103.32,-2931.75,-1320.19,-2591.81,-1041.45,-91.23,-400.33,-2210.79
