station,bestfit_pdf,n,norm_pdiff,lognorm_pdiff,gumbel_l_pdiff,gumbel_r_pdiff,gamma_pdiff,pearson3_pdiff,logpearson3_pdiff,dweibull_pdiff,kappa4_pdiff
11047040,logskewnorm,17,-16.2,-9.8,-25.52,-10.46,-21.62,-12.43,-7.09,-21.22,-14.44
13057010,logjohnsonsu,17,10.22,12.81,2.68,14.02,10.63,14.24,10.63,5.45,39.68
14019030,loggenlogistic,16,-23.81,24.61,-42.46,-14.09,-65.7,-12.85,-2.49,-52.03,-5.78
15015120,logjohnsonsu,19,-29.39,38.32,-45.03,-20.1,-21.02,-19.44,-39.79,-17.59,1.34
15067020,invgamma,15,-26.7,7.57,-43.68,-17.34,-16.21,-17.48,-7.24,-32.14,-15.17
15085050,logjohnsonsu,19,-2.67,40.78,-12.56,1.51,-13.12,0.28,13.29,-9.4,16.37
16015110,johnsonsu,20,-24.38,30.07,-42.1,-14.39,-10.19,-12.56,-30.74,-4.23,-0.74
16015120,logburr12,15,-62.15,-59.99,-92.22,-43.49,-75.14,-37.81,-25.46,-179.74,-28.55
16015130,logcrystalball,18,34.29,84.79,25.82,39.86,35.47,32.48,29.19,36.84,30.01
16055120,arcsine,15,6.61,25.24,-0.75,8.61,6.71,6.5,27.49,-5.21,4.22
16057030,hypsecant,16,-0.5,20.42,-7.05,3.16,0.2,1.38,-11.14,5.47,9.99
21015050,maxwell,15,-1.93,2.39,-7.81,1.54,0.94,0.6,0.76,-3.63,8.64
21015060,loggenlogistic,18,1.75,13.21,-4.26,5.02,2.08,1.33,2.89,5.21,4.22
21015070,logjohnsonsu,20,-5.56,12.72,-12.48,-1.35,-5.36,-5.36,-15.91,-2.7,-6.31
21055070,johnsonsu,19,6.32,47.87,-0.27,9.28,8.48,3.04,36.56,15.17,9.37
21097070,logkstwobign,19,-105.41,-63.34,-150.68,-77.59,-171.93,-67.38,-38.29,-29.7,-48.17
21115170,genlogistic,20,4.39,39.33,-2.28,7.01,5.38,2.04,17.14,5.35,-8.84
21185090,logcrystalball,21,100,100,100,100,100,100,100,100,100
21195170,loginvweibull,21,-15.38,-12.47,-21.93,-11,-8.37,-12.68,-10.68,-17.67,-13.72
21195190,logexponpow,20,-5.45,-1.82,-12.66,-1.18,4.51,-1.96,0.47,-9.6,1.03
21197010,pearson3,17,1.8,28.11,-4.63,5.09,2.72,0,-3.11,5.95,-7.41
21205012,gausshyper,16,-2.73,-2.13,-7.44,0.26,-13.92,0.05,1,-3.9,6.4
21206600,exponweib,17,-50.93,-37.61,-78.14,-35.19,-153.32,-31.93,-14.13,-127.07,-25.79
21206790,arcsine,19,3.9,5.83,-0.37,6.38,20,5.26,6.5,5.17,9.44
21206920,logburr,18,-0.02,4.35,-5.39,3.19,2.12,1.64,2.13,3.77,9.41
21206930,anglit,20,0.78,4.11,-3.69,3.5,1.57,1.31,2.04,7.46,6.13
21206950,logtruncweibull_min,18,3.89,6.03,-1.26,6.91,9.71,6.07,7.58,2.78,5.14
