station,empirical_dist,p_dist,delta,deltao,eval,fit,n,best_fit,best_fit_sort
11025501,edf_hazen,logbetaprime,0.0694627637634054,0.530385761606,Δo > Δ,1,6,1,1
11025501,edf_gringorten,logbetaprime,0.0743647245477192,0.530385761606,Δo > Δ,1,6,1,2
11025501,edf_cunnane,logbetaprime,0.0775272798924378,0.530385761606,Δo > Δ,1,6,1,3
11025501,edf_blom,logbetaprime,0.0794627637634054,0.530385761606,Δo > Δ,1,6,1,4
11025501,edf_tukey,logbetaprime,0.0826206585002475,0.530385761606,Δo > Δ,1,6,1,5
11025501,edf_filliben,logbetaprime,0.083798977431905,0.530385761606,Δo > Δ,1,6,1,6
11025501,edf_beard,logbetaprime,0.0843530458950667,0.530385761606,Δo > Δ,1,6,1,7
11025501,edf_jenkinson,logbetaprime,0.0843530458950667,0.530385761606,Δo > Δ,1,6,1,8
11025501,edf_chegodayev,logbetaprime,0.0850877637634054,0.530385761606,Δo > Δ,1,6,1,9
11025501,edf_adamowski,logbetaprime,0.0886935329941747,0.530385761606,Δo > Δ,1,6,1,10
11025501,edf_weibull,logkstwobign,0.1043956877185027,0.530385761606,Δo > Δ,1,6,1,11
11025501,edf_california,loglaplace_asymmetric,0.1164527439484533,0.530385761606,Δo > Δ,1,6,1,12
11027030,edf_hazen,pearson3,0.1163935089398869,0.530385761606,Δo > Δ,1,6,1,1
11027030,edf_gringorten,pearson3,0.1212954697242006,0.530385761606,Δo > Δ,1,6,1,2
11027030,edf_cunnane,pearson3,0.1244580250689192,0.530385761606,Δo > Δ,1,6,1,3
11027030,edf_blom,pearson3,0.126393508939887,0.530385761606,Δo > Δ,1,6,1,4
11027030,edf_tukey,betaprime,0.1286097992323752,0.530385761606,Δo > Δ,1,6,1,5
11027030,edf_filliben,betaprime,0.1290025722095944,0.530385761606,Δo > Δ,1,6,1,6
11027030,edf_beard,betaprime,0.1291872616973151,0.530385761606,Δo > Δ,1,6,1,7
11027030,edf_jenkinson,betaprime,0.1291872616973151,0.530385761606,Δo > Δ,1,6,1,8
11027030,edf_chegodayev,betaprime,0.1294321676534279,0.530385761606,Δo > Δ,1,6,1,9
11027030,edf_adamowski,betaprime,0.130634090730351,0.530385761606,Δo > Δ,1,6,1,10
11027030,edf_weibull,logpearson3,0.14017195606923,0.530385761606,Δo > Δ,1,6,1,11
11027030,edf_california,kstwobign,0.1700047109989729,0.530385761606,Δo > Δ,1,6,1,12
11027070,edf_hazen,fisk,0.0713174745160357,0.3942745923300002,Δo > Δ,1,10,1,1
11027070,edf_gringorten,fisk,0.0742819013935061,0.3942745923300002,Δo > Δ,1,10,1,2
11027070,edf_california,logncf,0.0753715627167998,0.3942745923300002,Δo > Δ,1,10,1,3
11027070,edf_cunnane,fisk,0.0762194353003494,0.3942745923300002,Δo > Δ,1,10,1,4
11027070,edf_blom,fisk,0.0774150354916455,0.3942745923300002,Δo > Δ,1,10,1,5
11027070,edf_tukey,fisk,0.079381990645068,0.3942745923300002,Δo > Δ,1,10,1,6
11027070,edf_filliben,fisk,0.0801211407003097,0.3942745923300002,Δo > Δ,1,10,1,7
11027070,edf_jenkinson,fisk,0.0804696903156504,0.3942745923300002,Δo > Δ,1,10,1,8
11027070,edf_beard,fisk,0.0804696903156504,0.3942745923300002,Δo > Δ,1,10,1,9
11027070,edf_chegodayev,fisk,0.0809328591314203,0.3942745923300002,Δo > Δ,1,10,1,10
11027070,edf_adamowski,loginvgamma,0.08318160359089,0.3942745923300002,Δo > Δ,1,10,1,11
11027070,edf_weibull,loginvgamma,0.0940041144134008,0.3942745923300002,Δo > Δ,1,10,1,12
11030010,edf_gringorten,logchi2,0.1110039797732973,0.5865427407550001,Δo > Δ,1,5,1,1
11030010,edf_cunnane,logchi2,0.1153846061092159,0.5865427407550001,Δo > Δ,1,5,1,2
11030010,edf_hazen,logchi2,0.1156914797732973,0.5865427407550001,Δo > Δ,1,5,1,3
11030010,edf_blom,logchi2,0.1190476097722196,0.5865427407550001,Δo > Δ,1,5,1,4
