"DEPARTAMENTO_PRESTACION","MUNICIPIO_PRESTACION","SERVICIO","ESTADO","NOMBRE","NIT","DEPARTAMENTO_DOMICILIO","MUNICIPIO_DOMICILIO","DIRECCION","TELEFONO","EMAIL","TIPO_INSCRIPCION","REPRESENTANTE_LEGAL","TIPO_PRESTADOR","CLASIFICACION"
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO EL MACAL","-","NARINO","COLON","EL MACAL",,,"Registro por oficio","REPRESENTANTE LEGAL",,
,,"Inscripción Oficio Delegada AAA",,"ACUASALUD CHONTADURO","-","VALLE DEL CAUCA","PALMIRA","VEREDA CHONTADURO",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUASALUD EL BALSAL","-","VALLE DEL CAUCA","VERSALLES","VEREDA EL BALSAL",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUASALUD EL CASTILLO","-","VALLE DEL CAUCA","EL CERRITO","EL CASTILLO",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUDUCTO SAN PEDRO  EL VISO GARZON","-","HUILA","GARZON","VEREDA SAN PEDRO",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA ACUEDUCTO LA MARIA 1","-","RISARALDA","APIA","APIA",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA ACUEDUCTO LA MARIA 2","-","RISARALDA","APIA","APIA",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA EL MAMON","-","SUCRE","CAIMITO","EL MAMON",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA EL PINDO","-","CALDAS","VILLAMARIA","VILLAMARIA",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA ADMINISTRADORA EL POMO","-","CALDAS","AGUADAS","AGUADAS",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"JUNTA DE ACCION COMUNAL EL PARAISO","-","HUILA","ALGECIRAS","ALGECIRAS",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"SIE SA  BUSTAMANTE  EL CHARCO","-","NARINO","EL CHARCO","BARRIO EL CANAL",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"SUCRE ACUEDUCTO LAS MINAS","-","CAUCA","SUCRE","VEREDAD SALVAVIDAS",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO LA COQUETA","-","VALLE DEL CAUCA","SEVILLA","VEREDA LA COQUETA",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO LA CUCHILLA","-","VALLE DEL CAUCA","SEVILLA","VEREDA LA CUCHILLA",,,"Registro por oficio",,,
,,"Inscripción Oficio Delegada AAA",,"ACUEDUCTO LA ESTRELLA","-","VALLE DEL CAUCA","SEVILLA","VEREDA LA ESTRELLA",,,"Registro por oficio",,,
"CALDAS","RIOSUCIO","ASEO","OPERATIVA","EMPRESA MUNICIPAL DE SERVICIOS DE ASEO DE RIOSUCIO - CALDAS","890801631-4","CALDAS","RIOSUCIO","CARRERA 7 CALLE 10 ESQUINA 1 PISO PALACIO MUNICIPAL","8592201","controlinterno@emsaesp.gov.co","Registro por la ESP","OLGA LUCIA CASTANO BENJUMEA","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","RISARALDA","ASEO","OPERATIVA","OFICINA DE DESARROLLO ECONOMICO Y SERVICIOS PUBLICOS DEL MUNICIPIO DE RISARALDA","800095461-1","CALDAS","RISARALDA","Carrera 2 Calle 5 Esquina","8557220","alcaldia@risaralda-caldas.gov.co","Registro por la ESP","JORGE DANILO GUTIERREZ  CUARTAS","MUNICIPIO (PRESTACIÓN DIRECTA)","HASTA 2500 SUSCRIPTORES"
"CALDAS","NEIRA","ASEO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ASEO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","DESDE 2501 HASTA 5000 USUARIOS"
"CALDAS","VILLAMARIA","ACUEDUCTO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"CALDAS","VILLAMARIA","ALCANTARILLADO","OPERATIVA","AQUAMANA E.S.P.","810001898-1","CALDAS","VILLAMARIA","CALLE 9 Nº 4-29","8775141","aagcsis@gmail.com","Registro por la ESP","JUAN PABLO BUITRAGO QUICENO","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MAYOR O IGUAL A 5001 USUARIOS"
"BOYACA","SOATA","ACUEDUCTO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ALCANTARILLADO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","SOATA","ASEO","OPERATIVA","EMPRESA DE SERVICIOS PÚBLICOS DE SOATA","800091634-0","BOYACA","SOATA","CARRERA 4 No 10-47 PALACIO MUNICIPAL","7880189","globalcys@gmail.com","Registro por la ESP","LIZETTE CAROLINA NINO DUENAS","EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TASCO","ALCANTARILLADO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE TASCO","891856131-3","BOYACA","TASCO","CARRERA 5 #5A-51 CENTRO PARQUE PRINCIPAL","7879090","maribelpulidoaponte@hotmail.com","Registro por la ESP","JUAN YESID CUSBA TIBADUIZA","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TASCO","ASEO","OPERATIVA","UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE TASCO","891856131-3","BOYACA","TASCO","CARRERA 5 #5A-51 CENTRO PARQUE PRINCIPAL","7879090","maribelpulidoaponte@hotmail.com","Registro por la ESP","JUAN YESID CUSBA TIBADUIZA","MUNICIPIO (PRESTACIÓN DIRECTA)","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TIBASOSA","ACUEDUCTO","OPERATIVA","ACUEDUCTO REGIONAL PEÑA NEGRA DE TIBASOSA ESP","800243924-5","BOYACA","TIBASOSA","VEREDA PEÑA NEGRA LA Y","7658997","jenymartinezo@yahoo.es","Registro por la ESP","LUIS GENARO BECERRA  RIANO","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"BOYACA","TURMEQUE","ACUEDUCTO","OPERATIVA","ASOCIACION DE USUARIOS DEL ACUEDUCTO URBANO DEL MUNICIPIO DE TURMEQUE","820003743-2","BOYACA","TURMEQUE","Carrera 1 Calle 1centro","7326369","acueductoturmeque@hotmail.com","Registro por la ESP","JOSE OTONIEL CANON ALONSO","ORGANIZACION AUTORIZADA","MENOR O IGUAL A 2500 USUARIOS"
"CALDAS","AGUADAS","ACUEDUCTO","OPERATIVA","EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS","890803239-9","CALDAS","MANIZALES","Carrera 23 Nro 75 - 82","8867080","lorena.grisalest@empocaldas.com.co","Registro por la ESP","WILDER IBERSON ESCOBAR  ORTIZ","SOCIEDADES (EMPRESA DE SERVICIOS PUBLICOS)","MAYOR O IGUAL A 5001 USUARIOS"
