MpCodigo,MpNombre,MpArea,MpNorma,MpCategor,MpAltitud,Restriccio,Depto,ATotal,AUrban,ARural,CZTotal,CZUrban,CZRural,dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban_2,CZ__mean
"91405",La Chorrera,12641.49795050000,,3,184,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,12641497950.0000000000,0.0000000000,12641497950.0000000000,165.8758294000,0.0000000000,165.8758294000,,,,,,,,,,,,,,,,,,,165.875829450659
"91669",Santander,14692.13231230000,,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,14692132312.0000000000,0.0000000000,14692132312.0000000000,154.0912770000,0.0000000000,154.0912770000,,,,,,,,,,,,,,,,,,,154.091277044039
"91460",Mirití-Paraná,16813.38503520000,,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,16813385035.0000019073,0.0000000000,16813385035.0000019073,156.6239396000,0.0000000000,156.6239396000,,,,,,,,,,,,,,,,,,,156.623939699385
"91430",La Victoria,1428.20287199000,Ordenanza No. 012 de 1996,3,200,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Amazonas,1428202871.0000000000,0.0000000000,1428202871.0000000000,173.7519535000,0.0000000000,173.7519535000,,,,,,,,,,,,,,,,,,,173.751953524253
"52560",Potosí,388.67633162700,,1,2750,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,388676331.6000000238,339419.0908000000,388336912.5000000000,2868.9059160000,2740.7181180000,2868.9059160000,,,,,,,,,,,,,,,,,,,2869.02208272809
"86569",Puerto Caicedo,926.78971503900,Ordenanza No. 012 de 1992,1,272,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,926789715.0000001192,989585.5496000000,925800129.2000000477,297.9754883000,276.2810491000,297.9754883000,,,,,,,,,,,,,,,,,,,297.998967802943
"52215",Córdoba,304.91737430800,Ordenanza No. 39 de 1911,1,2800,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,304917374.3000000119,679234.4987000000,304238139.8000000119,2550.9870480000,2861.6209470000,2550.9870480000,,,,,,,,,,,,,,,,,,,2550.28584324167
"52573",Puerres,350.46037993900,,1,2800,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,350460379.8000000119,1027882.0070000000,349432497.6000000238,2587.4718220000,2763.2776500000,2587.4718220000,,,,,,,,,,,,,,,,,,,2586.95369244243
"86320",Orito,1940.66195929000,Decreto No. 2891 de 1978,1,361,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Putumayo,1940661959.0000000000,7048717.8550000004,1933613241.0000000000,757.2795423000,338.9157220000,757.2795423000,,,,,,,,,,,,,,,,,,,758.796986600087
"52210",Contadero,43.25398589680,,1,2900,“No es apropiada su aplicación para la ubicación exacta de puntos ni para el cálculo de áreas y distancias,Nariño,43253985.8900000006,493915.5338000000,42760070.3500000015,2837.3708480000,2608.3968060000,2837.3708480000,,,,,,,,,,,,,,,,,,,2839.94204286614
