dpto_ccdgo,mpio_ccdgo,mpio_cdpmp,clas_ccdgo,setr_ccdgo,setr_ccnct,secr_ccdgo,secr_ccnct,zu_ccdgo,zu_cdivi,zu_cnmbre,zu_ccnct,zu_narea,zu_naltd,zu_nano,shape_Leng,shape_Area,AUrban,CZ_mean
"05","101","05101","1","000","051011000","00","05101100000","000","05101000",CIUDAD BOLÍVAR,"05101100000000",1471914.27582000010,1200.00000000000,2024,0.14085175854,0.00012005120,1471949.6810000001,1191.12504910875
"05","150","05150","1","000","051501000","00","05150100000","000","05150000",CAROLINA DEL PRÍNCIPE,"05150100000000",1540967.83694000007,1800.90000000000,2024,0.06985473759,0.00012597862,1540253.6189999999,1794.31249728733
"05","190","05190","1","000","051901000","00","05190100000","000","05190000",CISNEROS,"05190100000000",1451177.98622000008,1098.00000000000,2024,0.13181601825,0.00011860950,1450321.3359999999,1062.41160831895
"05","425","05425","1","000","054251000","00","05425100000","000","05425000",MACEO,"05425100000000",677519.70687700005,979.00000000000,2024,0.08776603527,0.00005538608,676987.2108999999,942.135611618621
"05","576","05576","1","000","055761000","00","05576100000","000","05576000",PUEBLORRICO,"05576100000000",719177.28599400003,1708.00000000000,2024,0.09252319297,0.00005866302,719109.2533000000,1806.21916809082
"05","579","05579","1","000","055791000","00","05579100000","000","05579000",PUERTO BERRÍO,"05579100000000",6141860.28337000031,121.00000000000,2024,0.19803425463,0.00050208286,6135524.0650000004,116.377139852083
"05","607","05607","1","000","056071000","00","05607100000","000","05607000",RETIRO,"05607100000000",1930009.26368999993,2175.00000000000,2024,0.14646166155,0.00015755707,1929396.2670000000,2168.04807849498
"05","697","05697","1","000","056971000","00","05697100000","000","05697000",EL SANTUARIO,"05697100000000",2027280.13580999989,2150.00000000000,2024,0.12644845469,0.00016555112,2026322.9760000000,2136.11981327801
"05","756","05756","1","000","057561000","00","05756100000","000","05756000",SONSÓN,"05756100000000",2677894.07340000011,2475.00000000000,2024,0.12086690570,0.00021851143,2676711.7530000000,2505.40768095672
"13","580","13580","1","000","135801000","00","13580100000","000","13580000",REGIDOR,"13580100000000",688576.41616899997,38.00000000000,2024,0.03306103889,0.00005656833,687600.7570000000,32.534295231463
"23","466","23466","1","000","234661000","00","23466100000","000","23466000",MONTELÍBANO,"23466100000000",11082309.04719999991,45.00000000000,2024,0.18315503388,0.00090840200,11078064.7300000004,47.6911255192428
"15","114","15114","1","000","151141000","00","15114100000","000","15114000",BUSBANZÁ,"15114100000000",108749.44154400000,2475.00000000000,2024,0.01599349454,0.00000887579,108529.0359000000,2473.39755483774
"15","092","15092","1","000","150921000","00","15092100000","000","15092000",BETÉITIVA,"15092100000000",168549.68194200000,2594.00000000000,2024,0.02093127121,0.00001375762,168199.8324000000,2600.15110948351
"20","383","20383","1","000","203831000","00","20383100000","000","20383000",LA GLORIA,"20383100000000",1028767.77489999996,32.00000000000,2024,0.03866746358,0.00008450542,1027297.8639999999,34.568626186712
"15","293","15293","1","000","152931000","00","15293100000","000","15293000",GACHANTIVÁ,"15293100000000",155718.73978500001,2381.00000000000,2024,0.02134438401,0.00001271196,155470.7409000000,2377.48842259457
"15","442","15442","1","000","154421000","00","15442100000","000","15442000",MARIPÍ,"15442100000000",160765.40716900001,1244.00000000000,2024,0.02133956176,0.00001312058,160557.1876000000,1278.11057416131
"15","368","15368","1","000","153681000","00","15368100000","000","15368000",JERICÓ,"15368100000000",246012.78988100000,3150.00000000000,2024,0.03058825483,0.00002008492,245464.0984000000,3083.11149714543
"15","377","15377","1","000","153771000","00","15377100000","000","15377000",LABRANZAGRANDE,"15377100000000",274758.78447100002,1437.00000000000,2024,0.02445110038,0.00002240913,274146.8073000000,1108.30174967448
"15","531","15531","1","000","155311000","00","15531100000","000","15531000",PAUNA,"15531100000000",430369.42657399998,1123.00000000000,2024,0.03782664642,0.00003512999,429804.7726000001,1125.30981201172
"15","537","15537","1","000","155371000","00","15537100000","000","15537000",PAZ DE RÍO,"15537100000000",975740.46731300000,2246.00000000000,2024,0.04886191829,0.00007965061,973677.4151000000,2249.58998897158
"15","778","15778","1","000","157781000","00","15778100000","000","15778000",SUTATENZA,"15778100000000",414294.76504099998,1927.00000000000,2024,0.03280818676,0.00003377995,413608.7124000000,1918.07157149969
"15","810","15810","1","000","158101000","00","15810100000","000","15810000",TIPACOQUE,"15810100000000",463827.78513500001,1897.00000000000,2024,0.05487792034,0.00003789113,462830.0383000000,1889.13470911097
